y,arm,coverage
0,CTRL-RAND,540.0
0,CTRL-RAND,540.0
0,CTRL-RAND,542.0
0,CTRL-RAND,543.0
1,BASE,613.0
1,BASE,636.0
1,BASE,645.0
1,BASE,668.0
2,W0,636.0
2,W0,639.0
2,W0,641.0
2,W0,648.0
3,SIMS100,620.0
3,SIMS100,638.0
3,SIMS100,640.0
3,SIMS100,671.0
4,SIMS50,629.0
4,SIMS50,645.0
4,SIMS50,687.0
4,SIMS50,697.0
5,SMALL,635.0
5,SMALL,653.0
5,SMALL,683.0
5,SMALL,695.0
6,NOSEED,610.0
6,NOSEED,650.0
6,NOSEED,669.0
6,NOSEED,754.0
7,FULL,656.0
7,FULL,658.0
7,FULL,680.0
7,FULL,754.0
8,EDGE,660.0
8,EDGE,696.0
8,EDGE,708.0
8,EDGE,730.0
9,NOCOV,678.0
9,NOCOV,694.0
9,NOCOV,755.0
9,NOCOV,799.0
10,REUSE4,684.0
10,REUSE4,690.0
10,REUSE4,734.0
10,REUSE4,866.0
11,ALPHA010,666.0
11,ALPHA010,672.0
11,ALPHA010,817.0
11,ALPHA010,897.0
12,ALPHA004,829.0
12,ALPHA004,852.0
12,ALPHA004,876.0
12,ALPHA004,880.0
13,T25,938.0
13,T25,945.0
13,T25,958.0
13,T25,969.0
14,T15,926.0
14,T15,934.0
14,T15,936.0
14,T15,1120.0
