iteration,rewarded_step_share
0,0.012085
1,0.012207
2,0.012288
3,0.011917
4,0.011804
6,0.01198
7,0.012001
8,0.011997
9,0.012109
11,0.012375
12,0.012705
13,0.013101
14,0.013293
15,0.013206
17,0.01373
18,0.01407
19,0.013837
20,0.013718
22,0.015009
23,0.015625
24,0.015444
25,0.016076
26,0.015718
28,0.015812
29,0.015802
30,0.01582
31,0.016035
33,0.017264
34,0.017486
35,0.017429
36,0.017882
37,0.018139
39,0.019522
40,0.019939
41,0.021033
42,0.022106
44,0.02353
45,0.024567
46,0.025791
47,0.026945
49,0.029131
50,0.030148
51,0.031267
52,0.032342
53,0.03348
55,0.035814
56,0.037353
57,0.038419
58,0.039402
60,0.041578
61,0.043388
62,0.044805
63,0.046297
64,0.047519
66,0.049795
67,0.050797
68,0.052005
69,0.05328
71,0.055836
72,0.057031
73,0.058102
74,0.059253
75,0.060352
77,0.062353
78,0.063342
79,0.06485
80,0.066469
82,0.068775
83,0.069784
84,0.070966
85,0.072116
86,0.073125
88,0.07557
89,0.076789
90,0.077953
91,0.078948
93,0.080634
94,0.081633
95,0.083092
96,0.08445
98,0.086409
99,0.086992
100,0.087147
101,0.087642
102,0.088455
104,0.089817
105,0.090683
106,0.091461
107,0.092336
109,0.093988
110,0.094814
111,0.095656
112,0.096436
113,0.097303
115,0.099175
116,0.100122
117,0.101128
118,0.102167
120,0.104072
121,0.105081
122,0.105811
123,0.106637
124,0.107469
126,0.109287
127,0.110247
128,0.111352
129,0.112391
131,0.114008
132,0.114823
133,0.115597
134,0.11673
135,0.117584
137,0.119497
138,0.120197
139,0.12075
140,0.121289
142,0.122498
143,0.123256
144,0.124064
145,0.124925
147,0.126197
148,0.126934
149,0.127439
150,0.128053
151,0.128695
153,0.130031
154,0.130511
155,0.131319
156,0.13163
158,0.132277
159,0.132848
160,0.133103
161,0.133534
162,0.133992
164,0.134678
165,0.13513
166,0.135337
167,0.135437
169,0.136683
170,0.13727
171,0.137656
172,0.137898
173,0.138242
175,0.139411
176,0.13992
177,0.140255
178,0.140228
180,0.140802
181,0.141089
182,0.141333
183,0.141609
184,0.141925
186,0.14227
187,0.142548
188,0.142831
189,0.143284
191,0.144544
192,0.144802
193,0.145078
194,0.146413
196,0.147363
