iteration,rewarded_step_share
0,0.001526
2,0.001831
5,0.001638
7,0.001579
10,0.001592
12,0.00147
15,0.001514
17,0.001526
20,0.001651
22,0.001648
25,0.001676
27,0.001687
30,0.001683
32,0.001707
35,0.001724
37,0.00174
40,0.001753
42,0.001813
45,0.001875
47,0.00188
50,0.001841
52,0.001811
55,0.001791
57,0.001741
60,0.001664
62,0.001595
65,0.00153
67,0.001489
70,0.001392
72,0.001333
75,0.001314
77,0.001347
80,0.001392
82,0.001423
85,0.001445
87,0.001564
90,0.00158
92,0.001519
95,0.001659
97,0.001748
100,0.001881
102,0.001891
105,0.002063
107,0.002452
110,0.003119
112,0.003777
115,0.00475
117,0.005023
120,0.005491
122,0.005763
125,0.006292
127,0.006877
130,0.008608
132,0.009864
135,0.010819
137,0.011791
140,0.012936
142,0.013958
145,0.015652
147,0.01622
150,0.016752
152,0.017234
155,0.018241
157,0.019317
160,0.020869
162,0.021923
165,0.022934
167,0.023947
170,0.024625
172,0.026123
175,0.028283
177,0.029594
180,0.03243
182,0.035
185,0.038405
187,0.041161
190,0.044725
192,0.047966
195,0.052698
197,0.056789
200,0.06267
202,0.068141
205,0.078064
207,0.083889
210,0.094658
212,0.100152
215,0.110886
217,0.118916
220,0.125531
222,0.130948
225,0.137112
227,0.142711
230,0.150269
232,0.155675
235,0.161048
237,0.164263
240,0.167073
242,0.169802
245,0.171841
247,0.174266
250,0.173961
252,0.174983
255,0.174189
257,0.174898
260,0.176355
262,0.177497
265,0.177883
267,0.178111
270,0.177961
272,0.178745
275,0.17793
277,0.179716
280,0.181886
282,0.182089
285,0.182625
287,0.181447
290,0.182088
292,0.182494
295,0.182867
297,0.185934
300,0.187583
302,0.190047
305,0.193442
307,0.193689
310,0.193991
312,0.194577
315,0.195092
317,0.195441
320,0.196041
322,0.196902
325,0.198428
327,0.200583
330,0.200398
332,0.199038
335,0.199662
337,0.198444
340,0.197756
342,0.196598
345,0.195653
347,0.193998
350,0.194867
352,0.194942
355,0.195072
357,0.193017
360,0.191816
362,0.191431
365,0.190155
367,0.189389
370,0.189448
372,0.189986
375,0.189691
377,0.188631
380,0.188228
382,0.186008
385,0.186292
387,0.186569
390,0.186386
392,0.186217
395,0.186811
397,0.187317
399,0.187655
