iteration,rewarded_step_share
0,0.004211
2,0.004089
5,0.004293
7,0.004227
10,0.004173
12,0.004216
15,0.004192
17,0.004045
20,0.003767
22,0.00376
25,0.003784
27,0.00383
30,0.004068
32,0.004293
35,0.004815
37,0.005824
40,0.007522
42,0.008731
45,0.010556
47,0.011902
50,0.013789
52,0.015213
55,0.017353
57,0.018963
60,0.021194
62,0.022703
65,0.024978
67,0.026655
70,0.029423
72,0.0312
75,0.033334
77,0.034467
80,0.03653
82,0.038144
85,0.040464
87,0.041991
90,0.044278
92,0.045769
95,0.048445
97,0.050131
100,0.052687
102,0.054417
105,0.05698
107,0.058395
110,0.060277
112,0.061653
115,0.063758
117,0.064714
120,0.066136
122,0.066837
125,0.06805
127,0.068858
130,0.070097
132,0.070819
135,0.071645
137,0.072075
140,0.073316
142,0.073956
145,0.074923
147,0.075612
150,0.076605
152,0.076983
155,0.077697
157,0.078153
160,0.078841
162,0.079206
165,0.079922
167,0.080278
170,0.080858
172,0.081481
175,0.082905
177,0.08383
180,0.08508
182,0.086023
185,0.086978
187,0.087619
190,0.088452
192,0.088891
195,0.089636
197,0.089987
200,0.090567
202,0.090892
205,0.091316
207,0.091612
210,0.092047
212,0.092241
215,0.092762
217,0.093075
220,0.093481
222,0.093698
225,0.093941
227,0.093942
230,0.094012
232,0.094075
235,0.094169
237,0.094183
240,0.09418
242,0.094245
245,0.094091
247,0.094003
250,0.094122
252,0.094134
255,0.094181
257,0.094186
260,0.094206
262,0.094273
265,0.094311
267,0.094408
270,0.094748
272,0.094967
275,0.095287
277,0.095595
280,0.095953
282,0.09602
285,0.096405
287,0.09652
290,0.096944
292,0.096975
295,0.097314
297,0.097478
300,0.09737
302,0.097494
305,0.097642
307,0.097772
310,0.097578
312,0.097763
315,0.09783
317,0.098077
320,0.098592
322,0.099031
325,0.09915
327,0.09938
330,0.099491
332,0.099514
335,0.09958
337,0.099694
340,0.099878
342,0.099819
345,0.100091
347,0.100208
350,0.100612
352,0.100827
355,0.10112
357,0.101197
360,0.101095
362,0.101405
365,0.101444
367,0.101752
370,0.101959
372,0.102192
375,0.102712
377,0.102806
380,0.102895
382,0.103109
385,0.103309
387,0.103419
390,0.103545
392,0.103667
395,0.10373
397,0.103961
399,0.104261
