iteration,position,value
1,3,2.45561
1,9,2.45319
1,15,2.46192
1,21,2.45275
1,27,2.45216
1,33,2.46116
1,39,2.45433
1,45,2.45674
1,51,2.45076
1,57,2.46023
1,63,2.45545
1,69,2.44958
1,75,2.45053
1,81,2.4589
1,87,2.45227
1,93,2.4566
1,99,2.44488
1,105,2.44421
1,111,2.4426
1,117,2.45502
1,123,2.45061
1,127,2.46042
4,3,1.87827
4,9,1.87138
4,15,1.86565
4,21,1.87027
4,27,1.86705
4,33,1.8636
4,39,1.86056
4,45,1.86214
4,51,1.86167
4,57,1.86143
4,63,1.85455
4,69,1.86099
4,75,1.85875
4,81,1.85717
4,87,1.85534
4,93,1.86052
4,99,1.86311
4,105,1.85886
4,111,1.85872
4,117,1.86528
4,123,1.85863
4,127,1.85953
7,3,1.81882
7,9,1.81635
7,15,1.81433
7,21,1.81283
7,27,1.81048
7,33,1.81243
7,39,1.80464
7,45,1.80937
7,51,1.80758
7,57,1.80552
7,63,1.80381
7,69,1.80933
7,75,1.80412
7,81,1.80742
7,87,1.80414
7,93,1.8057
7,99,1.80371
7,105,1.80663
7,111,1.80592
7,117,1.80624
7,123,1.804
7,127,1.80056
10,3,2.93281
10,9,2.93714
10,15,2.93082
10,21,2.92188
10,27,2.92053
10,33,2.92423
10,39,2.92506
10,45,2.91496
10,51,2.91538
10,57,2.90549
10,63,2.90525
10,69,2.8996
10,75,2.89571
10,81,2.8939
10,87,2.90023
10,93,2.8903
10,99,2.89489
10,105,2.90173
10,111,2.89626
10,117,2.89722
10,123,2.8896
10,127,2.89409
13,3,0.87293
13,9,0.95495
13,15,1.01717
13,21,1.05916
13,27,1.08693
13,33,1.11474
13,39,1.13367
13,45,1.14244
13,51,1.16387
13,57,1.1731
13,63,1.175
13,69,1.18362
13,75,1.19302
13,81,1.19883
13,87,1.20686
13,93,1.20865
13,99,1.2179
13,105,1.21193
13,111,1.2203
13,117,1.22101
13,123,1.2189
13,127,1.21184
16,3,2.27506
16,9,2.25875
16,15,2.26022
16,21,2.25581
16,27,2.25094
16,33,2.25301
16,39,2.24972
16,45,2.2549
16,51,2.24478
16,57,2.245
16,63,2.24767
16,69,2.23868
16,75,2.24339
16,81,2.2488
16,87,2.24331
16,93,2.23902
16,99,2.23814
16,105,2.2429
16,111,2.24288
16,117,2.23828
16,123,2.23776
16,127,2.24414
19,3,0.7202
19,9,1.3124
19,15,1.52031
19,21,1.66254
19,27,1.7575
19,33,1.81437
19,39,1.86343
19,45,1.89819
19,51,1.90086
19,57,1.91539
19,63,1.93555
19,69,1.96655
19,75,1.97011
19,81,1.98748
19,87,1.98746
19,93,2.0201
19,99,1.99683
19,105,2.00961
19,111,1.99123
19,117,2.00905
19,123,1.99407
19,127,2.00144
22,3,0.75263
22,9,0.95244
22,15,1.11725
22,21,1.20717
22,27,1.27732
22,33,1.2839
22,39,1.29916
22,45,1.32133
22,51,1.32915
22,57,1.35836
22,63,1.36612
22,69,1.36544
22,75,1.36383
22,81,1.37427
22,87,1.37763
22,93,1.38444
22,99,1.39518
22,105,1.38882
22,111,1.39542
22,117,1.40049
22,123,1.41454
22,127,1.42976
25,3,0.12055
25,9,0.21095
25,15,0.28097
25,21,0.3437
25,27,0.37194
25,33,0.42473
25,39,0.4371
25,45,0.46195
25,51,0.46133
25,57,0.47502
25,63,0.51852
25,69,0.51925
25,75,0.56225
25,81,0.56925
25,87,0.59475
25,93,0.6246
25,99,0.66285
25,105,0.67374
25,111,0.68648
25,117,0.705
25,123,0.73008
25,127,0.72599
28,3,0.27617
28,9,0.30945
28,15,0.26598
28,21,0.24543
28,27,0.22026
28,33,0.20994
28,39,0.20847
28,45,0.20258
28,51,0.20068
28,57,0.20061
28,63,0.19903
28,69,0.20269
28,75,0.20599
28,81,0.20621
28,87,0.20805
28,93,0.20698
28,99,0.20813
28,105,0.20955
28,111,0.20656
28,117,0.21035
28,123,0.21013
28,127,0.2073
31,3,0.07608
31,9,0.1016
31,15,0.09853
31,21,0.09763
31,27,0.09657
31,33,0.09551
31,39,0.09459
31,45,0.09399
31,51,0.09189
31,57,0.09239
31,63,0.09187
31,69,0.09214
31,75,0.08866
31,81,0.08916
31,87,0.09081
31,93,0.09066
31,99,0.08951
31,105,0.0876
31,111,0.08907
31,117,0.08787
31,123,0.08731
31,127,0.08672
34,3,0.08212
34,9,0.12381
34,15,0.13495
34,21,0.14017
34,27,0.14682
34,33,0.15014
34,39,0.15232
34,45,0.15403
34,51,0.15566
34,57,0.1585
34,63,0.1612
34,69,0.16075
34,75,0.16382
34,81,0.16437
34,87,0.1659
34,93,0.1651
34,99,0.16671
34,105,0.16411
34,111,0.16473
34,117,0.16771
34,123,0.16581
34,127,0.16559
37,3,0.07681
37,9,0.1066
37,15,0.10424
37,21,0.10231
37,27,0.09935
37,33,0.10092
37,39,0.10281
37,45,0.10561
37,51,0.10677
37,57,0.10869
37,63,0.11087
37,69,0.1097
37,75,0.11514
37,81,0.11716
37,87,0.1186
37,93,0.12166
37,99,0.1247
37,105,0.12523
37,111,0.1289
37,117,0.13037
37,123,0.13162
37,127,0.13379
40,3,0.05285
40,9,0.06076
40,15,0.06432
40,21,0.06654
40,27,0.07092
40,33,0.07202
40,39,0.07238
40,45,0.07395
40,51,0.0755
40,57,0.07628
40,63,0.07767
40,69,0.07761
40,75,0.07743
40,81,0.07782
40,87,0.07826
40,93,0.07963
40,99,0.07977
40,105,0.08174
40,111,0.08052
40,117,0.08007
40,123,0.08233
40,127,0.08058
43,3,0.0739
43,9,0.164
43,15,0.19955
43,21,0.20359
43,27,0.20248
43,33,0.20386
43,39,0.20706
43,45,0.20394
43,51,0.20573
43,57,0.2025
43,63,0.19942
43,69,0.20407
43,75,0.19779
43,81,0.19755
43,87,0.19498
43,93,0.20112
43,99,0.20603
43,105,0.20666
43,111,0.20179
43,117,0.20431
43,123,0.20861
43,127,0.21146
46,3,0.0512
46,9,0.1786
46,15,0.23459
46,21,0.25724
46,27,0.25138
46,33,0.24401
46,39,0.23665
46,45,0.23522
46,51,0.22385
46,57,0.22904
46,63,0.22909
46,69,0.22659
46,75,0.21947
46,81,0.21527
46,87,0.21054
46,93,0.20565
46,99,0.2055
46,105,0.20813
46,111,0.2026
46,117,0.1995
46,123,0.19714
46,127,0.19679
49,3,0.03966
49,9,0.12485
49,15,0.15862
49,21,0.16967
49,27,0.17845
49,33,0.18066
49,39,0.18639
49,45,0.19076
49,51,0.19764
49,57,0.20122
49,63,0.20049
49,69,0.20678
49,75,0.20811
49,81,0.21188
49,87,0.21887
49,93,0.22087
49,99,0.21751
49,105,0.21997
49,111,0.22198
49,117,0.22606
49,123,0.22751
49,127,0.22631
52,3,0.03509
52,9,0.11081
52,15,0.09955
52,21,0.10142
52,27,0.12292
52,33,0.13991
52,39,0.15832
52,45,0.1714
52,51,0.17996
52,57,0.19378
52,63,0.20175
52,69,0.20702
52,75,0.21927
52,81,0.23351
52,87,0.24143
52,93,0.25961
52,99,0.26893
52,105,0.27444
52,111,0.27566
52,117,0.28296
52,123,0.28985
52,127,0.28763
55,3,0.03994
55,9,0.08378
55,15,0.09045
55,21,0.08931
55,27,0.08497
55,33,0.08357
55,39,0.08137
55,45,0.08173
55,51,0.08147
55,57,0.08128
55,63,0.07995
55,69,0.07818
55,75,0.07663
55,81,0.07726
55,87,0.07835
55,93,0.07669
55,99,0.07736
55,105,0.0783
55,111,0.07662
55,117,0.07933
55,123,0.07631
55,127,0.07789
58,3,0.03408
58,9,0.12163
58,15,0.35039
58,21,0.40316
58,27,0.43073
58,33,0.44891
58,39,0.43311
58,45,0.42054
58,51,0.40079
58,57,0.39828
58,63,0.35961
58,69,0.33936
58,75,0.34124
58,81,0.33378
58,87,0.30539
58,93,0.30206
58,99,0.30632
58,105,0.3127
58,111,0.30702
58,117,0.29041
58,123,0.29037
58,127,0.29751
61,3,0.03733
61,9,0.0914
61,15,0.18323
61,21,0.22169
61,27,0.2076
61,33,0.21297
61,39,0.22087
61,45,0.23078
61,51,0.23901
61,57,0.24065
61,63,0.24494
61,69,0.2559
61,75,0.26284
61,81,0.26621
61,87,0.26451
61,93,0.27146
61,99,0.28457
61,105,0.28902
61,111,0.29625
61,117,0.3021
61,123,0.31327
61,127,0.31546
64,3,0.03925
64,9,0.08686
64,15,0.25401
64,21,0.36318
64,27,0.43591
64,33,0.48132
64,39,0.49983
64,45,0.50617
64,51,0.53514
64,57,0.53549
64,63,0.53624
64,69,0.56043
64,75,0.58224
64,81,0.58693
64,87,0.58626
64,93,0.57126
64,99,0.57753
64,105,0.58054
64,111,0.57946
64,117,0.60094
64,123,0.60426
64,127,0.61013
67,3,0.04489
67,9,0.08493
67,15,0.29642
67,21,0.47715
67,27,0.57776
67,33,0.68262
67,39,0.82914
67,45,0.95101
67,51,1.07439
67,57,1.1638
67,63,1.22701
67,69,1.30401
67,75,1.37206
67,81,1.40061
67,87,1.44601
67,93,1.45595
67,99,1.48065
67,105,1.49236
67,111,1.49323
67,117,1.51823
67,123,1.50584
67,127,1.52632
70,3,0.04577
70,9,0.05053
70,15,0.1128
70,21,0.2073
70,27,0.25452
70,33,0.28669
70,39,0.325
70,45,0.37345
70,51,0.41332
70,57,0.45686
70,63,0.48167
70,69,0.54415
70,75,0.59501
70,81,0.64731
70,87,0.65338
70,93,0.66256
70,99,0.66729
70,105,0.64951
70,111,0.63489
70,117,0.60368
70,123,0.5885
70,127,0.57701
73,3,0.43148
73,9,0.20188
73,15,0.29292
73,21,0.57401
73,27,0.65705
73,33,0.69424
73,39,0.74197
73,45,0.76819
73,51,0.80555
73,57,0.82741
73,63,0.81641
73,69,0.81314
73,75,0.74801
73,81,0.73495
73,87,0.69026
73,93,0.66477
73,99,0.63554
73,105,0.61453
73,111,0.60445
73,117,0.5769
73,123,0.56118
73,127,0.56304
76,3,0.06597
76,9,0.06325
76,15,0.10082
76,21,0.19154
76,27,0.29543
76,33,0.4849
76,39,0.64272
76,45,0.73323
76,51,0.76416
76,57,0.77048
76,63,0.7498
76,69,0.7326
76,75,0.70391
76,81,0.64977
76,87,0.60191
76,93,0.5522
76,99,0.51443
76,105,0.49798
76,111,0.48986
76,117,0.48011
76,123,0.47335
76,127,0.47249
79,3,0.06496
79,9,0.05988
79,15,0.10946
79,21,0.18595
79,27,0.30242
79,33,0.46834
79,39,0.58955
79,45,0.64674
79,51,0.66372
79,57,0.69274
79,63,0.68267
79,69,0.68917
79,75,0.6836
79,81,0.66571
79,87,0.65694
79,93,0.64728
79,99,0.66876
79,105,0.67697
79,111,0.68342
79,117,0.6891
79,123,0.70474
79,127,0.71418
82,3,0.09637
82,9,0.06918
82,15,0.14047
82,21,0.25132
82,27,0.36891
82,33,0.49265
82,39,0.57788
82,45,0.59902
82,51,0.56092
82,57,0.50364
82,63,0.4439
82,69,0.40013
82,75,0.33881
82,81,0.32665
82,87,0.32038
82,93,0.30384
82,99,0.29711
82,105,0.29561
82,111,0.31015
82,117,0.32797
82,123,0.3335
82,127,0.34758
85,3,0.06899
85,9,0.05695
85,15,0.10325
85,21,0.1868
85,27,0.2421
85,33,0.26798
85,39,0.30112
85,45,0.35778
85,51,0.44829
85,57,0.54478
85,63,0.58915
85,69,0.63597
85,75,0.62918
85,81,0.61224
85,87,0.57385
85,93,0.5197
85,99,0.50016
85,105,0.48102
85,111,0.41434
85,117,0.34436
85,123,0.33901
85,127,0.38085
88,3,0.0572
88,9,0.0569
88,15,0.08946
88,21,0.12945
88,27,0.14052
88,33,0.15149
88,39,0.18102
88,45,0.2338
88,51,0.2489
88,57,0.27187
88,63,0.2986
88,69,0.34146
88,75,0.35484
88,81,0.37184
88,87,0.38219
88,93,0.39887
88,99,0.44988
88,105,0.5099
88,111,0.54302
88,117,0.57379
88,123,0.64596
88,127,0.6641
91,3,0.10131
91,9,0.08366
91,15,0.09501
91,21,0.10912
91,27,0.14681
91,33,0.17342
91,39,0.18314
91,45,0.20018
91,51,0.23488
91,57,0.28166
91,63,0.30371
91,69,0.33229
91,75,0.36948
91,81,0.38961
91,87,0.38878
91,93,0.3792
91,99,0.35902
91,105,0.33292
91,111,0.28508
91,117,0.26992
91,123,0.27368
91,127,0.27157
94,3,0.28086
94,9,0.2785
94,15,0.27469
94,21,0.24955
94,27,0.23153
94,33,0.21962
94,39,0.20939
94,45,0.19697
94,51,0.20258
94,57,0.25396
94,63,0.32808
94,69,0.37489
94,75,0.38842
94,81,0.47094
94,87,0.59932
94,93,0.70346
94,99,0.76904
94,105,0.73097
94,111,0.62886
94,117,0.55382
94,123,0.50916
94,127,0.49122
97,3,0.14845
97,9,0.0865
97,15,0.08341
97,21,0.07957
97,27,0.09999
97,33,0.12927
97,39,0.15658
97,45,0.20381
97,51,0.23693
97,57,0.24247
97,63,0.24995
97,69,0.24475
97,75,0.22614
97,81,0.23189
97,87,0.25852
97,93,0.28058
97,99,0.31302
97,105,0.35822
97,111,0.3952
97,117,0.43045
97,123,0.45602
97,127,0.46483
100,3,0.13511
100,9,0.10579
100,15,0.08993
100,21,0.08864
100,27,0.13084
100,33,0.19785
100,39,0.19319
100,45,0.20683
100,51,0.21598
100,57,0.25593
100,63,0.28782
100,69,0.29979
100,75,0.29139
100,81,0.26427
100,87,0.25921
100,93,0.29226
100,99,0.33942
100,105,0.4011
100,111,0.41479
100,117,0.39395
100,123,0.37079
100,127,0.36217
103,3,0.0746
103,9,0.07917
103,15,0.08103
103,21,0.08987
103,27,0.09141
103,33,0.1465
103,39,0.22658
103,45,0.25544
103,51,0.29756
103,57,0.35025
103,63,0.44743
103,69,0.5078
103,75,0.6457
103,81,0.73341
103,87,0.83738
103,93,0.97967
103,99,0.96642
103,105,0.81423
103,111,0.65113
103,117,0.63697
103,123,0.69777
103,127,0.72472
106,3,0.05968
106,9,0.0778
106,15,0.07757
106,21,0.09205
106,27,0.10523
106,33,0.19619
106,39,0.22561
106,45,0.2096
106,51,0.22106
106,57,0.24349
106,63,0.26888
106,69,0.28716
106,75,0.29822
106,81,0.3447
106,87,0.38634
106,93,0.44688
106,99,0.4684
106,105,0.52349
106,111,0.62473
106,117,0.71854
106,123,0.81363
106,127,0.82827
109,3,0.06631
109,9,0.06992
109,15,0.07826
109,21,0.09841
109,27,0.17135
109,33,0.22284
109,39,0.22921
109,45,0.27158
109,51,0.31349
109,57,0.35192
109,63,0.33998
109,69,0.34974
109,75,0.38106
109,81,0.38572
109,87,0.35979
109,93,0.36541
109,99,0.42081
109,105,0.51457
109,111,0.56672
109,117,0.53319
109,123,0.47814
109,127,0.40504
112,3,0.08309
112,9,0.06849
112,15,0.0925
112,21,0.11623
112,27,0.11672
112,33,0.1356
112,39,0.18058
112,45,0.23929
112,51,0.29076
112,57,0.34783
112,63,0.40431
112,69,0.40864
112,75,0.43201
112,81,0.46622
112,87,0.49167
112,93,0.55839
112,99,0.66489
112,105,0.76898
112,111,0.76927
112,117,0.74942
112,123,0.68777
112,127,0.68404
115,3,0.07988
115,9,0.08292
115,15,0.10807
115,21,0.10548
115,27,0.10081
115,33,0.12253
115,39,0.17484
115,45,0.23466
115,51,0.26502
115,57,0.27061
115,63,0.29175
115,69,0.29855
115,75,0.31202
115,81,0.33316
115,87,0.38614
115,93,0.39958
115,99,0.41169
115,105,0.40829
115,111,0.40927
115,117,0.41925
115,123,0.39476
115,127,0.3895
118,3,0.06843
118,9,0.07083
118,15,0.07699
118,21,0.09074
118,27,0.13944
118,33,0.19065
118,39,0.22545
118,45,0.27941
118,51,0.33446
118,57,0.39539
118,63,0.43042
118,69,0.45395
118,75,0.49198
118,81,0.52731
118,87,0.54837
118,93,0.57663
118,99,0.61858
118,105,0.65156
118,111,0.65652
118,117,0.58952
118,123,0.49688
118,127,0.43641
121,3,0.05469
121,9,0.06133
121,15,0.09319
121,21,0.11676
121,27,0.12626
121,33,0.13897
121,39,0.21197
121,45,0.31951
121,51,0.45083
121,57,0.51834
121,63,0.51766
121,69,0.51165
121,75,0.47362
121,81,0.52017
121,87,0.55948
121,93,0.63938
121,99,0.74572
121,105,0.79548
121,111,0.80781
121,117,0.85451
121,123,0.85079
121,127,0.83595
124,3,0.07285
124,9,0.0877
124,15,0.23527
