iteration,position,value
3,3,2.70606
3,9,2.70395
3,15,2.69848
3,21,2.70602
3,27,2.70117
3,33,2.70674
3,39,2.70378
3,45,2.70982
3,51,2.70454
3,57,2.69926
3,63,2.70442
3,69,2.70658
3,75,2.70636
3,81,2.69821
3,87,2.70126
3,93,2.70261
3,99,2.70414
3,105,2.7047
3,111,2.70369
3,117,2.69845
3,123,2.70146
3,127,2.70387
10,3,2.33591
10,9,2.33531
10,15,2.34032
10,21,2.33827
10,27,2.33464
10,33,2.33565
10,39,2.33849
10,45,2.33484
10,51,2.33579
10,57,2.32939
10,63,2.33069
10,69,2.33537
10,75,2.33685
10,81,2.33235
10,87,2.34512
10,93,2.3363
10,99,2.33371
10,105,2.33358
10,111,2.33493
10,117,2.33095
10,123,2.33483
10,127,2.3393
17,3,2.67091
17,9,2.66815
17,15,2.67062
17,21,2.67396
17,27,2.67332
17,33,2.66761
17,39,2.66902
17,45,2.66947
17,51,2.67201
17,57,2.67165
17,63,2.6765
17,69,2.66497
17,75,2.67168
17,81,2.6642
17,87,2.67394
17,93,2.66714
17,99,2.66735
17,105,2.67522
17,111,2.66549
17,117,2.6649
17,123,2.67113
17,127,2.65894
24,3,2.43654
24,9,2.43866
24,15,2.426
24,21,2.43874
24,27,2.43766
24,33,2.4364
24,39,2.44641
24,45,2.44057
24,51,2.43806
24,57,2.44986
24,63,2.44492
24,69,2.43
24,75,2.43346
24,81,2.441
24,87,2.43907
24,93,2.43678
24,99,2.43531
24,105,2.438
24,111,2.43645
24,117,2.43704
24,123,2.43718
24,127,2.44702
31,3,3.25349
31,9,3.253
31,15,3.25358
31,21,3.25223
31,27,3.25271
31,33,3.25136
31,39,3.25301
31,45,3.25048
31,51,3.24965
31,57,3.25029
31,63,3.25113
31,69,3.25106
31,75,3.25082
31,81,3.25108
31,87,3.25068
31,93,3.25128
31,99,3.25123
31,105,3.248
31,111,3.25137
31,117,3.25419
31,123,3.2525
31,127,3.25627
38,3,2.73011
38,9,2.73213
38,15,2.73185
38,21,2.73374
38,27,2.72478
38,33,2.7378
38,39,2.72458
38,45,2.72897
38,51,2.73543
38,57,2.72539
38,63,2.73474
38,69,2.7299
38,75,2.71773
38,81,2.72892
38,87,2.72828
38,93,2.731
38,99,2.72247
38,105,2.72379
38,111,2.73078
38,117,2.73228
38,123,2.72811
38,127,2.71801
45,3,2.55912
45,9,2.56165
45,15,2.56219
45,21,2.55914
45,27,2.56066
45,33,2.5631
45,39,2.56092
45,45,2.55898
45,51,2.56114
45,57,2.55994
45,63,2.55749
45,69,2.56125
45,75,2.55977
45,81,2.56063
45,87,2.56158
45,93,2.55909
45,99,2.55852
45,105,2.56063
45,111,2.55994
45,117,2.56091
45,123,2.56114
45,127,2.55922
52,3,1.17052
52,9,1.17202
52,15,1.17064
52,21,1.17316
52,27,1.16943
52,33,1.16955
52,39,1.17198
52,45,1.17165
52,51,1.17213
52,57,1.17107
52,63,1.17182
52,69,1.17119
52,75,1.17388
52,81,1.16867
52,87,1.17347
52,93,1.17215
52,99,1.17163
52,105,1.17244
52,111,1.1705
52,117,1.17188
52,123,1.17378
52,127,1.16586
59,3,0.63495
59,9,0.63269
59,15,0.63288
59,21,0.63289
59,27,0.63396
59,33,0.63269
59,39,0.6298
59,45,0.63225
59,51,0.63343
59,57,0.6333
59,63,0.63406
59,69,0.63622
59,75,0.63198
59,81,0.63406
59,87,0.62886
59,93,0.63372
59,99,0.63408
59,105,0.63215
59,111,0.63485
59,117,0.63157
59,123,0.63282
59,127,0.63103
66,3,0.52629
66,9,0.53776
66,15,0.5434
66,21,0.54228
66,27,0.54246
66,33,0.54253
66,39,0.54038
66,45,0.54188
66,51,0.54218
66,57,0.54393
66,63,0.54297
66,69,0.54205
66,75,0.54282
66,81,0.54166
66,87,0.54027
66,93,0.54226
66,99,0.54237
66,105,0.54072
66,111,0.5424
66,117,0.54163
66,123,0.54078
66,127,0.53891
73,3,0.62993
73,9,1.83394
73,15,1.95528
73,21,1.96052
73,27,1.95815
73,33,1.96237
73,39,1.95423
73,45,1.96069
73,51,1.94851
73,57,1.94103
73,63,1.93936
73,69,1.92458
73,75,1.92893
73,81,1.91667
73,87,1.89708
73,93,1.90502
73,99,1.87865
73,105,1.87778
73,111,1.86002
73,117,1.85965
73,123,1.84856
73,127,1.85886
80,3,0.62706
80,9,1.12051
80,15,1.17511
80,21,1.16914
80,27,1.1803
80,33,1.17875
80,39,1.16778
80,45,1.16907
80,51,1.16892
80,57,1.17319
80,63,1.17223
80,69,1.17241
80,75,1.17487
80,81,1.17119
80,87,1.17303
80,93,1.17333
80,99,1.17386
80,105,1.16495
80,111,1.16659
80,117,1.16423
80,123,1.1713
80,127,1.17705
87,3,0.45986
87,9,0.77278
87,15,0.82661
87,21,0.84041
87,27,0.83731
87,33,0.83804
87,39,0.83694
87,45,0.84018
87,51,0.84412
87,57,0.84273
87,63,0.84958
87,69,0.84544
87,75,0.84928
87,81,0.85349
87,87,0.85479
87,93,0.86053
87,99,0.85849
87,105,0.86752
87,111,0.8729
87,117,0.8743
87,123,0.87904
87,127,0.87705
94,3,0.51669
94,9,0.55681
94,15,0.54443
94,21,0.54628
94,27,0.53566
94,33,0.53446
94,39,0.53368
94,45,0.53488
94,51,0.53503
94,57,0.52999
94,63,0.53307
94,69,0.52931
94,75,0.52338
94,81,0.52502
94,87,0.5288
94,93,0.52488
94,99,0.52687
94,105,0.52337
94,111,0.52112
94,117,0.51939
94,123,0.52175
94,127,0.53238
101,3,0.39977
101,9,0.44793
101,15,0.49263
101,21,0.51507
101,27,0.56411
101,33,0.59949
101,39,0.62
101,45,0.64204
101,51,0.65665
101,57,0.67146
101,63,0.69365
101,69,0.70054
101,75,0.71987
101,81,0.7235
101,87,0.73104
101,93,0.73647
101,99,0.7445
101,105,0.74885
101,111,0.74535
101,117,0.74775
101,123,0.75944
101,127,0.75745
108,3,0.20963
108,9,0.35386
108,15,0.48212
108,21,0.49916
108,27,0.49849
108,33,0.49925
108,39,0.49921
108,45,0.49117
108,51,0.48305
108,57,0.47955
108,63,0.47484
108,69,0.47191
108,75,0.47856
108,81,0.46938
108,87,0.46694
108,93,0.45792
108,99,0.45146
108,105,0.45043
108,111,0.446
108,117,0.4495
108,123,0.43963
108,127,0.43951
115,3,0.2242
115,9,0.30376
115,15,0.43414
115,21,0.5057
115,27,0.54987
115,33,0.56119
115,39,0.57786
115,45,0.5833
115,51,0.58777
115,57,0.59652
115,63,0.58977
115,69,0.59306
115,75,0.58961
115,81,0.58807
115,87,0.59154
115,93,0.5863
115,99,0.58567
115,105,0.5951
115,111,0.58278
115,117,0.5805
115,123,0.58589
115,127,0.58011
122,3,0.2483
122,9,0.311
122,15,0.49582
122,21,0.63055
122,27,0.68635
122,33,0.71582
122,39,0.74571
122,45,0.77037
122,51,0.79766
122,57,0.79934
122,63,0.82129
122,69,0.82044
122,75,0.82248
122,81,0.82495
122,87,0.84256
122,93,0.85537
122,99,0.85269
122,105,0.8705
122,111,0.88333
122,117,0.90118
122,123,0.90455
122,127,0.91459
129,3,0.29688
129,9,0.30599
129,15,0.40727
129,21,0.45876
129,27,0.47967
129,33,0.48365
129,39,0.48476
129,45,0.47409
129,51,0.46492
129,57,0.47246
129,63,0.50169
129,69,0.51429
129,75,0.53593
129,81,0.54416
129,87,0.57255
129,93,0.5827
129,99,0.5941
129,105,0.60414
129,111,0.61155
129,117,0.63293
129,123,0.63419
129,127,0.63075
136,3,0.67708
136,9,0.6609
136,15,0.59645
136,21,0.5766
136,27,0.57258
136,33,0.56097
136,39,0.53974
136,45,0.51512
136,51,0.49011
136,57,0.47415
136,63,0.46841
136,69,0.46651
136,75,0.47086
136,81,0.47554
136,87,0.47945
136,93,0.49377
136,99,0.50777
136,105,0.51825
136,111,0.52694
136,117,0.54646
136,123,0.54254
136,127,0.53924
143,3,0.72092
143,9,0.64954
143,15,0.54782
143,21,0.46446
143,27,0.40943
143,33,0.38345
143,39,0.36082
143,45,0.35527
143,51,0.35409
143,57,0.36048
143,63,0.36492
143,69,0.3811
143,75,0.40183
143,81,0.40545
143,87,0.4148
143,93,0.41513
143,99,0.4207
143,105,0.42597
143,111,0.42435
143,117,0.43095
143,123,0.43533
143,127,0.43806
150,3,0.69382
150,9,0.73445
150,15,0.56671
150,21,0.48119
150,27,0.45065
150,33,0.45047
150,39,0.45534
150,45,0.48117
150,51,0.49793
150,57,0.51346
150,63,0.5239
150,69,0.5525
150,75,0.56524
150,81,0.59455
150,87,0.60996
150,93,0.61665
150,99,0.61902
150,105,0.63553
150,111,0.63398
150,117,0.64996
150,123,0.66973
150,127,0.67804
157,3,0.81092
157,9,1.00308
157,15,0.83269
157,21,0.65893
157,27,0.5375
157,33,0.46497
157,39,0.43317
157,45,0.44734
157,51,0.49289
157,57,0.53391
157,63,0.565
157,69,0.60151
157,75,0.63122
157,81,0.66203
157,87,0.68798
157,93,0.70693
157,99,0.72187
157,105,0.74153
157,111,0.74919
157,117,0.75983
157,123,0.76417
157,127,0.76732
164,3,0.60535
164,9,0.69988
164,15,0.56537
164,21,0.4862
164,27,0.46095
164,33,0.44035
164,39,0.43025
164,45,0.43071
164,51,0.43081
164,57,0.42583
164,63,0.4275
164,69,0.44597
164,75,0.45474
164,81,0.46973
164,87,0.48419
164,93,0.50137
164,99,0.52421
164,105,0.52598
164,111,0.53914
164,117,0.54084
164,123,0.54769
164,127,0.56283
171,3,0.82916
171,9,1.01473
171,15,0.88728
171,21,0.71093
171,27,0.60324
171,33,0.54977
171,39,0.50562
171,45,0.4664
171,51,0.45154
171,57,0.43966
171,63,0.43587
171,69,0.43621
171,75,0.42815
171,81,0.42818
171,87,0.42284
171,93,0.41793
171,99,0.414
171,105,0.40402
171,111,0.40417
171,117,0.4035
171,123,0.40127
171,127,0.40607
178,3,0.46564
178,9,0.53342
178,15,0.46046
178,21,0.43393
178,27,0.43245
178,33,0.45454
178,39,0.47708
178,45,0.5029
178,51,0.51121
178,57,0.51592
178,63,0.51792
178,69,0.51759
178,75,0.51498
178,81,0.51387
178,87,0.50098
178,93,0.48696
178,99,0.45638
178,105,0.43857
178,111,0.4308
178,117,0.41519
178,123,0.40095
178,127,0.40152
185,3,0.62537
185,9,0.69376
185,15,0.61548
185,21,0.59779
185,27,0.65099
185,33,0.67287
185,39,0.69602
185,45,0.70313
185,51,0.70888
185,57,0.69868
185,63,0.68543
185,69,0.67192
185,75,0.65269
185,81,0.63595
185,87,0.60993
185,93,0.58679
185,99,0.57004
185,105,0.55924
185,111,0.53532
185,117,0.51427
185,123,0.49908
185,127,0.50321
192,3,0.44729
192,9,0.48475
192,15,0.43825
192,21,0.43446
192,27,0.48335
192,33,0.51471
192,39,0.54334
192,45,0.57782
192,51,0.59639
192,57,0.59585
192,63,0.59292
192,69,0.58931
192,75,0.57334
192,81,0.53602
192,87,0.51592
192,93,0.48992
192,99,0.45996
192,105,0.43439
192,111,0.41275
192,117,0.38656
192,123,0.36595
192,127,0.35767
199,3,0.40557
199,9,0.40929
199,15,0.39861
199,21,0.42298
199,27,0.46191
199,33,0.49778
199,39,0.52889
199,45,0.56402
199,51,0.58119
199,57,0.58323
199,63,0.59238
199,69,0.58798
199,75,0.58669
199,81,0.57095
199,87,0.54663
199,93,0.53735
199,99,0.52732
199,105,0.51858
199,111,0.49026
199,117,0.46118
199,123,0.43475
199,127,0.41559
206,3,0.60739
206,9,0.5768
206,15,0.49624
206,21,0.44779
206,27,0.44162
206,33,0.45758
206,39,0.49529
206,45,0.54435
206,51,0.59042
206,57,0.65437
206,63,0.66854
206,69,0.6872
206,75,0.69625
206,81,0.68362
206,87,0.65318
206,93,0.60964
206,99,0.54393
206,105,0.50138
206,111,0.44939
206,117,0.41449
206,123,0.38008
206,127,0.3604
213,3,0.78292
213,9,0.72059
