iteration,position,value
3,3,2.08032
3,9,2.09102
3,15,2.09453
3,21,2.09214
3,27,2.0909
3,33,2.09559
3,39,2.08535
3,45,2.09789
3,51,2.08605
3,57,2.08767
3,63,2.08674
3,69,2.09344
3,75,2.08795
3,81,2.08263
3,87,2.0818
3,93,2.08392
3,99,2.07937
3,105,2.08754
3,111,2.07771
3,117,2.07964
3,123,2.0871
3,127,2.08657
10,3,2.96896
10,9,2.97661
10,15,2.97229
10,21,2.98045
10,27,2.98097
10,33,2.97796
10,39,2.98167
10,45,2.97873
10,51,2.97835
10,57,2.98252
10,63,2.98452
10,69,2.98681
10,75,2.98555
10,81,2.98829
10,87,2.99334
10,93,2.98916
10,99,2.99037
10,105,2.99039
10,111,2.99329
10,117,2.98626
10,123,2.99557
10,127,2.99578
17,3,2.50258
17,9,2.47914
17,15,2.48315
17,21,2.4794
17,27,2.48422
17,33,2.49044
17,39,2.48127
17,45,2.47832
17,51,2.48281
17,57,2.48477
17,63,2.47962
17,69,2.48258
17,75,2.48061
17,81,2.48232
17,87,2.47954
17,93,2.47588
17,99,2.47808
17,105,2.47493
17,111,2.47878
17,117,2.47748
17,123,2.4768
17,127,2.46812
24,3,0.75823
24,9,0.76852
24,15,0.76891
24,21,0.76965
24,27,0.76992
24,33,0.76858
24,39,0.77071
24,45,0.77238
24,51,0.77653
24,57,0.77079
24,63,0.77011
24,69,0.76553
24,75,0.76683
24,81,0.76343
24,87,0.76343
24,93,0.76232
24,99,0.75719
24,105,0.76274
24,111,0.76788
24,117,0.76668
24,123,0.76606
24,127,0.75493
31,3,0.21771
31,9,0.32998
31,15,0.3447
31,21,0.34849
31,27,0.35437
31,33,0.35969
31,39,0.35967
31,45,0.3703
31,51,0.36983
31,57,0.37302
31,63,0.37023
31,69,0.37871
31,75,0.3756
31,81,0.38066
31,87,0.38057
31,93,0.38275
31,99,0.37956
31,105,0.38611
31,111,0.3884
31,117,0.38508
31,123,0.38425
31,127,0.37982
38,3,0.48373
38,9,0.93802
38,15,1.02878
38,21,1.07929
38,27,1.12061
38,33,1.16116
38,39,1.18333
38,45,1.19488
38,51,1.2114
38,57,1.23204
38,63,1.24105
38,69,1.24839
38,75,1.25339
38,81,1.25393
38,87,1.25505
38,93,1.25556
38,99,1.26326
38,105,1.25715
38,111,1.27788
38,117,1.27592
38,123,1.28089
38,127,1.27357
45,3,0.38227
45,9,0.64982
45,15,0.74384
45,21,0.87098
45,27,0.95623
45,33,1.06053
45,39,1.14404
45,45,1.2028
45,51,1.26162
45,57,1.28188
45,63,1.31723
45,69,1.33093
45,75,1.3367
45,81,1.34773
45,87,1.34617
45,93,1.33394
45,99,1.34466
45,105,1.3369
45,111,1.32792
45,117,1.32197
45,123,1.31439
45,127,1.31217
52,3,0.3497
52,9,0.50276
52,15,0.60142
52,21,0.65459
52,27,0.69145
52,33,0.72314
52,39,0.73274
52,45,0.73441
52,51,0.75306
52,57,0.76263
52,63,0.77181
52,69,0.77665
52,75,0.78208
52,81,0.79406
52,87,0.79837
52,93,0.8098
52,99,0.82281
52,105,0.83082
52,111,0.85342
52,117,0.86054
52,123,0.87404
52,127,0.87218
59,3,0.3415
59,9,0.3971
59,15,0.43539
59,21,0.44699
59,27,0.44208
59,33,0.41673
59,39,0.37483
59,45,0.35268
59,51,0.33009
59,57,0.31481
59,63,0.30196
59,69,0.30074
59,75,0.30276
59,81,0.30442
59,87,0.30605
59,93,0.31385
59,99,0.31151
59,105,0.31907
59,111,0.32616
59,117,0.33498
59,123,0.33859
59,127,0.34789
66,3,0.34678
66,9,0.33099
66,15,0.34196
66,21,0.35289
66,27,0.36329
66,33,0.36168
66,39,0.35887
66,45,0.35404
66,51,0.35509
66,57,0.36737
66,63,0.37291
66,69,0.38261
66,75,0.40382
66,81,0.42843
66,87,0.44872
66,93,0.46905
66,99,0.47673
66,105,0.47521
66,111,0.4837
66,117,0.47377
66,123,0.45685
66,127,0.44613
73,3,0.49842
73,9,0.40985
73,15,0.38995
73,21,0.39496
73,27,0.4058
73,33,0.41723
73,39,0.41171
73,45,0.40314
73,51,0.39697
73,57,0.40054
73,63,0.40781
73,69,0.4261
73,75,0.45945
73,81,0.50423
73,87,0.54806
73,93,0.61066
73,99,0.65711
73,105,0.70789
73,111,0.74695
73,117,0.79199
73,123,0.80379
73,127,0.80666
80,3,0.51957
80,9,0.40677
80,15,0.40633
80,21,0.43179
80,27,0.43632
80,33,0.44169
80,39,0.43593
80,45,0.42929
80,51,0.43194
80,57,0.4389
80,63,0.44422
80,69,0.46548
80,75,0.48037
80,81,0.51331
80,87,0.53684
80,93,0.56622
80,99,0.59209
80,105,0.62314
80,111,0.64777
80,117,0.6555
80,123,0.6727
80,127,0.68703
87,3,0.53804
87,9,0.43859
87,15,0.41089
87,21,0.41389
87,27,0.44202
87,33,0.45314
87,39,0.43468
87,45,0.42246
87,51,0.4005
87,57,0.38983
87,63,0.38904
87,69,0.38595
87,75,0.38551
87,81,0.40252
87,87,0.42278
87,93,0.46421
87,99,0.52705
87,105,0.59538
87,111,0.64974
87,117,0.70186
87,123,0.73686
87,127,0.74619
94,3,0.67776
94,9,0.64042
94,15,0.62212
94,21,0.59024
94,27,0.56848
94,33,0.54289
94,39,0.52212
94,45,0.50578
94,51,0.50402
94,57,0.50157
94,63,0.51271
94,69,0.50873
94,75,0.49357
94,81,0.48351
94,87,0.46778
94,93,0.46466
94,99,0.46764
94,105,0.4726
94,111,0.4598
94,117,0.44238
94,123,0.44896
94,127,0.45566
101,3,0.64625
101,9,0.62702
101,15,0.61535
101,21,0.59229
101,27,0.566
101,33,0.53815
101,39,0.50727
101,45,0.49347
101,51,0.47467
101,57,0.46772
