x,lo,mid,hi
0.001,240.0,240.0,240.0
0.066,243.0,244.0,365.0
0.131,243.0,365.0,373.0
0.196,249.0,371.0,380.0
0.326,299.0,376.0,400.0
0.391,365.0,380.0,402.0
0.456,365.0,383.0,406.0
0.521,366.0,389.0,414.0
0.651,371.0,396.0,428.0
0.716,371.0,399.0,434.0
0.781,371.0,399.0,437.0
0.846,372.0,403.0,443.0
0.976,372.0,406.0,447.0
1.041,372.0,406.0,449.0
1.106,372.0,407.0,449.0
1.171,374.0,410.0,449.0
1.301,380.0,415.0,453.0
1.366,380.0,417.0,456.0
1.431,380.0,418.0,458.0
1.496,380.0,425.0,459.0
1.626,381.0,428.0,465.0
1.691,383.0,430.0,470.0
1.756,384.0,438.0,475.0
1.821,386.0,452.0,477.0
1.951,391.0,457.0,484.0
2.016,391.0,458.0,492.0
2.081,393.0,458.0,494.0
2.146,393.0,468.0,494.0
2.276,399.0,471.0,501.0
2.341,402.0,471.0,502.0
2.406,402.0,473.0,535.0
2.471,403.0,476.0,535.0
2.601,423.0,479.0,539.0
2.666,435.0,482.0,539.0
2.731,435.0,490.0,541.0
2.796,442.0,497.0,541.0
2.926,442.0,536.0,541.0
2.991,442.0,536.0,541.0
3.056,443.0,536.0,542.0
3.121,443.0,539.0,575.0
3.251,447.0,539.0,576.0
3.316,454.0,559.0,583.0
3.381,454.0,559.0,585.0
3.511,458.0,565.0,585.0
3.576,477.0,565.0,585.0
3.641,483.0,565.0,585.0
3.706,483.0,565.0,585.0
3.836,485.0,565.0,585.0
3.901,485.0,565.0,585.0
3.966,487.0,565.0,585.0
4.031,512.0,566.0,585.0
4.161,516.0,578.0,586.0
4.226,516.0,583.0,613.0
4.291,516.0,583.0,613.0
4.356,516.0,583.0,662.0
4.486,542.0,583.0,662.0
4.551,544.0,583.0,662.0
4.616,545.0,590.0,662.0
4.681,545.0,592.0,662.0
4.811,546.0,593.0,691.0
4.876,547.0,593.0,696.0
4.941,552.0,595.0,699.0
5.006,558.0,596.0,700.0
5.136,558.0,598.0,704.0
5.201,558.0,599.0,707.0
5.266,558.0,599.0,707.0
5.331,569.0,599.0,707.0
5.461,579.0,632.0,708.0
5.526,581.0,633.0,709.0
5.591,582.0,633.0,709.0
5.656,582.0,633.0,709.0
5.786,584.0,633.0,709.0
5.851,584.0,633.0,709.0
5.916,584.0,633.0,709.0
5.981,585.0,633.0,709.0
6.111,585.0,633.0,709.0
6.176,589.0,633.0,709.0
6.241,589.0,633.0,709.0
6.306,589.0,633.0,709.0
6.436,589.0,634.0,715.0
6.501,589.0,634.0,716.0
6.566,589.0,644.0,716.0
6.696,590.0,660.0,720.0
6.761,590.0,660.0,720.0
6.826,592.0,660.0,720.0
6.891,592.0,660.0,721.0
7.021,601.0,660.0,724.0
7.086,602.0,661.0,724.0
7.151,605.0,661.0,740.0
7.216,605.0,661.0,740.0
7.346,608.0,662.0,766.0
7.411,608.0,664.0,766.0
7.476,608.0,665.0,767.0
7.541,614.0,665.0,767.0
7.671,638.0,672.0,770.0
7.736,638.0,677.0,770.0
7.801,638.0,679.0,772.0
7.866,638.0,679.0,773.0
7.996,639.0,680.0,773.0
8.061,639.0,680.0,777.0
8.126,641.0,680.0,779.0
8.191,643.0,680.0,779.0
8.321,654.0,680.0,781.0
8.386,654.0,688.0,786.0
8.451,664.0,688.0,786.0
8.516,664.0,692.0,814.0
8.646,673.0,715.0,821.0
8.711,673.0,720.0,823.0
8.776,673.0,720.0,833.0
8.841,673.0,812.0,834.0
8.971,673.0,813.0,834.0
9.036,673.0,813.0,834.0
9.101,674.0,813.0,834.0
9.166,676.0,813.0,834.0
9.296,676.0,813.0,834.0
9.361,677.0,822.0,852.0
9.426,677.0,822.0,852.0
9.491,677.0,822.0,852.0
9.621,679.0,824.0,852.0
9.686,685.0,824.0,852.0
9.751,716.0,824.0,852.0
9.881,749.0,824.0,853.0
9.946,749.0,824.0,853.0
10.011,753.0,824.0,876.0
10.076,777.0,824.0,876.0
10.206,810.0,829.0,878.0
10.271,810.0,830.0,891.0
10.336,810.0,830.0,891.0
10.401,810.0,830.0,891.0
10.531,810.0,831.0,891.0
10.596,810.0,833.0,900.0
10.661,811.0,835.0,900.0
10.726,811.0,835.0,900.0
10.856,811.0,835.0,900.0
10.921,811.0,835.0,900.0
10.986,811.0,835.0,900.0
11.051,812.0,835.0,900.0
11.181,815.0,838.0,913.0
11.246,815.0,838.0,913.0
11.311,815.0,839.0,913.0
11.376,815.0,839.0,913.0
11.506,815.0,839.0,913.0
11.571,815.0,839.0,913.0
11.636,815.0,839.0,913.0
11.701,815.0,839.0,913.0
11.831,815.0,840.0,913.0
11.896,816.0,871.0,913.0
11.961,816.0,876.0,913.0
12.026,816.0,876.0,913.0
12.156,816.0,876.0,913.0
12.221,816.0,876.0,913.0
12.286,816.0,876.0,913.0
12.351,816.0,876.0,913.0
12.481,816.0,876.0,913.0
12.546,816.0,876.0,913.0
12.611,816.0,876.0,913.0
12.676,816.0,876.0,913.0
12.806,816.0,876.0,913.0
12.871,816.0,876.0,913.0
12.936,816.0,876.0,914.0
13.001,816.0,876.0,914.0
