x,lo,mid,hi
0.001,240.0,240.0,240.0
0.066,243.0,243.0,371.0
0.131,243.0,371.0,375.0
0.196,253.0,372.0,381.0
0.326,366.0,380.0,402.0
0.391,367.0,380.0,440.0
0.456,371.0,380.0,441.0
0.521,371.0,383.0,442.0
0.651,372.0,384.0,444.0
0.716,373.0,384.0,446.0
0.781,373.0,384.0,449.0
0.846,373.0,388.0,449.0
0.976,375.0,399.0,459.0
1.041,375.0,403.0,459.0
1.106,377.0,414.0,459.0
1.171,377.0,418.0,459.0
1.301,384.0,418.0,482.0
1.366,387.0,418.0,488.0
1.431,388.0,419.0,489.0
1.496,388.0,419.0,499.0
1.626,389.0,422.0,503.0
1.691,390.0,425.0,503.0
1.756,390.0,425.0,503.0
1.821,392.0,425.0,504.0
1.951,395.0,432.0,504.0
2.016,402.0,436.0,504.0
2.081,403.0,448.0,504.0
2.146,403.0,448.0,505.0
2.276,411.0,463.0,511.0
2.341,414.0,470.0,522.0
2.406,440.0,548.0,570.0
2.471,442.0,553.0,570.0
2.601,446.0,557.0,576.0
2.666,446.0,563.0,577.0
2.731,451.0,563.0,577.0
2.796,451.0,563.0,577.0
2.926,466.0,569.0,581.0
2.991,476.0,569.0,581.0
3.056,500.0,569.0,581.0
3.121,501.0,569.0,581.0
3.251,540.0,570.0,581.0
3.316,540.0,572.0,582.0
3.381,541.0,573.0,587.0
3.511,541.0,573.0,587.0
3.576,541.0,573.0,587.0
3.641,561.0,582.0,591.0
3.706,561.0,582.0,593.0
3.836,564.0,582.0,599.0
3.901,565.0,582.0,629.0
3.966,565.0,584.0,629.0
4.031,565.0,584.0,629.0
4.161,565.0,586.0,631.0
4.226,565.0,586.0,631.0
4.291,565.0,587.0,631.0
4.356,565.0,587.0,631.0
4.486,565.0,587.0,631.0
4.551,565.0,587.0,631.0
4.616,578.0,588.0,631.0
4.681,578.0,588.0,631.0
4.811,580.0,590.0,631.0
4.876,580.0,596.0,631.0
4.941,580.0,622.0,632.0
5.006,580.0,622.0,632.0
5.136,580.0,625.0,635.0
5.201,580.0,628.0,635.0
5.266,582.0,628.0,635.0
5.331,582.0,628.0,635.0
5.461,582.0,629.0,649.0
5.526,582.0,629.0,649.0
5.591,582.0,629.0,649.0
5.656,582.0,629.0,649.0
5.786,582.0,629.0,649.0
5.851,582.0,629.0,649.0
5.916,582.0,629.0,649.0
5.981,582.0,629.0,649.0
6.111,582.0,629.0,649.0
6.176,582.0,629.0,649.0
6.241,582.0,629.0,649.0
6.306,582.0,629.0,649.0
6.436,582.0,629.0,649.0
6.501,582.0,629.0,649.0
6.566,582.0,629.0,649.0
6.696,582.0,629.0,649.0
6.761,582.0,629.0,649.0
6.826,586.0,629.0,649.0
6.891,586.0,629.0,649.0
7.021,586.0,629.0,649.0
7.086,586.0,629.0,649.0
7.151,586.0,629.0,649.0
7.216,596.0,629.0,649.0
7.346,596.0,629.0,649.0
7.411,596.0,629.0,649.0
7.476,596.0,629.0,649.0
7.541,596.0,629.0,649.0
7.671,596.0,629.0,649.0
7.736,596.0,629.0,649.0
7.801,596.0,629.0,649.0
7.866,596.0,629.0,649.0
7.996,596.0,629.0,649.0
8.061,597.0,629.0,650.0
8.126,597.0,629.0,650.0
8.191,597.0,629.0,650.0
8.321,598.0,633.0,651.0
8.386,598.0,633.0,651.0
8.451,598.0,639.0,651.0
8.516,604.0,639.0,651.0
8.646,604.0,639.0,651.0
8.711,604.0,639.0,655.0
8.776,604.0,639.0,655.0
8.841,604.0,639.0,655.0
8.971,604.0,639.0,656.0
9.036,604.0,639.0,656.0
9.101,604.0,640.0,656.0
9.166,604.0,640.0,656.0
9.296,604.0,640.0,656.0
9.361,604.0,641.0,667.0
9.426,604.0,643.0,667.0
9.491,604.0,643.0,667.0
9.621,604.0,643.0,667.0
9.686,604.0,643.0,668.0
9.751,604.0,643.0,668.0
9.881,604.0,643.0,668.0
9.946,604.0,643.0,668.0
10.011,604.0,643.0,668.0
10.076,604.0,643.0,668.0
10.206,606.0,643.0,670.0
10.271,606.0,643.0,670.0
10.336,606.0,643.0,670.0
10.401,606.0,643.0,670.0
10.531,606.0,643.0,671.0
10.596,606.0,643.0,671.0
10.661,606.0,643.0,671.0
10.726,606.0,643.0,671.0
10.856,606.0,643.0,671.0
10.921,606.0,643.0,671.0
10.986,607.0,643.0,671.0
11.051,607.0,643.0,671.0
11.181,607.0,643.0,671.0
11.246,607.0,643.0,671.0
11.311,607.0,643.0,671.0
11.376,607.0,643.0,671.0
11.506,607.0,643.0,671.0
11.571,607.0,643.0,671.0
11.636,607.0,643.0,671.0
11.701,607.0,643.0,671.0
11.831,607.0,643.0,671.0
11.896,607.0,643.0,671.0
11.961,607.0,644.0,671.0
12.026,607.0,644.0,671.0
12.156,608.0,644.0,672.0
12.221,608.0,644.0,672.0
12.286,608.0,644.0,672.0
12.351,608.0,644.0,672.0
12.481,608.0,644.0,672.0
12.546,608.0,644.0,672.0
12.611,608.0,644.0,672.0
12.676,608.0,644.0,672.0
12.806,609.0,645.0,673.0
12.871,609.0,645.0,673.0
12.936,609.0,645.0,673.0
13.001,609.0,645.0,673.0
