x,lo,mid,hi
0.001,240.0,240.0,240.0
0.066,243.0,243.0,365.0
0.131,243.0,365.0,373.0
0.196,261.0,371.0,380.0
0.326,366.0,377.0,398.0
0.391,372.0,380.0,406.0
0.456,372.0,384.0,415.0
0.521,372.0,389.0,428.0
0.651,380.0,399.0,439.0
0.716,380.0,405.0,447.0
0.781,383.0,408.0,450.0
0.846,384.0,415.0,455.0
0.976,391.0,428.0,463.0
1.041,395.0,430.0,465.0
1.106,397.0,434.0,468.0
1.171,399.0,434.0,471.0
1.301,402.0,436.0,475.0
1.366,403.0,439.0,477.0
1.431,406.0,441.0,478.0
1.496,406.0,442.0,480.0
1.626,411.0,450.0,482.0
1.691,411.0,453.0,485.0
1.756,412.0,455.0,490.0
1.821,418.0,457.0,490.0
1.951,425.0,457.0,492.0
2.016,426.0,458.0,492.0
2.081,426.0,459.0,493.0
2.146,426.0,462.0,493.0
2.276,433.0,464.0,498.0
2.341,433.0,465.0,499.0
2.406,439.0,470.0,499.0
2.471,439.0,471.0,500.0
2.601,440.0,477.0,500.0
2.666,440.0,480.0,502.0
2.731,440.0,481.0,505.0
2.796,441.0,481.0,508.0
2.926,446.0,482.0,511.0
2.991,446.0,482.0,511.0
3.056,454.0,483.0,512.0
3.121,454.0,484.0,512.0
3.251,458.0,485.0,515.0
3.316,458.0,486.0,515.0
3.381,458.0,488.0,517.0
3.511,458.0,493.0,517.0
3.576,459.0,494.0,518.0
3.641,460.0,496.0,519.0
3.706,462.0,497.0,522.0
3.836,463.0,498.0,525.0
3.901,465.0,498.0,525.0
3.966,465.0,500.0,527.0
4.031,465.0,501.0,529.0
4.161,467.0,502.0,530.0
4.226,467.0,502.0,530.0
4.291,467.0,504.0,530.0
4.356,469.0,504.0,531.0
4.486,469.0,504.0,532.0
4.551,478.0,505.0,532.0
4.616,478.0,505.0,533.0
4.681,479.0,505.0,533.0
4.811,482.0,506.0,534.0
4.876,482.0,506.0,534.0
4.941,482.0,506.0,534.0
5.006,482.0,507.0,534.0
5.136,483.0,507.0,535.0
5.201,483.0,508.0,536.0
5.266,483.0,510.0,536.0
5.331,485.0,511.0,536.0
5.461,485.0,511.0,536.0
5.526,485.0,511.0,536.0
5.591,485.0,511.0,536.0
5.656,485.0,512.0,536.0
5.786,487.0,514.0,538.0
5.851,489.0,514.0,538.0
5.916,489.0,516.0,538.0
5.981,492.0,516.0,538.0
6.111,494.0,516.0,538.0
6.176,496.0,518.0,538.0
6.241,496.0,520.0,538.0
6.306,496.0,520.0,538.0
6.436,498.0,520.0,539.0
6.501,498.0,520.0,539.0
6.566,499.0,520.0,539.0
6.696,499.0,521.0,539.0
6.761,499.0,521.0,539.0
6.826,500.0,521.0,539.0
6.891,500.0,521.0,539.0
7.021,501.0,521.0,539.0
7.086,501.0,521.0,539.0
7.151,501.0,521.0,540.0
7.216,501.0,521.0,540.0
7.346,501.0,526.0,540.0
7.411,502.0,526.0,541.0
7.476,502.0,526.0,541.0
7.541,502.0,530.0,541.0
7.671,502.0,534.0,542.0
7.736,502.0,535.0,542.0
7.801,502.0,536.0,542.0
7.866,502.0,536.0,542.0
7.996,503.0,536.0,542.0
8.061,503.0,536.0,542.0
8.126,503.0,536.0,542.0
8.191,503.0,536.0,543.0
8.321,503.0,537.0,543.0
8.386,504.0,537.0,543.0
8.451,504.0,537.0,545.0
8.516,504.0,537.0,545.0
8.646,504.0,537.0,545.0
8.711,504.0,537.0,545.0
8.776,504.0,537.0,545.0
8.841,504.0,537.0,545.0
8.971,505.0,537.0,545.0
9.036,505.0,538.0,546.0
9.101,505.0,538.0,546.0
9.166,505.0,538.0,546.0
9.296,506.0,538.0,546.0
9.361,506.0,538.0,546.0
9.426,507.0,538.0,546.0
9.491,507.0,538.0,546.0
9.621,507.0,538.0,546.0
9.686,507.0,538.0,546.0
9.751,507.0,539.0,547.0
9.881,507.0,539.0,547.0
9.946,507.0,539.0,547.0
10.011,507.0,539.0,547.0
10.076,507.0,539.0,547.0
10.206,508.0,539.0,548.0
10.271,508.0,539.0,548.0
10.336,508.0,539.0,548.0
10.401,508.0,539.0,548.0
10.531,508.0,539.0,548.0
10.596,508.0,539.0,548.0
10.661,508.0,540.0,549.0
10.726,509.0,540.0,550.0
10.856,509.0,540.0,550.0
10.921,509.0,540.0,550.0
10.986,509.0,540.0,550.0
11.051,509.0,540.0,550.0
11.181,509.0,540.0,550.0
11.246,510.0,540.0,550.0
11.311,510.0,540.0,550.0
11.376,510.0,540.0,550.0
11.506,510.0,540.0,551.0
11.571,510.0,540.0,551.0
11.636,510.0,541.0,551.0
11.701,510.0,541.0,551.0
11.831,511.0,541.0,552.0
11.896,511.0,541.0,552.0
11.961,511.0,541.0,552.0
12.026,511.0,541.0,552.0
12.156,512.0,541.0,552.0
12.221,512.0,541.0,552.0
12.286,513.0,541.0,552.0
12.351,513.0,541.0,552.0
12.481,513.0,541.0,552.0
12.546,513.0,541.0,553.0
12.611,513.0,541.0,555.0
12.676,515.0,542.0,555.0
12.806,515.0,542.0,555.0
12.871,515.0,542.0,555.0
12.936,515.0,542.0,555.0
13.001,515.0,542.0,555.0
