x,lo,mid,hi
0.001,240.0,240.0,240.0
0.066,243.0,243.0,370.0
0.131,243.0,365.0,373.0
0.196,243.0,372.0,380.0
0.261,243.0,373.0,384.0
0.391,347.0,380.0,398.0
0.456,372.0,380.0,399.0
0.521,372.0,380.0,406.0
0.586,372.0,380.0,413.0
0.716,373.0,384.0,417.0
0.781,376.0,385.0,418.0
0.846,376.0,389.0,420.0
0.911,380.0,397.0,433.0
0.976,380.0,399.0,436.0
1.106,384.0,408.0,444.0
1.171,384.0,418.0,454.0
1.236,384.0,424.0,464.0
1.301,385.0,426.0,473.0
1.431,388.0,435.0,487.0
1.496,389.0,445.0,489.0
1.561,393.0,446.0,495.0
1.626,395.0,448.0,495.0
1.691,399.0,457.0,500.0
1.821,400.0,457.0,509.0
1.886,403.0,464.0,519.0
1.951,403.0,465.0,522.0
2.016,411.0,479.0,524.0
2.146,423.0,493.0,528.0
2.211,424.0,495.0,546.0
2.276,427.0,497.0,563.0
2.341,429.0,508.0,563.0
2.406,435.0,509.0,577.0
2.536,487.0,566.0,582.0
2.601,492.0,570.0,585.0
2.666,504.0,571.0,587.0
2.731,504.0,584.0,613.0
2.861,507.0,590.0,616.0
2.926,539.0,591.0,616.0
2.991,572.0,591.0,619.0
3.056,577.0,596.0,623.0
3.186,580.0,609.0,631.0
3.251,583.0,613.0,634.0
3.316,583.0,614.0,640.0
3.381,583.0,615.0,640.0
3.446,586.0,622.0,646.0
3.576,586.0,633.0,656.0
3.641,586.0,635.0,663.0
3.706,587.0,636.0,665.0
3.771,589.0,638.0,669.0
3.901,594.0,651.0,677.0
3.966,604.0,655.0,682.0
4.031,605.0,659.0,685.0
4.096,605.0,661.0,687.0
4.161,612.0,662.0,688.0
4.291,612.0,667.0,699.0
4.356,620.0,668.0,699.0
4.421,622.0,670.0,700.0
4.486,624.0,672.0,704.0
4.616,630.0,674.0,709.0
4.681,632.0,676.0,712.0
4.746,633.0,677.0,713.0
4.811,634.0,678.0,714.0
4.876,634.0,679.0,715.0
5.006,635.0,682.0,721.0
5.071,636.0,683.0,721.0
5.136,637.0,684.0,722.0
5.201,639.0,686.0,725.0
5.331,639.0,689.0,735.0
5.396,641.0,692.0,744.0
5.461,643.0,694.0,783.0
5.526,645.0,696.0,787.0
5.591,649.0,697.0,789.0
5.721,662.0,701.0,814.0
5.786,668.0,703.0,826.0
5.851,674.0,703.0,835.0
5.916,674.0,704.0,861.0
6.046,677.0,707.0,872.0
6.111,679.0,707.0,873.0
6.176,679.0,708.0,877.0
6.241,680.0,721.0,878.0
6.371,684.0,723.0,883.0
6.436,685.0,725.0,884.0
6.501,686.0,725.0,889.0
6.566,686.0,725.0,892.0
6.631,687.0,726.0,893.0
6.761,688.0,730.0,904.0
6.826,688.0,731.0,904.0
6.891,688.0,731.0,906.0
6.956,689.0,733.0,907.0
7.086,710.0,741.0,912.0
7.151,715.0,743.0,913.0
7.216,715.0,744.0,914.0
7.281,716.0,749.0,915.0
7.346,717.0,750.0,915.0
7.476,721.0,758.0,918.0
7.541,723.0,766.0,920.0
7.606,723.0,789.0,921.0
7.671,724.0,824.0,922.0
7.801,737.0,881.0,925.0
7.866,738.0,888.0,925.0
7.931,740.0,891.0,926.0
7.996,742.0,893.0,926.0
8.061,746.0,896.0,927.0
8.191,775.0,901.0,927.0
8.256,778.0,902.0,928.0
8.321,782.0,903.0,929.0
8.386,782.0,906.0,929.0
8.516,789.0,911.0,930.0
8.581,794.0,912.0,930.0
8.646,814.0,913.0,931.0
8.711,848.0,914.0,931.0
8.776,879.0,915.0,932.0
8.906,883.0,915.0,933.0
8.971,885.0,916.0,933.0
9.036,887.0,918.0,934.0
9.101,890.0,918.0,934.0
9.231,891.0,920.0,936.0
9.296,894.0,921.0,936.0
9.361,896.0,922.0,937.0
9.426,898.0,922.0,937.0
9.556,905.0,923.0,949.0
9.621,909.0,930.0,950.0
9.686,910.0,930.0,953.0
9.751,910.0,930.0,958.0
9.816,911.0,930.0,960.0
9.946,911.0,931.0,962.0
10.011,912.0,931.0,967.0
10.076,912.0,931.0,967.0
10.141,912.0,931.0,967.0
10.271,914.0,932.0,968.0
10.336,914.0,932.0,968.0
10.401,914.0,932.0,968.0
10.466,915.0,933.0,968.0
10.531,916.0,934.0,968.0
10.661,916.0,934.0,971.0
10.726,916.0,934.0,972.0
10.791,916.0,935.0,982.0
10.856,916.0,935.0,982.0
10.986,916.0,935.0,982.0
11.051,916.0,935.0,984.0
11.116,916.0,935.0,984.0
11.181,916.0,936.0,984.0
11.246,918.0,937.0,986.0
11.376,919.0,937.0,986.0
11.441,919.0,938.0,986.0
11.506,919.0,939.0,987.0
11.571,919.0,939.0,987.0
11.701,920.0,940.0,987.0
11.766,920.0,940.0,988.0
11.831,920.0,940.0,988.0
11.896,921.0,941.0,988.0
11.961,921.0,941.0,988.0
12.091,921.0,944.0,988.0
12.156,923.0,945.0,988.0
12.221,923.0,947.0,988.0
12.286,923.0,951.0,988.0
12.416,924.0,952.0,991.0
12.481,924.0,954.0,991.0
12.546,933.0,955.0,991.0
12.611,933.0,945.0,968.0
12.676,950.0,958.0,969.0
