x,lo,mid,hi
0.001,1416.0,1416.0,1416.0
0.131,1416.0,1416.0,1418.0
0.326,1416.0,1418.0,1421.0
0.456,1416.0,1418.0,1423.0
0.651,1418.0,1419.0,1424.0
0.781,1418.0,1419.0,1424.0
0.976,1418.0,1420.0,1425.0
1.106,1418.0,1421.0,1425.0
1.301,1418.0,1421.0,1444.0
1.431,1418.0,1421.0,1444.0
1.626,1419.0,1421.0,1444.0
1.756,1419.0,1421.0,1452.0
1.951,1419.0,1422.0,1752.0
2.081,1419.0,1423.0,1758.0
2.276,1419.0,1423.0,1760.0
2.406,1419.0,1423.0,1767.0
2.601,1420.0,1423.0,2015.0
2.731,1420.0,1424.0,2041.0
2.926,1420.0,1424.0,2053.0
3.056,1420.0,1426.0,2062.0
3.251,1421.0,1427.0,2093.0
3.381,1421.0,1427.0,2096.0
3.576,1421.0,1427.0,2108.0
3.706,1421.0,1445.0,2110.0
3.901,1421.0,1447.0,2119.0
4.031,1422.0,1447.0,2121.0
4.226,1422.0,1447.0,2130.0
4.356,1422.0,1448.0,2134.0
4.551,1422.0,1448.0,2140.0
4.681,1423.0,1448.0,2150.0
4.876,1423.0,1449.0,2159.0
5.006,1423.0,1449.0,2163.0
5.201,1423.0,1449.0,2171.0
5.331,1423.0,1450.0,2183.0
5.526,1423.0,1450.0,2188.0
5.656,1423.0,1450.0,2193.0
5.851,1424.0,1450.0,2196.0
5.981,1424.0,1450.0,2201.0
6.176,1424.0,1451.0,2204.0
6.306,1424.0,1451.0,2225.0
6.501,1424.0,1741.0,2247.0
6.631,1424.0,1749.0,2253.0
6.826,1426.0,1757.0,2280.0
6.956,1741.0,1758.0,2491.0
7.151,1743.0,1761.0,2527.0
7.281,1743.0,1768.0,2560.0
7.476,1753.0,1769.0,2631.0
7.606,1754.0,1816.0,3367.0
7.801,1756.0,1820.0,3829.0
7.931,1756.0,1820.0,3876.0
8.126,1763.0,1821.0,4161.0
8.256,1767.0,2043.0,4316.0
8.451,1768.0,2063.0,4429.0
8.581,1769.0,2068.0,4475.0
8.776,1772.0,2074.0,4535.0
8.906,1774.0,2079.0,4584.0
9.101,1777.0,2085.0,4618.0
9.231,1778.0,2088.0,4625.0
9.426,1822.0,2095.0,4662.0
9.556,2041.0,2102.0,4690.0
9.751,2054.0,2107.0,4728.0
9.881,2061.0,2109.0,4752.0
10.076,2064.0,2124.0,4786.0
10.206,2066.0,2130.0,4841.0
10.401,2069.0,2146.0,4884.0
10.531,2070.0,2151.0,4913.0
10.726,2070.0,2162.0,4944.0
10.856,2071.0,2169.0,4946.0
11.051,2074.0,2221.0,4956.0
11.181,2074.0,2233.0,4961.0
11.376,2075.0,2260.0,5081.0
11.506,2075.0,2275.0,5083.0
11.701,2078.0,2493.0,5120.0
11.831,2078.0,2565.0,5129.0
12.026,2078.0,2611.0,5134.0
12.156,2078.0,2642.0,5143.0
12.351,2084.0,2656.0,5149.0
12.481,2085.0,2707.0,5158.0
12.676,2087.0,3747.0,5160.0
12.806,2087.0,3856.0,5167.0
13.001,2088.0,3938.0,5187.0
13.196,2090.0,4015.0,5199.0
13.326,2090.0,4092.0,5199.0
13.521,2095.0,4318.0,5212.0
13.651,2095.0,4439.0,5219.0
13.846,2095.0,4498.0,5225.0
13.976,2095.0,4537.0,5226.0
14.171,2095.0,4638.0,5231.0
14.301,2095.0,4658.0,5233.0
14.496,2099.0,4701.0,5233.0
14.626,2102.0,4722.0,5240.0
14.821,2102.0,4737.0,5248.0
14.951,2103.0,4772.0,5249.0
15.146,2103.0,4805.0,5254.0
15.276,2106.0,4821.0,5255.0
15.471,2106.0,4830.0,5269.0
15.601,2108.0,4843.0,5272.0
15.796,2108.0,4860.0,5286.0
15.926,2109.0,4868.0,5287.0
16.121,2110.0,4885.0,5300.0
16.251,2110.0,4899.0,5302.0
16.446,2110.0,4902.0,5312.0
16.576,2111.0,4920.0,5312.0
16.771,2111.0,4994.0,5322.0
16.901,2111.0,5000.0,5323.0
17.096,2113.0,5004.0,5325.0
17.226,2114.0,5012.0,5333.0
17.421,2114.0,5023.0,5341.0
17.551,2114.0,5026.0,5342.0
17.746,2115.0,5047.0,5344.0
17.876,2116.0,5053.0,5346.0
18.071,2123.0,5062.0,5348.0
18.201,2125.0,5077.0,5350.0
18.396,2138.0,5096.0,5358.0
18.526,2141.0,5101.0,5360.0
18.721,2142.0,5110.0,5369.0
18.851,2144.0,5111.0,5370.0
19.046,2146.0,5120.0,5372.0
19.176,2147.0,5125.0,5380.0
19.371,2152.0,5132.0,5387.0
19.501,2153.0,5134.0,5392.0
19.696,2162.0,5141.0,5394.0
19.826,2169.0,5150.0,5395.0
20.021,2192.0,5152.0,5399.0
20.151,2232.0,5152.0,5399.0
20.346,2474.0,5164.0,5402.0
20.476,2492.0,5164.0,5402.0
20.671,2507.0,5170.0,5404.0
20.801,2516.0,5174.0,5405.0
20.996,2533.0,5180.0,5411.0
21.126,2550.0,5180.0,5411.0
21.321,2576.0,5189.0,5418.0
21.451,2610.0,5193.0,5418.0
21.646,3720.0,5201.0,5420.0
21.776,3839.0,5206.0,5420.0
21.971,4011.0,5208.0,5422.0
22.101,4055.0,5210.0,5424.0
22.296,4107.0,5216.0,5425.0
22.426,4156.0,5222.0,5431.0
22.621,4268.0,5222.0,5432.0
22.751,4299.0,5228.0,5433.0
22.946,4415.0,5232.0,5440.0
23.076,4536.0,5235.0,5440.0
23.271,4636.0,5240.0,5440.0
23.401,4669.0,5244.0,5440.0
23.596,4732.0,5244.0,5445.0
23.726,4753.0,5245.0,5448.0
23.921,4785.0,5247.0,5452.0
24.051,4794.0,5250.0,5452.0
