x,lo,mid,hi
0.001,26.0,26.0,26.0
0.131,26.0,28.0,28.0
0.326,28.0,28.0,31.0
0.456,28.0,29.0,31.0
0.651,28.0,31.0,32.0
0.781,28.0,31.0,32.0
0.976,28.0,31.0,49.0
1.106,29.0,31.0,50.0
1.301,29.0,31.0,53.0
1.431,31.0,31.0,62.0
1.626,31.0,32.0,66.0
1.756,31.0,32.0,67.0
1.951,31.0,32.0,68.0
2.081,31.0,32.0,69.0
2.276,31.0,34.0,70.0
2.406,31.0,59.0,70.0
2.601,31.0,64.0,71.0
2.731,31.0,65.0,71.0
2.926,31.0,67.0,73.0
3.056,31.0,68.0,73.0
3.251,31.0,68.0,74.0
3.381,55.0,69.0,74.0
3.576,58.0,70.0,74.0
3.706,59.0,70.0,74.0
3.901,59.0,71.0,75.0
4.031,61.0,71.0,75.0
4.226,63.0,71.0,75.0
4.356,64.0,71.0,76.0
4.551,64.0,72.0,76.0
4.681,64.0,72.0,76.0
4.876,64.0,72.0,77.0
5.006,65.0,72.0,77.0
5.201,67.0,73.0,77.0
5.331,68.0,73.0,77.0
5.526,71.0,73.0,78.0
5.656,71.0,73.0,78.0
5.851,71.0,73.0,78.0
5.981,72.0,73.0,78.0
6.176,72.0,74.0,78.0
6.306,72.0,74.0,78.0
6.501,72.0,75.0,79.0
6.631,73.0,75.0,79.0
6.826,73.0,75.0,79.0
6.956,73.0,75.0,79.0
7.151,74.0,76.0,79.0
7.281,74.0,76.0,79.0
7.476,74.0,77.0,79.0
7.606,74.0,77.0,79.0
7.801,74.0,77.0,79.0
7.931,74.0,77.0,79.0
8.126,75.0,78.0,79.0
8.256,75.0,78.0,79.0
8.451,75.0,78.0,79.0
8.581,75.0,78.0,80.0
8.776,76.0,78.0,80.0
8.906,76.0,79.0,80.0
9.101,76.0,79.0,80.0
9.231,76.0,79.0,80.0
9.426,76.0,79.0,80.0
9.556,76.0,79.0,80.0
9.751,76.0,79.0,80.0
9.881,76.0,79.0,80.0
10.076,77.0,79.0,80.0
10.206,77.0,79.0,80.0
10.401,77.0,79.0,80.0
10.531,77.0,79.0,80.0
10.726,77.0,79.0,80.0
10.856,77.0,79.0,80.0
11.051,77.0,79.0,80.0
11.181,77.0,79.0,80.0
11.376,77.0,79.0,80.0
11.506,77.0,79.0,81.0
11.701,77.0,79.0,81.0
11.831,77.0,80.0,81.0
12.026,78.0,80.0,81.0
12.156,78.0,80.0,81.0
12.351,78.0,80.0,81.0
12.481,78.0,80.0,81.0
12.676,78.0,80.0,81.0
12.806,79.0,80.0,81.0
13.001,79.0,80.0,81.0
13.196,79.0,80.0,81.0
13.326,79.0,80.0,81.0
13.521,79.0,80.0,81.0
13.651,79.0,80.0,81.0
13.846,79.0,80.0,81.0
13.976,79.0,80.0,81.0
14.171,79.0,80.0,81.0
14.301,79.0,80.0,81.0
14.496,79.0,80.0,81.0
14.626,79.0,80.0,81.0
14.821,79.0,80.0,81.0
14.951,79.0,80.0,81.0
15.146,79.0,80.0,81.0
15.276,79.0,80.0,81.0
15.471,79.0,80.0,81.0
15.601,79.0,80.0,81.0
15.796,79.0,80.0,81.0
15.926,79.0,80.0,81.0
16.121,79.0,80.0,81.0
16.251,79.0,80.0,81.0
16.446,79.0,80.0,81.0
16.576,79.0,80.0,81.0
16.771,79.0,80.0,81.0
16.901,79.0,80.0,81.0
17.096,79.0,80.0,81.0
17.226,79.0,80.0,81.0
17.421,79.0,80.0,81.0
17.551,79.0,80.0,81.0
17.746,79.0,80.0,81.0
17.876,79.0,80.0,81.0
18.071,79.0,80.0,81.0
18.201,79.0,80.0,81.0
18.396,79.0,80.0,81.0
18.526,79.0,80.0,81.0
18.721,79.0,80.0,81.0
18.851,79.0,80.0,81.0
19.046,79.0,80.0,81.0
19.176,79.0,80.0,81.0
19.371,80.0,80.0,81.0
19.501,80.0,80.0,81.0
19.696,80.0,80.0,81.0
19.826,80.0,80.0,81.0
20.021,80.0,80.0,81.0
20.151,80.0,80.0,81.0
20.346,80.0,80.0,81.0
20.476,80.0,80.0,81.0
20.671,80.0,80.0,81.0
20.801,80.0,80.0,81.0
20.996,80.0,80.0,81.0
21.126,80.0,80.0,81.0
21.321,80.0,80.0,82.0
21.451,80.0,80.0,82.0
21.646,80.0,80.0,82.0
21.776,80.0,80.0,82.0
21.971,80.0,81.0,82.0
22.101,80.0,81.0,82.0
22.296,80.0,81.0,82.0
22.426,80.0,81.0,82.0
22.621,80.0,81.0,82.0
22.751,80.0,81.0,82.0
22.946,80.0,81.0,82.0
23.076,80.0,81.0,83.0
23.271,80.0,81.0,83.0
23.401,80.0,81.0,83.0
23.596,80.0,81.0,83.0
23.726,80.0,81.0,83.0
23.921,80.0,81.0,83.0
24.051,80.0,81.0,83.0
24.246,80.0,81.0,83.0
24.376,80.0,81.0,83.0
24.571,80.0,81.0,83.0
24.701,80.0,81.0,83.0
24.896,80.0,81.0,83.0
25.026,80.0,81.0,83.0
25.221,80.0,81.0,83.0
25.351,80.0,81.0,83.0
25.546,80.0,81.0,83.0
25.676,80.0,81.0,83.0
25.871,80.0,81.0,83.0
26.001,80.0,81.0,83.0
