x,lo,mid,hi
0.0029,240.0,240.0,240.0
0.0581,243.0,244.0,365.0
0.1677,243.0,365.0,373.0
0.2666,249.0,371.0,380.0
0.4654,299.0,376.0,400.0
0.5655,365.0,380.0,402.0
0.666,365.0,383.0,406.0
0.7663,366.0,389.0,414.0
0.9674,371.0,396.0,428.0
1.0676,371.0,399.0,434.0
1.1684,371.0,399.0,437.0
1.2695,372.0,403.0,443.0
1.4758,372.0,406.0,447.0
1.5791,372.0,406.0,449.0
1.6806,372.0,407.0,449.0
1.7824,374.0,410.0,449.0
1.9832,380.0,415.0,453.0
2.0841,380.0,417.0,456.0
2.1847,380.0,418.0,458.0
2.2883,380.0,425.0,459.0
2.4928,381.0,428.0,465.0
2.596,383.0,430.0,470.0
2.6981,384.0,438.0,475.0
2.8037,386.0,452.0,477.0
3.0218,391.0,457.0,484.0
3.1299,391.0,458.0,492.0
3.2381,393.0,458.0,494.0
3.3482,393.0,468.0,494.0
3.5797,399.0,471.0,501.0
3.6927,402.0,471.0,502.0
3.8014,402.0,473.0,535.0
3.9126,403.0,476.0,535.0
4.1396,423.0,479.0,539.0
4.2559,435.0,482.0,539.0
4.3649,435.0,490.0,541.0
4.4778,442.0,497.0,541.0
4.7085,442.0,536.0,541.0
4.8312,442.0,536.0,541.0
4.9472,443.0,536.0,542.0
5.0643,443.0,539.0,575.0
5.298,447.0,539.0,576.0
5.4072,454.0,559.0,583.0
5.5214,454.0,559.0,585.0
5.7441,458.0,565.0,585.0
5.8502,477.0,565.0,585.0
5.9585,483.0,565.0,585.0
6.0729,483.0,565.0,585.0
6.2985,485.0,565.0,585.0
6.4139,485.0,565.0,585.0
6.5365,487.0,565.0,585.0
6.65,512.0,566.0,585.0
6.876,516.0,578.0,586.0
6.9886,516.0,583.0,613.0
7.1016,516.0,583.0,613.0
7.2062,516.0,583.0,662.0
7.4262,542.0,583.0,662.0
7.538,544.0,583.0,662.0
7.6527,545.0,590.0,662.0
7.7615,545.0,592.0,662.0
7.9775,546.0,593.0,691.0
8.0861,547.0,593.0,696.0
8.1962,552.0,595.0,699.0
8.3082,558.0,596.0,700.0
8.5338,558.0,598.0,704.0
8.6472,558.0,599.0,707.0
8.7556,558.0,599.0,707.0
8.8657,569.0,599.0,707.0
9.0801,579.0,632.0,708.0
9.1866,581.0,633.0,709.0
9.2931,582.0,633.0,709.0
9.3991,582.0,633.0,709.0
9.6161,584.0,633.0,709.0
9.7237,584.0,633.0,709.0
9.8331,584.0,633.0,709.0
9.944,585.0,633.0,709.0
10.167,585.0,633.0,709.0
10.2765,589.0,633.0,709.0
10.3895,589.0,633.0,709.0
10.5035,589.0,633.0,709.0
10.7313,589.0,634.0,715.0
10.8453,589.0,634.0,716.0
10.9595,589.0,644.0,716.0
11.1873,590.0,660.0,720.0
11.2986,590.0,660.0,720.0
11.4099,592.0,660.0,720.0
11.5217,592.0,660.0,721.0
11.7483,601.0,660.0,724.0
11.8588,602.0,661.0,724.0
11.9689,605.0,661.0,740.0
12.0796,605.0,661.0,740.0
12.3002,608.0,662.0,766.0
12.4121,608.0,664.0,766.0
12.5232,608.0,665.0,767.0
12.6357,614.0,665.0,767.0
12.8547,638.0,672.0,770.0
12.9647,638.0,677.0,770.0
13.0726,638.0,679.0,772.0
13.1808,638.0,679.0,773.0
13.3953,639.0,680.0,773.0
13.506,639.0,680.0,777.0
13.6154,641.0,680.0,779.0
13.7247,643.0,680.0,779.0
13.9428,654.0,680.0,781.0
14.0518,654.0,688.0,786.0
14.1603,664.0,688.0,786.0
14.2688,664.0,692.0,814.0
14.4856,673.0,715.0,821.0
14.595,673.0,720.0,823.0
14.7037,673.0,720.0,833.0
14.8112,673.0,812.0,834.0
15.0302,673.0,813.0,834.0
15.1416,673.0,813.0,834.0
15.2539,674.0,813.0,834.0
15.3655,676.0,813.0,834.0
15.5944,676.0,813.0,834.0
15.7066,677.0,822.0,852.0
15.8229,677.0,822.0,852.0
15.9368,677.0,822.0,852.0
16.1651,679.0,824.0,852.0
16.2778,685.0,824.0,852.0
16.3908,716.0,824.0,852.0
16.6154,749.0,824.0,853.0
16.7285,749.0,824.0,853.0
16.8382,753.0,824.0,876.0
16.9498,777.0,824.0,876.0
17.1726,810.0,829.0,878.0
17.2839,810.0,830.0,891.0
17.395,810.0,830.0,891.0
17.5061,810.0,830.0,891.0
17.7279,810.0,831.0,891.0
17.8377,810.0,833.0,900.0
17.9485,811.0,835.0,900.0
18.0584,811.0,835.0,900.0
18.2794,811.0,835.0,900.0
18.3898,811.0,835.0,900.0
18.5024,811.0,835.0,900.0
18.6139,812.0,835.0,900.0
18.8388,815.0,838.0,913.0
18.9498,815.0,838.0,913.0
19.0631,815.0,839.0,913.0
19.1755,815.0,839.0,913.0
19.399,815.0,839.0,913.0
19.5112,815.0,839.0,913.0
19.623,815.0,839.0,913.0
19.734,815.0,839.0,913.0
19.9528,815.0,840.0,913.0
20.0624,816.0,871.0,913.0
20.1731,816.0,876.0,913.0
20.2828,816.0,876.0,913.0
20.5025,816.0,876.0,913.0
20.613,816.0,876.0,913.0
20.724,816.0,876.0,913.0
20.8373,816.0,876.0,913.0
21.0619,816.0,876.0,913.0
21.1747,816.0,876.0,913.0
21.2881,816.0,876.0,913.0
21.401,816.0,876.0,913.0
21.6223,816.0,876.0,913.0
21.7328,816.0,876.0,913.0
21.8439,816.0,876.0,914.0
21.9538,816.0,876.0,914.0
