x,lo,mid,hi
0.0032,240.0,240.0,240.0
0.0537,243.0,243.0,371.0
0.158,243.0,371.0,375.0
0.2541,253.0,372.0,381.0
0.4433,366.0,380.0,402.0
0.5395,367.0,380.0,440.0
0.6357,371.0,380.0,441.0
0.7324,371.0,383.0,442.0
0.9239,372.0,384.0,444.0
1.0206,373.0,384.0,446.0
1.1165,373.0,384.0,449.0
1.2122,373.0,388.0,449.0
1.4053,375.0,399.0,459.0
1.5039,375.0,403.0,459.0
1.6035,377.0,414.0,459.0
1.7037,377.0,418.0,459.0
1.9039,384.0,418.0,482.0
2.0063,387.0,418.0,488.0
2.1114,388.0,419.0,489.0
2.2147,388.0,419.0,499.0
2.4247,389.0,422.0,503.0
2.5281,390.0,425.0,503.0
2.632,390.0,425.0,503.0
2.7364,392.0,425.0,504.0
2.9521,395.0,432.0,504.0
3.0645,402.0,436.0,504.0
3.1717,403.0,448.0,504.0
3.2787,403.0,448.0,505.0
3.4922,411.0,463.0,511.0
3.5959,414.0,470.0,522.0
3.6988,440.0,548.0,570.0
3.8082,442.0,553.0,570.0
4.0261,446.0,557.0,576.0
4.1385,446.0,563.0,577.0
4.2519,451.0,563.0,577.0
4.3659,451.0,563.0,577.0
4.5886,466.0,569.0,581.0
4.6996,476.0,569.0,581.0
4.8077,500.0,569.0,581.0
4.9171,501.0,569.0,581.0
5.1307,540.0,570.0,581.0
5.24,540.0,572.0,582.0
5.3522,541.0,573.0,587.0
5.575,541.0,573.0,587.0
5.6888,541.0,573.0,587.0
5.7984,561.0,582.0,591.0
5.9062,561.0,582.0,593.0
6.1242,564.0,582.0,599.0
6.234,565.0,582.0,629.0
6.3469,565.0,584.0,629.0
6.4583,565.0,584.0,629.0
6.6761,565.0,586.0,631.0
6.784,565.0,586.0,631.0
6.8932,565.0,587.0,631.0
7.0033,565.0,587.0,631.0
7.2209,565.0,587.0,631.0
7.3294,565.0,587.0,631.0
7.4401,578.0,588.0,631.0
7.5483,578.0,588.0,631.0
7.7682,580.0,590.0,631.0
7.8778,580.0,596.0,631.0
7.9868,580.0,622.0,632.0
8.0963,580.0,622.0,632.0
8.3199,580.0,625.0,635.0
8.4301,580.0,628.0,635.0
8.5386,582.0,628.0,635.0
8.6484,582.0,628.0,635.0
8.8643,582.0,629.0,649.0
8.9727,582.0,629.0,649.0
9.082,582.0,629.0,649.0
9.1909,582.0,629.0,649.0
9.4078,582.0,629.0,649.0
9.5162,582.0,629.0,649.0
9.6207,582.0,629.0,649.0
9.7238,582.0,629.0,649.0
9.9351,582.0,629.0,649.0
10.0424,582.0,629.0,649.0
10.1511,582.0,629.0,649.0
10.2628,582.0,629.0,649.0
10.4808,582.0,629.0,649.0
10.5894,582.0,629.0,649.0
10.6968,582.0,629.0,649.0
10.9126,582.0,629.0,649.0
11.0223,582.0,629.0,649.0
11.1301,586.0,629.0,649.0
11.2388,586.0,629.0,649.0
11.4538,586.0,629.0,649.0
11.5615,586.0,629.0,649.0
11.6703,586.0,629.0,649.0
11.7774,596.0,629.0,649.0
11.9937,596.0,629.0,649.0
12.1036,596.0,629.0,649.0
12.2119,596.0,629.0,649.0
12.3208,596.0,629.0,649.0
12.538,596.0,629.0,649.0
12.6481,596.0,629.0,649.0
12.7562,596.0,629.0,649.0
12.8663,596.0,629.0,649.0
13.0758,596.0,629.0,649.0
13.1807,597.0,629.0,650.0
13.2853,597.0,629.0,650.0
13.3925,597.0,629.0,650.0
13.6066,598.0,633.0,651.0
13.7138,598.0,633.0,651.0
13.8217,598.0,639.0,651.0
13.9249,604.0,639.0,651.0
14.1363,604.0,639.0,651.0
14.2419,604.0,639.0,655.0
14.3498,604.0,639.0,655.0
14.4567,604.0,639.0,655.0
14.6736,604.0,639.0,656.0
14.7825,604.0,639.0,656.0
14.8885,604.0,640.0,656.0
14.9936,604.0,640.0,656.0
15.2088,604.0,640.0,656.0
15.3159,604.0,641.0,667.0
15.4224,604.0,643.0,667.0
15.5287,604.0,643.0,667.0
15.7378,604.0,643.0,667.0
15.8421,604.0,643.0,668.0
15.9473,604.0,643.0,668.0
16.1589,604.0,643.0,668.0
16.2652,604.0,643.0,668.0
16.3715,604.0,643.0,668.0
16.4787,604.0,643.0,668.0
16.6918,606.0,643.0,670.0
16.7985,606.0,643.0,670.0
16.9047,606.0,643.0,670.0
17.0113,606.0,643.0,670.0
17.227,606.0,643.0,671.0
17.3348,606.0,643.0,671.0
17.4405,606.0,643.0,671.0
17.5461,606.0,643.0,671.0
17.7582,606.0,643.0,671.0
17.8649,606.0,643.0,671.0
17.9703,607.0,643.0,671.0
18.0769,607.0,643.0,671.0
18.285,607.0,643.0,671.0
18.388,607.0,643.0,671.0
18.4908,607.0,643.0,671.0
18.5928,607.0,643.0,671.0
18.799,607.0,643.0,671.0
18.9029,607.0,643.0,671.0
19.0076,607.0,643.0,671.0
19.1143,607.0,643.0,671.0
19.3269,607.0,643.0,671.0
19.4341,607.0,643.0,671.0
19.5419,607.0,644.0,671.0
19.6508,607.0,644.0,671.0
19.8665,608.0,644.0,672.0
19.9746,608.0,644.0,672.0
20.0815,608.0,644.0,672.0
20.189,608.0,644.0,672.0
20.4027,608.0,644.0,672.0
20.5104,608.0,644.0,672.0
20.6175,608.0,644.0,672.0
20.724,608.0,644.0,672.0
20.9359,609.0,645.0,673.0
21.044,609.0,645.0,673.0
21.1509,609.0,645.0,673.0
21.2569,609.0,645.0,673.0
