x,lo,mid,hi
0.0032,240.0,240.0,240.0
0.0082,243.0,243.0,365.0
0.0636,243.0,365.0,373.0
0.1085,261.0,371.0,380.0
0.1953,366.0,377.0,398.0
0.2379,372.0,380.0,406.0
0.2825,372.0,384.0,415.0
0.3235,372.0,389.0,428.0
0.409,380.0,399.0,439.0
0.4525,380.0,405.0,447.0
0.4955,383.0,408.0,450.0
0.5392,384.0,415.0,455.0
0.6295,391.0,428.0,463.0
0.6754,395.0,430.0,465.0
0.718,397.0,434.0,468.0
0.763,399.0,434.0,471.0
0.849,402.0,436.0,475.0
0.8916,403.0,439.0,477.0
0.9385,406.0,441.0,478.0
0.9821,406.0,442.0,480.0
1.0735,411.0,450.0,482.0
1.1183,411.0,453.0,485.0
1.1672,412.0,455.0,490.0
1.2135,418.0,457.0,490.0
1.3089,425.0,457.0,492.0
1.357,426.0,458.0,492.0
1.4035,426.0,459.0,493.0
1.4536,426.0,462.0,493.0
1.5571,433.0,464.0,498.0
1.6096,433.0,465.0,499.0
1.6636,439.0,470.0,499.0
1.7175,439.0,471.0,500.0
1.8228,440.0,477.0,500.0
1.8752,440.0,480.0,502.0
1.9289,440.0,481.0,505.0
1.9823,441.0,481.0,508.0
2.0906,446.0,482.0,511.0
2.1432,446.0,482.0,511.0
2.1973,454.0,483.0,512.0
2.2519,454.0,484.0,512.0
2.365,458.0,485.0,515.0
2.4233,458.0,486.0,515.0
2.4762,458.0,488.0,517.0
2.5921,458.0,493.0,517.0
2.6535,459.0,494.0,518.0
2.7129,460.0,496.0,519.0
2.7715,462.0,497.0,522.0
2.8901,463.0,498.0,525.0
2.9571,465.0,498.0,525.0
3.0161,465.0,500.0,527.0
3.0832,465.0,501.0,529.0
3.2072,467.0,502.0,530.0
3.2753,467.0,502.0,530.0
3.3365,467.0,504.0,530.0
3.4076,469.0,504.0,531.0
3.5328,469.0,504.0,532.0
3.5934,478.0,505.0,532.0
3.655,478.0,505.0,533.0
3.7133,479.0,505.0,533.0
3.831,482.0,506.0,534.0
3.8895,482.0,506.0,534.0
3.9502,482.0,506.0,534.0
4.0105,482.0,507.0,534.0
4.1294,483.0,507.0,535.0
4.1915,483.0,508.0,536.0
4.2505,483.0,510.0,536.0
4.3141,485.0,511.0,536.0
4.4341,485.0,511.0,536.0
4.4924,485.0,511.0,536.0
4.5539,485.0,511.0,536.0
4.6141,485.0,512.0,536.0
4.7322,487.0,514.0,538.0
4.79,489.0,514.0,538.0
4.8498,489.0,516.0,538.0
4.9061,492.0,516.0,538.0
5.0222,494.0,516.0,538.0
5.0817,496.0,518.0,538.0
5.1414,496.0,520.0,538.0
5.2011,496.0,520.0,538.0
5.3238,498.0,520.0,539.0
5.3864,498.0,520.0,539.0
5.4463,499.0,520.0,539.0
5.5685,499.0,521.0,539.0
5.6299,499.0,521.0,539.0
5.6904,500.0,521.0,539.0
5.7515,500.0,521.0,539.0
5.8735,501.0,521.0,539.0
5.9337,501.0,521.0,539.0
5.9953,501.0,521.0,540.0
6.0549,501.0,521.0,540.0
6.1744,501.0,526.0,540.0
6.2359,502.0,526.0,541.0
6.2958,502.0,526.0,541.0
6.3581,502.0,530.0,541.0
6.4795,502.0,534.0,542.0
6.5388,502.0,535.0,542.0
6.5979,502.0,536.0,542.0
6.6559,502.0,536.0,542.0
6.7712,503.0,536.0,542.0
6.829,503.0,536.0,542.0
6.8877,503.0,536.0,542.0
6.9475,503.0,536.0,543.0
7.0655,503.0,537.0,543.0
7.1236,504.0,537.0,543.0
7.1825,504.0,537.0,545.0
7.2404,504.0,537.0,545.0
7.3564,504.0,537.0,545.0
7.4149,504.0,537.0,545.0
7.4731,504.0,537.0,545.0
7.5304,504.0,537.0,545.0
7.6471,505.0,537.0,545.0
7.7056,505.0,538.0,546.0
7.7655,505.0,538.0,546.0
7.8242,505.0,538.0,546.0
7.9428,506.0,538.0,546.0
8.0035,506.0,538.0,546.0
8.0624,507.0,538.0,546.0
8.1241,507.0,538.0,546.0
8.2427,507.0,538.0,546.0
8.3004,507.0,538.0,546.0
8.3602,507.0,539.0,547.0
8.4784,507.0,539.0,547.0
8.5371,507.0,539.0,547.0
8.5961,507.0,539.0,547.0
8.6532,507.0,539.0,547.0
8.77,508.0,539.0,548.0
8.8295,508.0,539.0,548.0
8.8859,508.0,539.0,548.0
8.9455,508.0,539.0,548.0
9.0605,508.0,539.0,548.0
9.1189,508.0,539.0,548.0
9.1781,508.0,540.0,549.0
9.2366,509.0,540.0,550.0
9.3531,509.0,540.0,550.0
9.4117,509.0,540.0,550.0
9.4689,509.0,540.0,550.0
9.5265,509.0,540.0,550.0
9.6413,509.0,540.0,550.0
9.6986,510.0,540.0,550.0
9.7563,510.0,540.0,550.0
9.8142,510.0,540.0,550.0
9.9301,510.0,540.0,551.0
9.9895,510.0,540.0,551.0
10.0481,510.0,541.0,551.0
10.1078,510.0,541.0,551.0
10.2259,511.0,541.0,552.0
10.2842,511.0,541.0,552.0
10.3438,511.0,541.0,552.0
10.4022,511.0,541.0,552.0
10.5203,512.0,541.0,552.0
10.5798,512.0,541.0,552.0
10.6385,513.0,541.0,552.0
10.6978,513.0,541.0,552.0
10.815,513.0,541.0,552.0
10.8748,513.0,541.0,553.0
10.9318,513.0,541.0,555.0
10.9929,515.0,542.0,555.0
11.1119,515.0,542.0,555.0
11.1694,515.0,542.0,555.0
11.2296,515.0,542.0,555.0
11.2864,515.0,542.0,555.0
