x,lo,mid,hi
0.0028,240.0,240.0,240.0
0.0534,243.0,243.0,370.0
0.1628,243.0,365.0,373.0
0.2624,243.0,372.0,380.0
0.3603,243.0,373.0,384.0
0.5567,347.0,380.0,398.0
0.6543,372.0,380.0,399.0
0.7502,372.0,380.0,406.0
0.8448,372.0,380.0,413.0
1.0422,373.0,384.0,417.0
1.1412,376.0,385.0,418.0
1.2409,376.0,389.0,420.0
1.3383,380.0,397.0,433.0
1.4354,380.0,399.0,436.0
1.6305,384.0,408.0,444.0
1.7328,384.0,418.0,454.0
1.8396,384.0,424.0,464.0
1.9452,385.0,426.0,473.0
2.1579,388.0,435.0,487.0
2.2631,389.0,445.0,489.0
2.3672,393.0,446.0,495.0
2.4735,395.0,448.0,495.0
2.5741,399.0,457.0,500.0
2.7856,400.0,457.0,509.0
2.8859,403.0,464.0,519.0
2.9898,403.0,465.0,522.0
3.0933,411.0,479.0,524.0
3.3056,423.0,493.0,528.0
3.4109,424.0,495.0,546.0
3.5184,427.0,497.0,563.0
3.6269,429.0,508.0,563.0
3.7343,435.0,509.0,577.0
3.9493,487.0,566.0,582.0
4.0575,492.0,570.0,585.0
4.172,504.0,571.0,587.0
4.2825,504.0,584.0,613.0
4.5023,507.0,590.0,616.0
4.6111,539.0,591.0,616.0
4.7236,572.0,591.0,619.0
4.8408,577.0,596.0,623.0
5.0626,580.0,609.0,631.0
5.1719,583.0,613.0,634.0
5.2818,583.0,614.0,640.0
5.391,583.0,615.0,640.0
5.5018,586.0,622.0,646.0
5.7219,586.0,633.0,656.0
5.8331,586.0,635.0,663.0
5.945,587.0,636.0,665.0
6.0557,589.0,638.0,669.0
6.2722,594.0,651.0,677.0
6.3822,604.0,655.0,682.0
6.4901,605.0,659.0,685.0
6.604,605.0,661.0,687.0
6.715,612.0,662.0,688.0
6.9333,612.0,667.0,699.0
7.0431,620.0,668.0,699.0
7.1526,622.0,670.0,700.0
7.2614,624.0,672.0,704.0
7.4833,630.0,674.0,709.0
7.5929,632.0,676.0,712.0
7.7013,633.0,677.0,713.0
7.81,634.0,678.0,714.0
7.9182,634.0,679.0,715.0
8.1267,635.0,682.0,721.0
8.2348,636.0,683.0,721.0
8.3405,637.0,684.0,722.0
8.4484,639.0,686.0,725.0
8.6663,639.0,689.0,735.0
8.7735,641.0,692.0,744.0
8.8795,643.0,694.0,783.0
8.985,645.0,696.0,787.0
9.0912,649.0,697.0,789.0
9.3078,662.0,701.0,814.0
9.4179,668.0,703.0,826.0
9.5285,674.0,703.0,835.0
9.6383,674.0,704.0,861.0
9.8546,677.0,707.0,872.0
9.9635,679.0,707.0,873.0
10.0728,679.0,708.0,877.0
10.1807,680.0,721.0,878.0
10.399,684.0,723.0,883.0
10.5098,685.0,725.0,884.0
10.6195,686.0,725.0,889.0
10.7278,686.0,725.0,892.0
10.8377,687.0,726.0,893.0
11.0597,688.0,730.0,904.0
11.1711,688.0,731.0,904.0
11.2824,688.0,731.0,906.0
11.3923,689.0,733.0,907.0
11.6098,710.0,741.0,912.0
11.7211,715.0,743.0,913.0
11.8317,715.0,744.0,914.0
11.9415,716.0,749.0,915.0
12.0521,717.0,750.0,915.0
12.2735,721.0,758.0,918.0
12.3846,723.0,766.0,920.0
12.4964,723.0,789.0,921.0
12.6081,724.0,824.0,922.0
12.8284,737.0,881.0,925.0
12.9371,738.0,888.0,925.0
13.046,740.0,891.0,926.0
13.1544,742.0,893.0,926.0
13.2643,746.0,896.0,927.0
13.4821,775.0,901.0,927.0
13.59,778.0,902.0,928.0
13.6963,782.0,903.0,929.0
13.8029,782.0,906.0,929.0
14.016,789.0,911.0,930.0
14.1209,794.0,912.0,930.0
14.2257,814.0,913.0,931.0
14.3306,848.0,914.0,931.0
14.4359,879.0,915.0,932.0
14.6506,883.0,915.0,933.0
14.7574,885.0,916.0,933.0
14.8652,887.0,918.0,934.0
14.972,890.0,918.0,934.0
15.181,891.0,920.0,936.0
15.2851,894.0,921.0,936.0
15.3888,896.0,922.0,937.0
15.4948,898.0,922.0,937.0
15.7136,905.0,923.0,949.0
15.8233,909.0,930.0,950.0
15.9312,910.0,930.0,953.0
16.0406,910.0,930.0,958.0
16.1499,911.0,930.0,960.0
16.3688,911.0,931.0,962.0
16.4782,912.0,931.0,967.0
16.5876,912.0,931.0,967.0
16.6966,912.0,931.0,967.0
16.9112,914.0,932.0,968.0
17.0185,914.0,932.0,968.0
17.1246,914.0,932.0,968.0
17.2327,915.0,933.0,968.0
17.3414,916.0,934.0,968.0
17.561,916.0,934.0,971.0
17.6702,916.0,934.0,972.0
17.7805,916.0,935.0,982.0
17.8882,916.0,935.0,982.0
18.1029,916.0,935.0,982.0
18.2112,916.0,935.0,984.0
18.319,916.0,935.0,984.0
18.4275,916.0,936.0,984.0
18.5374,918.0,937.0,986.0
18.7578,919.0,937.0,986.0
18.8685,919.0,938.0,986.0
18.9768,919.0,939.0,987.0
19.0863,919.0,939.0,987.0
19.3071,920.0,940.0,987.0
19.4175,920.0,940.0,988.0
19.5288,920.0,940.0,988.0
19.6394,921.0,941.0,988.0
19.7498,921.0,941.0,988.0
19.9676,921.0,944.0,988.0
20.0765,923.0,945.0,988.0
20.1846,923.0,947.0,988.0
20.2938,923.0,951.0,988.0
20.5143,924.0,952.0,991.0
20.6245,924.0,954.0,991.0
20.6689,933.0,955.0,991.0
20.7141,933.0,945.0,968.0
20.7225,950.0,958.0,969.0
