x,lo,mid,hi
0.0032,1416.0,1416.0,1416.0
0.145,1416.0,1416.0,1418.0
0.4211,1416.0,1418.0,1421.0
0.6074,1416.0,1418.0,1423.0
0.8833,1418.0,1419.0,1424.0
1.0647,1418.0,1419.0,1424.0
1.3348,1418.0,1420.0,1425.0
1.5122,1418.0,1421.0,1425.0
1.7783,1418.0,1421.0,1444.0
1.9536,1418.0,1421.0,1444.0
2.2223,1419.0,1421.0,1444.0
2.3988,1419.0,1421.0,1452.0
2.6729,1419.0,1422.0,1752.0
2.8493,1419.0,1423.0,1758.0
3.1111,1419.0,1423.0,1760.0
3.2862,1419.0,1423.0,1767.0
3.5534,1420.0,1423.0,2015.0
3.7329,1420.0,1424.0,2041.0
4.0074,1420.0,1424.0,2053.0
4.1899,1420.0,1426.0,2062.0
4.4644,1421.0,1427.0,2093.0
4.65,1421.0,1427.0,2096.0
4.9365,1421.0,1427.0,2108.0
5.1295,1421.0,1445.0,2110.0
5.4163,1421.0,1447.0,2119.0
5.6027,1422.0,1447.0,2121.0
5.8805,1422.0,1447.0,2130.0
6.0651,1422.0,1448.0,2134.0
6.3501,1422.0,1448.0,2140.0
6.5452,1423.0,1448.0,2150.0
6.8337,1423.0,1449.0,2159.0
7.0225,1423.0,1449.0,2163.0
7.3011,1423.0,1449.0,2171.0
7.4862,1423.0,1450.0,2183.0
7.7769,1423.0,1450.0,2188.0
7.9731,1423.0,1450.0,2193.0
8.2586,1424.0,1450.0,2196.0
8.4475,1424.0,1450.0,2201.0
8.7343,1424.0,1451.0,2204.0
8.9316,1424.0,1451.0,2225.0
9.2246,1424.0,1741.0,2247.0
9.4393,1424.0,1749.0,2253.0
9.7827,1426.0,1757.0,2280.0
10.0061,1741.0,1758.0,2491.0
10.3614,1743.0,1761.0,2527.0
10.5863,1743.0,1768.0,2560.0
10.9264,1753.0,1769.0,2631.0
11.1455,1754.0,1816.0,3367.0
11.4937,1756.0,1820.0,3829.0
11.7351,1756.0,1820.0,3876.0
12.0786,1763.0,1821.0,4161.0
12.2965,1767.0,2043.0,4316.0
12.6279,1768.0,2063.0,4429.0
12.8426,1769.0,2068.0,4475.0
13.1631,1772.0,2074.0,4535.0
13.3795,1774.0,2079.0,4584.0
13.7079,1777.0,2085.0,4618.0
13.9355,1778.0,2088.0,4625.0
14.2722,1822.0,2095.0,4662.0
14.4918,2041.0,2102.0,4690.0
14.8252,2054.0,2107.0,4728.0
15.0383,2061.0,2109.0,4752.0
15.357,2064.0,2124.0,4786.0
