x,lo,mid,hi
0.0031,26.0,26.0,26.0
0.1451,26.0,28.0,28.0
0.403,28.0,28.0,31.0
0.5837,28.0,29.0,31.0
0.8521,28.0,31.0,32.0
1.0352,28.0,31.0,32.0
1.2986,28.0,31.0,49.0
1.4808,29.0,31.0,50.0
1.7465,29.0,31.0,53.0
1.92,31.0,31.0,62.0
2.1849,31.0,32.0,66.0
2.3785,31.0,32.0,67.0
2.6465,31.0,32.0,68.0
2.835,31.0,32.0,69.0
3.1232,31.0,34.0,70.0
3.3089,31.0,59.0,70.0
3.5997,31.0,64.0,71.0
3.7896,31.0,65.0,71.0
4.0753,31.0,67.0,73.0
4.2757,31.0,68.0,73.0
4.5666,31.0,68.0,74.0
4.7644,55.0,69.0,74.0
5.0788,58.0,70.0,74.0
5.2894,59.0,70.0,74.0
5.6157,59.0,71.0,75.0
5.829,61.0,71.0,75.0
6.1538,63.0,71.0,75.0
6.3701,64.0,71.0,76.0
6.6945,64.0,72.0,76.0
6.9043,64.0,72.0,76.0
7.2347,64.0,72.0,77.0
7.4482,65.0,72.0,77.0
7.765,67.0,73.0,77.0
7.9812,68.0,73.0,77.0
8.3031,71.0,73.0,78.0
8.5127,71.0,73.0,78.0
8.8209,71.0,73.0,78.0
9.0269,72.0,73.0,78.0
9.3347,72.0,74.0,78.0
9.5362,72.0,74.0,78.0
9.833,72.0,75.0,79.0
10.0282,73.0,75.0,79.0
10.3126,73.0,75.0,79.0
10.499,73.0,75.0,79.0
10.7777,74.0,76.0,79.0
10.9667,74.0,76.0,79.0
11.253,74.0,77.0,79.0
11.444,74.0,77.0,79.0
11.7298,74.0,77.0,79.0
11.9272,74.0,77.0,79.0
12.2291,75.0,78.0,79.0
12.4339,75.0,78.0,79.0
12.7459,75.0,78.0,79.0
12.9525,75.0,78.0,80.0
13.2641,76.0,78.0,80.0
13.4705,76.0,79.0,80.0
13.7796,76.0,79.0,80.0
13.9849,76.0,79.0,80.0
14.2996,76.0,79.0,80.0
14.5131,76.0,79.0,80.0
14.8291,76.0,79.0,80.0
15.0381,76.0,79.0,80.0
15.3419,77.0,79.0,80.0
15.5404,77.0,79.0,80.0
15.828,77.0,79.0,80.0
16.0148,77.0,79.0,80.0
16.2887,77.0,79.0,80.0
16.468,77.0,79.0,80.0
16.7405,77.0,79.0,80.0
16.9228,77.0,79.0,80.0
17.1931,77.0,79.0,80.0
17.3698,77.0,79.0,81.0
17.6359,77.0,79.0,81.0
17.8108,77.0,80.0,81.0
18.0775,78.0,80.0,81.0
18.2581,78.0,80.0,81.0
18.5335,78.0,80.0,81.0
18.7188,78.0,80.0,81.0
19.0046,78.0,80.0,81.0
19.1971,79.0,80.0,81.0
19.4918,79.0,80.0,81.0
19.7934,79.0,80.0,81.0
20.001,79.0,80.0,81.0
20.3213,79.0,80.0,81.0
20.5394,79.0,80.0,81.0
20.8666,79.0,80.0,81.0
21.0866,79.0,80.0,81.0
21.4156,79.0,80.0,81.0
21.6343,79.0,80.0,81.0
21.9642,79.0,80.0,81.0
22.1796,79.0,80.0,81.0
22.4935,79.0,80.0,81.0
22.6938,79.0,80.0,81.0
22.9931,79.0,80.0,81.0
23.1917,79.0,80.0,81.0
23.4946,79.0,80.0,81.0
23.7004,79.0,80.0,81.0
24.0086,79.0,80.0,81.0
24.2158,79.0,80.0,81.0
24.5225,79.0,80.0,81.0
24.7291,79.0,80.0,81.0
25.0373,79.0,80.0,81.0
25.2408,79.0,80.0,81.0
25.5421,79.0,80.0,81.0
25.744,79.0,80.0,81.0
26.0567,79.0,80.0,81.0
26.2654,79.0,80.0,81.0
26.5771,79.0,80.0,81.0
26.7776,79.0,80.0,81.0
27.0807,79.0,80.0,81.0
27.2873,79.0,80.0,81.0
27.5976,79.0,80.0,81.0
27.8062,79.0,80.0,81.0
28.132,79.0,80.0,81.0
28.3463,79.0,80.0,81.0
28.6651,79.0,80.0,81.0
28.8841,79.0,80.0,81.0
29.2022,79.0,80.0,81.0
29.4107,79.0,80.0,81.0
29.7218,80.0,80.0,81.0
29.9299,80.0,80.0,81.0
30.2375,80.0,80.0,81.0
30.4499,80.0,80.0,81.0
30.7644,80.0,80.0,81.0
30.9787,80.0,80.0,81.0
31.3045,80.0,80.0,81.0
31.5233,80.0,80.0,81.0
31.8506,80.0,80.0,81.0
32.0706,80.0,80.0,81.0
32.392,80.0,80.0,81.0
32.6059,80.0,80.0,81.0
32.9298,80.0,80.0,82.0
33.1448,80.0,80.0,82.0
33.4661,80.0,80.0,82.0
33.6811,80.0,80.0,82.0
34.0099,80.0,81.0,82.0
34.2329,80.0,81.0,82.0
34.5668,80.0,81.0,82.0
34.7908,80.0,81.0,82.0
35.1262,80.0,81.0,82.0
35.3494,80.0,81.0,82.0
35.6867,80.0,81.0,82.0
35.9151,80.0,81.0,83.0
36.2555,80.0,81.0,83.0
36.4809,80.0,81.0,83.0
36.8209,80.0,81.0,83.0
37.0454,80.0,81.0,83.0
37.3755,80.0,81.0,83.0
37.5914,80.0,81.0,83.0
37.911,80.0,81.0,83.0
38.1194,80.0,81.0,83.0
38.4294,80.0,81.0,83.0
38.6343,80.0,81.0,83.0
38.9367,80.0,81.0,83.0
39.14,80.0,81.0,83.0
39.4468,80.0,81.0,83.0
39.6531,80.0,81.0,83.0
39.9685,80.0,81.0,83.0
40.1819,80.0,81.0,83.0
40.4972,80.0,81.0,83.0
40.6997,80.0,81.0,83.0
