iteration,position,value
1,3,0.2322
1,9,0.23741
1,15,0.23524
1,21,0.227
1,27,0.227
1,33,0.23481
1,39,0.22613
1,45,0.23655
1,51,0.24262
1,57,0.23611
1,63,0.24089
1,69,0.22005
1,75,0.2322
1,81,0.22483
1,87,0.23047
1,93,0.2474
1,99,0.23958
1,105,0.23307
1,111,0.23785
1,117,0.23481
1,123,0.23264
1,127,0.23828
4,3,0.18099
4,9,0.18316
4,15,0.19705
4,21,0.18403
4,27,0.18794
4,33,0.19705
4,39,0.19271
4,45,0.19228
4,51,0.18924
4,57,0.19488
4,63,0.18273
4,69,0.20399
4,75,0.18793
4,81,0.20443
4,87,0.20356
4,93,0.20009
4,99,0.19314
4,105,0.1849
4,111,0.19227
4,117,0.18837
4,123,0.18663
4,127,0.20964
7,3,0.13238
7,9,0.13715
7,15,0.1263
7,21,0.12891
7,27,0.12891
7,33,0.13151
7,39,0.13151
7,45,0.12413
7,51,0.12196
7,57,0.13629
7,63,0.13498
7,69,0.13368
7,75,0.12847
7,81,0.11589
7,87,0.1224
7,93,0.13628
7,99,0.13802
7,105,0.13368
7,111,0.14366
7,117,0.13325
7,123,0.13412
7,127,0.1224
10,3,0.12196
10,9,0.12283
10,15,0.12196
10,21,0.12457
10,27,0.11936
10,33,0.12674
10,39,0.11849
10,45,0.12457
10,51,0.11675
10,57,0.12544
10,63,0.1237
10,69,0.11893
10,75,0.12673
10,81,0.11545
10,87,0.11979
10,93,0.12543
10,99,0.11589
10,105,0.11762
10,111,0.1224
10,117,0.13412
10,123,0.12543
10,127,0.13542
13,3,0.50694
13,9,0.49305
13,15,0.48958
13,21,0.49132
13,27,0.48611
13,33,0.48828
13,39,0.48437
13,45,0.49045
13,51,0.48047
13,57,0.48351
13,63,0.47136
13,69,0.48003
13,75,0.49132
13,81,0.49305
13,87,0.46701
13,93,0.47526
13,99,0.48134
13,105,0.47266
13,111,0.49436
13,117,0.47873
13,123,0.47743
13,127,0.46615
16,3,0.27647
16,9,0.2921
16,15,0.29905
16,21,0.30469
16,27,0.30382
16,33,0.30425
16,39,0.30686
16,45,0.29036
16,51,0.29557
16,57,0.29774
16,63,0.28255
16,69,0.29818
16,75,0.29471
16,81,0.30035
16,87,0.29557
16,93,0.30512
16,99,0.29774
16,105,0.28689
16,111,0.30122
16,117,0.30078
16,123,0.29644
16,127,0.3112
19,3,0.57856
19,9,0.44488
19,15,0.3967
19,21,0.38498
19,27,0.35981
19,33,0.33898
19,39,0.35634
19,45,0.33333
19,51,0.32335
19,57,0.33377
19,63,0.33854
19,69,0.29991
19,75,0.32031
19,81,0.31337
19,87,0.3342
19,93,0.30989
19,99,0.32379
19,105,0.31076
19,111,0.30512
19,117,0.29427
19,123,0.31163
19,127,0.32292
22,3,0.43924
22,9,0.39583
22,15,0.38542
22,21,0.38889
22,27,0.36936
22,33,0.37804
22,39,0.36589
22,45,0.375
22,51,0.35981
22,57,0.38064
22,63,0.36241
22,69,0.36589
22,75,0.35286
22,81,0.36675
22,87,0.37023
22,93,0.35503
22,99,0.36155
22,105,0.36328
22,111,0.36762
22,117,0.34679
22,123,0.3572
22,127,0.33854
25,3,0.81293
25,9,0.77865
25,15,0.73568
25,21,0.7296
25,27,0.71615
25,33,0.7053
25,39,0.69227
25,45,0.69835
25,51,0.69488
25,57,0.69575
25,63,0.69748
25,69,0.69097
25,75,0.68793
25,81,0.68663
25,87,0.67969
25,93,0.67578
25,99,0.6697
25,105,0.67709
25,111,0.65451
25,117,0.66102
25,123,0.65321
25,127,0.67839
28,3,0.74349
28,9,0.68489
28,15,0.71354
28,21,0.71354
28,27,0.727
28,33,0.72917
28,39,0.75
28,45,0.72786
28,51,0.72439
28,57,0.73394
28,63,0.73047
28,69,0.73568
28,75,0.75738
28,81,0.73264
28,87,0.72439
28,93,0.74262
28,99,0.74566
28,105,0.72656
28,111,0.7296
28,117,0.73655
28,123,0.73611
28,127,0.75
31,3,0.85373
31,9,0.84115
31,15,0.83767
31,21,0.8329
31,27,0.8355
31,33,0.83724
31,39,0.84332
31,45,0.83203
31,51,0.83377
31,57,0.84462
31,63,0.84332
31,69,0.82639
31,75,0.85026
31,81,0.82335
31,87,0.83203
31,93,0.83334
31,99,0.84766
31,105,0.83984
31,111,0.85026
31,117,0.83898
31,123,0.83941
31,127,0.85286
34,3,0.80946
34,9,0.78255
34,15,0.77387
34,21,0.77908
34,27,0.77431
34,33,0.77561
34,39,0.78646
34,45,0.75738
34,51,0.76606
34,57,0.7921
34,63,0.7704
34,69,0.77778
34,75,0.7704
34,81,0.7717
34,87,0.77995
34,93,0.78863
34,99,0.77778
34,105,0.76953
34,111,0.78038
34,117,0.77951
34,123,0.77257
34,127,0.78646
37,3,0.80208
37,9,0.79036
37,15,0.75608
37,21,0.76823
37,27,0.76823
37,33,0.76996
37,39,0.78429
37,45,0.78255
37,51,0.76042
37,57,0.773
37,63,0.77257
37,69,0.78038
37,75,0.78168
37,81,0.77431
37,87,0.76649
37,93,0.77517
37,99,0.76085
37,105,0.78472
37,111,0.77995
37,117,0.7678
37,123,0.77951
37,127,0.76172
40,3,0.77474
40,9,0.8138
40,15,0.79948
40,21,0.79991
40,27,0.7934
40,33,0.78385
40,39,0.78082
40,45,0.78255
40,51,0.79861
40,57,0.79818
40,63,0.77648
40,69,0.773
40,75,0.77865
40,81,0.77127
40,87,0.7921
40,93,0.78516
40,99,0.78689
40,105,0.78776
40,111,0.77474
40,117,0.77257
40,123,0.77517
40,127,0.78385
43,3,0.72179
43,9,0.65148
43,15,0.64714
43,21,0.62543
43,27,0.64323
43,33,0.6441
43,39,0.63368
43,45,0.63845
43,51,0.6263
43,57,0.64019
43,63,0.62457
43,69,0.62413
43,75,0.63932
43,81,0.63845
43,87,0.62413
43,93,0.60851
43,99,0.63715
43,105,0.60677
43,111,0.62891
43,117,0.61328
43,123,0.62934
43,127,0.6289
46,3,0.72656
46,9,0.648
46,15,0.66319
46,21,0.66146
46,27,0.64236
46,33,0.6684
46,39,0.6684
46,45,0.65842
46,51,0.66753
46,57,0.65668
46,63,0.6467
46,69,0.64019
46,75,0.65799
46,81,0.66406
46,87,0.66276
46,93,0.66059
46,99,0.6658
46,105,0.67491
46,111,0.67361
46,117,0.6684
46,123,0.67144
46,127,0.67187
49,3,0.69184
49,9,0.57248
49,15,0.61545
49,21,0.61719
49,27,0.61154
49,33,0.58637
49,39,0.59505
49,45,0.60156
49,51,0.60677
49,57,0.58594
49,63,0.5842
49,69,0.57596
