iteration,position,value
3,3,0.05078
3,9,0.05227
3,15,0.04762
3,21,0.04855
3,27,0.04855
3,33,0.05041
3,39,0.04985
3,45,0.04985
3,51,0.05022
3,57,0.04874
3,63,0.04874
3,69,0.05208
3,75,0.05171
3,81,0.05227
3,87,0.05097
3,93,0.0519
3,99,0.05171
3,105,0.05283
3,111,0.04818
3,117,0.05041
3,123,0.04948
3,127,0.05357
10,3,0.05394
10,9,0.0506
10,15,0.05078
10,21,0.05394
10,27,0.05599
10,33,0.05097
10,39,0.05264
10,45,0.05673
10,51,0.04818
10,57,0.05134
10,63,0.0506
10,69,0.05004
10,75,0.0519
10,81,0.05023
10,87,0.0493
10,93,0.05022
10,99,0.04892
10,105,0.04892
10,111,0.05097
10,117,0.05078
10,123,0.0506
10,127,0.05022
17,3,0.06101
17,9,0.0612
17,15,0.05581
17,21,0.06101
17,27,0.05562
17,33,0.06306
17,39,0.05859
17,45,0.05785
17,51,0.06232
17,57,0.06046
17,63,0.05766
17,69,0.05785
17,75,0.06139
17,81,0.05952
17,87,0.05785
17,93,0.05897
17,99,0.06083
17,105,0.05841
17,111,0.06008
17,117,0.05636
17,123,0.05785
17,127,0.06194
24,3,0.1144
24,9,0.1157
24,15,0.11235
24,21,0.11365
24,27,0.11291
24,33,0.11086
24,39,0.10733
24,45,0.11049
24,51,0.11012
24,57,0.1144
24,63,0.10752
24,69,0.10807
24,75,0.10696
24,81,0.11254
24,87,0.1144
24,93,0.11421
24,99,0.11644
24,105,0.11328
24,111,0.10863
24,117,0.11607
24,123,0.10975
24,127,0.11551
31,3,0.06864
31,9,0.06827
31,15,0.06957
31,21,0.06901
31,27,0.06845
31,33,0.06529
31,39,0.07626
31,45,0.06994
31,51,0.06771
31,57,0.06845
31,63,0.07254
31,69,0.06659
31,75,0.06678
31,81,0.06548
31,87,0.06771
31,93,0.07292
31,99,0.07273
31,105,0.06697
31,111,0.06585
31,117,0.06827
31,123,0.06678
31,127,0.07255
38,3,0.06399
38,9,0.06603
38,15,0.0625
38,21,0.0638
38,27,0.06046
38,33,0.06101
38,39,0.06176
38,45,0.06194
38,51,0.06306
38,57,0.06678
38,63,0.0612
38,69,0.06343
38,75,0.05915
38,81,0.0625
38,87,0.06511
38,93,0.06641
38,99,0.06548
38,105,0.06678
38,111,0.06176
38,117,0.06641
38,123,0.06176
38,127,0.0625
45,3,0.17987
45,9,0.18471
45,15,0.18118
45,21,0.17522
45,27,0.18155
45,33,0.18415
45,39,0.18062
45,45,0.17894
45,51,0.18806
45,57,0.18211
45,63,0.17857
45,69,0.18118
45,75,0.18229
45,81,0.18545
45,87,0.1808
45,93,0.18229
45,99,0.18229
45,105,0.17727
45,111,0.1808
45,117,0.18155
45,123,0.18806
45,127,0.1769
52,3,0.40904
52,9,0.41574
52,15,0.41258
52,21,0.41239
52,27,0.41239
52,33,0.41034
52,39,0.41871
52,45,0.41667
52,51,0.41815
52,57,0.41239
52,63,0.4083
52,69,0.40811
52,75,0.41109
52,81,0.41164
52,87,0.42132
52,93,0.41908
52,99,0.39528
52,105,0.41481
52,111,0.41276
52,117,0.41295
52,123,0.41816
52,127,0.42522
59,3,0.4933
59,9,0.50019
59,15,0.48661
59,21,0.50539
59,27,0.50242
59,33,0.49926
59,39,0.48252
59,45,0.4814
59,51,0.49405
59,57,0.48568
59,63,0.49572
59,69,0.49386
59,75,0.49795
59,81,0.49442
59,87,0.49572
59,93,0.50651
59,99,0.48326
59,105,0.50112
59,111,0.49182
59,117,0.49182
59,123,0.48735
59,127,0.50781
66,3,0.53051
66,9,0.50893
66,15,0.52641
