iteration,position,value
3,3,0.02716
3,9,0.0279
3,15,0.0266
3,21,0.02642
3,27,0.02679
3,33,0.02623
3,39,0.02679
3,45,0.0279
3,51,0.02753
3,57,0.02679
3,63,0.02734
3,69,0.02604
3,75,0.02697
3,81,0.0266
3,87,0.02716
3,93,0.02623
3,99,0.02641
3,105,0.02697
3,111,0.0279
3,117,0.0266
3,123,0.02586
3,127,0.02623
10,3,0.04613
10,9,0.0465
10,15,0.04762
10,21,0.05134
10,27,0.04595
10,33,0.04632
10,39,0.04818
10,45,0.04985
10,51,0.04781
10,57,0.04706
10,63,0.04781
10,69,0.04929
10,75,0.04818
10,81,0.04781
10,87,0.04595
10,93,0.04985
10,99,0.04632
10,105,0.04427
10,111,0.04799
10,117,0.0452
10,123,0.04446
10,127,0.04241
17,3,0.06957
17,9,0.07013
17,15,0.07217
17,21,0.07124
17,27,0.07031
17,33,0.06864
17,39,0.07162
17,45,0.07552
17,51,0.07348
17,57,0.07496
17,63,0.07347
17,69,0.07031
17,75,0.07329
17,81,0.07255
17,87,0.07645
17,93,0.0731
17,99,0.07217
17,105,0.07255
17,111,0.0705
17,117,0.07124
17,123,0.0731
17,127,0.08203
24,3,0.49033
24,9,0.48047
24,15,0.47731
24,21,0.48158
24,27,0.47898
24,33,0.47824
24,39,0.48549
24,45,0.48605
24,51,0.47228
24,57,0.48996
24,63,0.49144
24,69,0.48382
24,75,0.48568
24,81,0.48345
24,87,0.48586
24,93,0.4987
24,99,0.49126
24,105,0.48735
24,111,0.49033
24,117,0.49758
24,123,0.50539
24,127,0.49107
31,3,0.75353
31,9,0.69215
31,15,0.69103
31,21,0.69103
31,27,0.68471
31,33,0.68992
31,39,0.68806
31,45,0.66908
31,51,0.67746
31,57,0.68248
31,63,0.67783
31,69,0.67243
31,75,0.68527
31,81,0.67262
31,87,0.6795
31,93,0.68452
31,99,0.6888
31,105,0.67485
31,111,0.68378
31,117,0.67801
31,123,0.68266
31,127,0.67299
38,3,0.63356
38,9,0.4429
38,15,0.41685
38,21,0.4176
38,27,0.39509
38,33,0.39825
38,39,0.38579
38,45,0.38002
38,51,0.39286
38,57,0.38411
38,63,0.37667
38,69,0.37649
38,75,0.36979
38,81,0.35454
38,87,0.38077
38,93,0.37221
38,99,0.37426
38,105,0.36496
38,111,0.37091
38,117,0.3657
38,123,0.36309
38,127,0.36942
45,3,0.59375
