iteration,selfplay_kl_mean,selfplay_prior_entropy,selfplay_posterior_entropy
0,0.99343,5.54518,4.5519
1,1.40339,4.85275,2.70419
2,0.85347,4.34653,2.9688
3,1.5834,4.32054,3.49222
4,1.44923,4.13318,3.34586
6,0.84539,4.70163,3.63149
7,1.19452,4.60988,3.70311
8,1.57038,4.6017,2.5099
9,1.36441,4.48469,3.57953
10,1.14535,4.90398,3.62313
12,0.90037,3.25119,3.55506
13,1.16286,4.02537,1.47263
14,1.38954,3.23194,2.71183
15,1.64479,2.39643,3.38342
17,0.62059,0.77105,0.44952
18,2.00389,2.57057,2.21421
19,1.73849,1.57431,2.65909
20,1.31306,2.40013,1.75602
21,1.37553,3.44071,2.99908
23,1.1611,3.85695,2.34783
24,1.59573,2.86489,1.96574
25,1.10257,3.62378,2.67939
26,0.6608,3.47439,2.40428
28,1.22893,2.25357,1.98346
29,1.50609,2.5874,0.84108
30,1.37462,2.7487,2.35437
31,1.60712,2.72753,2.95254
32,1.39803,3.00536,0.96859
34,0.34252,0.79715,0.11825
35,0.84329,1.77931,1.81835
36,0.44898,2.34497,1.69015
37,0.54567,1.67816,0.89452
39,0.17662,0.83625,0.21976
40,0.30789,0.70536,0.23437
41,0.32685,0.63954,0.75811
42,0.19974,0.98696,0.1438
43,0.20456,0.81879,0.1016
45,0.31618,0.777,0.20903
46,0.26157,0.39818,0.27312
47,0.30169,0.89947,0.30977
48,0.23776,0.91801,0.42942
49,0.28849,1.28631,0.84724
51,0.1974,0.60078,0.2361
52,0.16614,0.41046,0.18285
53,0.26005,0.92833,0.31109
54,0.15306,0.51614,0.3982
56,0.2773,0.40627,0.3145
57,0.14921,0.49654,0.21471
58,0.21641,0.68215,0.27797
59,0.22268,0.73731,0.44347
60,0.19435,0.77513,0.16711
62,0.13994,0.42031,0.14768
63,0.63774,1.10683,0.39936
64,0.44166,1.43424,0.45618
65,0.29035,1.19467,0.48666
67,0.42745,1.2109,0.81744
68,1.02776,0.72776,0.90146
69,0.54081,1.11784,0.63256
70,0.33582,0.98833,0.55073
71,0.44201,1.27251,0.9062
73,0.34278,0.77076,0.63104
74,0.33138,1.28188,0.66537
75,0.33041,1.24642,0.67168
76,0.33698,1.05579,0.7504
78,0.34038,0.89916,0.30452
79,0.31511,0.9223,0.50662
80,0.28457,0.79592,0.34715
81,0.26976,0.79729,0.26852
82,0.1953,0.44977,0.2382
84,0.25196,0.58941,0.27627
85,0.37117,0.73723,0.43465
86,0.20947,0.67712,0.31252
87,0.33171,0.82589,0.46959
88,0.25782,0.76611,0.33992
90,0.26181,0.88636,0.35269
91,0.35621,0.57978,0.39914
92,0.28528,0.62933,0.28475
93,0.36163,0.92078,0.34365
95,0.33352,0.61778,0.25737
96,0.38468,0.82947,0.32555
97,0.26919,0.68066,0.26402
98,0.36948,0.74985,0.23873
99,0.31554,0.69581,0.35458
101,0.26384,0.63364,0.26641
102,0.34014,0.80824,0.42048
103,0.30603,0.73203,0.31894
104,0.3193,0.7021,0.25558
106,0.39334,1.00612,0.50427
107,0.35701,0.88102,0.42154
108,0.27891,0.66827,0.27338
109,0.35093,0.8372,0.49344
110,0.29078,0.81463,0.41781
112,0.29368,0.67564,0.27829
113,0.42334,0.76878,0.48123
114,0.29059,0.74777,0.29297
115,0.34436,0.82229,0.40291
117,0.35297,0.97018,0.40084
118,0.40814,0.90928,0.50277
119,0.31615,0.81091,0.43468
120,0.39682,0.86708,0.5565
121,0.47916,0.86899,0.56717
123,0.29757,0.83763,0.36196
124,0.33943,0.96115,0.34717
125,0.29654,0.88441,0.29852
126,0.3164,0.79819,0.40788
127,0.37966,0.79062,0.45449
129,0.31532,0.83684,0.45418
130,0.34797,0.84555,0.37677
131,0.46314,1.01575,0.50802
132,0.36618,0.89113,0.48101
134,0.411,1.01607,0.48192
135,0.38056,0.99001,0.51617
136,0.30384,0.94894,0.46495
137,0.42207,0.76189,0.45083
138,0.30861,0.72623,0.32092
140,0.3825,0.94041,0.52829
141,0.29065,0.91757,0.3933
142,0.37545,0.72414,0.43844
143,0.3349,0.8756,0.39026
145,0.31935,0.82212,0.44527
146,0.34224,0.72596,0.42769
147,0.31282,0.72806,0.44486
148,0.2987,0.73978,0.42544
149,0.29262,0.89428,0.37128
151,0.32018,0.87083,0.45053
152,0.34155,0.81584,0.42003
153,0.31705,0.81711,0.45734
154,0.25064,0.77378,0.34307
156,0.39215,0.7447,0.48806
157,0.35298,0.83391,0.42233
158,0.30447,0.75977,0.48048
159,0.29929,0.71504,0.35036
160,0.30878,0.7592,0.38407
162,0.31525,0.77208,0.45912
163,0.29047,0.74067,0.46416
164,0.27996,0.78147,0.41519
165,0.31866,0.83474,0.41281
166,0.29299,0.76209,0.42188
168,0.24636,0.63579,0.34109
169,0.32972,0.69094,0.53603
170,0.29795,0.72282,0.35324
171,0.46041,0.67221,0.6354
173,0.30907,0.73587,0.41215
174,0.32932,0.8409,0.48486
175,0.33867,0.79383,0.41845
176,0.28563,0.79646,0.4392
177,0.30827,0.72403,0.3903
179,0.33032,0.6622,0.33511
180,0.32359,0.74147,0.51058
181,0.33794,0.75178,0.36232
182,0.35236,0.68596,0.4346
184,0.27214,0.75477,0.33254
185,0.33802,0.72496,0.37578
186,0.35328,0.8231,0.51133
187,0.29477,0.72937,0.31593
188,0.32294,0.79066,0.41293
190,0.25949,0.7529,0.47524
191,0.31417,0.79599,0.41744
192,0.2883,0.64155,0.34024
193,0.28518,0.70098,0.27651
197,0.27838,0.79391,0.33731
