iteration,selfplay_kl_mean,selfplay_prior_entropy,selfplay_posterior_entropy
0,4.15785,5.54518,1.38879
2,2.24738,5.54423,3.32441
5,4.15778,5.54304,3.30513
7,2.30244,5.48834,3.36768
10,2.36124,5.1073,3.17827
12,2.4602,5.36322,3.42879
15,4.5964,5.36274,3.57988
17,2.69241,5.11012,3.38699
20,1.75893,5.18528,3.45706
22,1.58032,5.09661,3.46479
25,4.4335,5.18819,2.74857
27,2.03468,5.19343,3.52575
30,4.37503,4.99351,1.22719
32,2.23563,5.11634,2.94387
35,1.75235,4.97433,3.51617
37,2.05924,4.98512,3.25929
40,4.53244,5.25287,2.35542
42,1.72351,5.01072,3.44948
45,1.86285,5.1218,3.30397
47,2.66151,5.01943,3.30982
50,1.33217,5.04503,3.48518
52,1.70809,5.29925,3.55103
55,3.80962,5.02213,1.68017
57,2.35158,4.80104,2.95952
60,2.37306,4.86201,2.41497
62,2.88108,5.00065,2.45233
65,1.45737,5.09206,3.49448
67,2.29016,5.19824,2.69875
70,1.90374,5.22089,3.41408
72,2.47262,5.18493,2.86575
75,1.68828,5.04257,3.54442
77,1.99676,5.04462,2.98473
80,1.66021,5.15733,1.9866
82,2.30843,5.07577,2.73994
85,1.69155,5.01856,3.39773
87,1.74941,5.04249,3.08766
90,1.46117,4.85436,3.40269
92,1.95543,5.09978,2.9204
95,1.46992,5.41727,3.80321
97,1.29262,5.06353,3.18783
100,1.48324,3.52508,1.56821
102,0.43637,1.2164,0.54684
105,0.39225,1.73901,0.29097
107,0.30533,0.77552,0.3694
110,0.64778,1.36269,0.61746
112,0.70908,0.86805,0.61244
115,1.28435,1.35809,0.57708
117,0.63688,1.28024,0.57126
120,0.45912,0.8248,0.2615
122,0.34465,0.68448,0.26899
125,0.59375,1.27123,0.62675
127,0.50797,1.40227,0.73074
130,0.37268,0.70726,0.34021
132,0.51882,1.53348,0.6902
135,0.47951,1.39502,0.59731
137,0.66602,1.13736,0.77537
140,0.6255,1.94419,0.38342
142,0.36071,0.87972,0.45838
145,0.46494,1.26734,0.43163
147,1.22979,1.38522,0.60939
150,0.94065,1.63182,0.55925
152,0.54491,1.05788,0.82246
155,1.27244,1.95405,0.75377
157,1.40658,2.09184,0.63121
160,0.6875,2.2308,0.55807
162,1.19415,1.71414,0.6758
165,0.42689,0.87076,0.58869
167,0.32593,0.91514,0.44933
170,0.67453,1.06178,0.44638
172,0.53307,1.163,0.67793
175,0.73395,1.17293,0.36742
177,1.08057,1.21483,0.364
180,0.97729,1.55064,0.55518
182,1.08641,1.63302,0.48084
185,0.67721,1.15804,0.4704
187,0.51503,1.83573,0.69983
190,0.82502,1.5734,0.64026
192,0.84682,1.43682,0.95313
195,0.39382,1.00028,0.47139
197,0.74796,1.3349,0.58715
200,0.6875,1.27606,0.50891
202,0.69463,1.46925,0.58724
205,0.59186,1.208,0.54424
207,0.59071,1.16367,0.54923
210,0.81357,1.37921,0.82816
212,0.53519,1.15993,0.5444
215,0.69554,2.08821,0.82334
217,0.75447,1.37623,0.64374
220,0.92369,1.29133,0.52247
222,0.63367,1.01708,0.41836
225,0.88501,1.46167,0.764
227,0.98934,1.35762,0.58009
230,0.53127,1.21574,0.52068
232,0.70485,1.59439,0.56901
235,0.61479,1.25084,0.57118
237,0.54809,1.04848,0.43878
240,0.57627,1.08939,0.48377
242,0.70166,1.11875,0.61772
245,0.72035,1.29281,0.66483
247,0.57293,1.39257,0.52608
250,0.47806,1.15316,0.62765
252,0.73541,1.57629,0.66421
255,0.61701,1.2162,0.47077
257,0.71829,1.07865,0.42938
260,0.83984,1.15081,0.59111
262,0.61923,1.14631,0.73356
265,0.63202,1.03471,0.54713
267,0.87639,1.03075,0.49361
270,0.97045,1.36351,0.54307
272,0.72388,1.21735,0.44652
275,0.68569,1.07291,0.49805
277,0.82671,1.16004,0.5096
280,0.71916,1.50856,0.50514
282,0.90604,1.44203,0.568
285,1.06856,1.63903,0.49619
287,0.51654,0.98362,0.47278
290,0.63829,1.2904,0.61549
292,0.49962,1.02427,0.49073
295,0.60754,1.02032,0.52457
297,0.64402,1.40408,0.42708
300,0.68709,1.29901,0.62115
302,1.07035,1.58089,0.54956
305,0.92943,1.35961,0.47248
307,0.86783,1.14889,0.58491
310,0.5725,1.18834,0.49261
312,0.69034,1.18819,0.49562
315,0.81165,1.25984,0.68308
317,0.67972,1.37989,0.59038
320,0.55429,0.98849,0.50169
322,0.67746,1.19562,0.57077
325,0.60952,1.20793,0.41573
327,0.7029,1.16636,0.55405
330,0.53548,1.35207,0.49543
332,0.58181,1.14111,0.56351
335,0.53244,1.18929,0.60769
337,0.99803,1.40212,0.64102
340,0.68674,1.24478,0.5601
342,0.78829,1.59542,0.57585
345,0.56111,1.22137,0.54535
347,1.11953,1.34658,0.58114
350,0.68669,1.24046,0.53986
352,0.99007,1.68217,0.56757
355,0.60216,1.32434,0.62631
357,0.72823,1.43409,0.55195
360,0.55536,1.24751,0.55421
362,0.73012,1.3138,0.5703
365,0.65352,1.35784,0.53745
367,0.91796,1.54561,0.77541
370,0.61334,1.23117,0.61104
372,0.64033,1.26085,0.66024
375,0.82756,1.53834,0.58267
377,0.57735,1.22568,0.52946
380,0.82828,1.44976,0.68502
382,0.65415,1.20268,0.62179
385,0.60668,1.16535,0.50097
387,0.67112,1.26411,0.59791
390,0.55403,1.2876,0.51353
392,0.70461,1.13334,0.53724
395,0.77576,1.39712,0.65871
397,0.71585,1.21446,0.61194
399,0.59083,1.22682,0.55829
