iteration,selfplay_kl_mean,selfplay_prior_entropy,selfplay_posterior_entropy
0,4.15785,5.54518,1.38879
2,2.42798,5.54357,3.19431
5,4.47274,5.54096,3.16601
7,1.83052,5.37229,3.39158
10,3.32391,5.3599,3.18937
12,5.39474,5.2418,1.3514
15,3.10076,5.16606,3.40023
17,1.90071,5.17491,3.42448
20,3.52092,5.14837,1.99073
22,1.8917,5.16835,3.18146
25,4.24432,5.17272,1.29466
27,1.46138,4.78831,3.51026
30,1.97879,4.90817,2.63123
32,1.48799,5.18546,3.47458
35,4.38749,5.08665,1.06727
37,1.55346,3.94994,1.42739
40,1.50715,3.2427,2.36717
42,2.20413,3.29588,1.54195
45,0.53016,0.88968,0.75504
47,1.5787,2.98162,2.18728
50,0.49521,1.23374,0.53752
52,0.8423,2.16789,1.04419
55,0.51121,1.23346,0.48176
57,0.54903,1.22918,0.65496
60,0.43181,0.89398,0.35413
62,0.3222,0.96315,0.32579
65,0.79765,1.23081,0.75477
67,0.67529,1.01712,0.64118
70,0.7263,1.167,0.72703
72,0.5651,0.92018,0.42656
75,0.7147,1.21668,0.6573
77,0.74098,1.13241,0.50939
80,0.55244,1.05072,0.38263
82,0.51598,1.00628,0.63309
85,0.43268,0.96527,0.44987
87,0.5902,1.11602,0.60067
90,0.5066,1.0375,0.38653
92,0.57153,1.18391,0.48342
95,0.69092,1.24094,0.57639
97,0.73303,1.31082,0.63332
100,0.77499,1.43519,0.40898
102,0.55969,1.1936,0.54282
105,0.65393,1.10555,0.51497
107,0.61402,1.34548,0.43658
110,0.73172,1.24054,0.60869
112,0.60279,1.36651,0.60988
115,0.83824,1.36302,0.61787
117,0.58591,1.33201,0.52679
120,0.69636,1.25445,0.59881
122,0.61458,1.28257,0.58361
125,0.74848,1.47116,0.708
127,0.59462,1.25903,0.58112
130,0.59159,1.20081,0.64404
132,0.60089,1.17992,0.65258
135,0.56453,1.25103,0.58701
137,0.52803,1.19097,0.5555
140,0.60342,1.26476,0.55806
142,0.59874,1.23559,0.59868
145,0.65063,1.31054,0.67713
147,0.58734,1.29848,0.61545
150,0.59863,1.27186,0.61893
152,0.65976,1.39675,0.76545
155,0.59919,1.28303,0.59115
157,0.57603,1.25566,0.64992
160,0.5577,1.12612,0.6062
162,0.54452,1.10022,0.51733
165,0.63128,1.21615,0.60509
167,0.58653,1.26508,0.63998
170,0.54027,1.15902,0.56508
172,0.56671,1.22616,0.60964
175,0.52984,1.16769,0.59157
177,0.59248,1.18731,0.64261
180,0.58247,1.20017,0.61116
182,0.58926,1.27017,0.6316
185,0.52964,1.30966,0.57683
187,0.55998,1.17486,0.63644
190,0.55977,1.17996,0.59375
192,0.50311,1.2674,0.56834
195,0.47472,1.0797,0.52585
197,0.57259,1.22714,0.64931
200,0.50484,1.12364,0.56226
202,0.54302,1.12021,0.6007
205,0.51542,1.08475,0.53594
207,0.59466,1.20926,0.63917
210,0.52882,1.08994,0.62509
212,0.51894,1.11687,0.549
215,0.56751,1.02363,0.63575
217,0.51502,1.10181,0.57105
220,0.52139,1.20442,0.59176
222,0.4716,1.1264,0.53495
225,0.56369,1.13376,0.59092
227,0.52385,1.01419,0.57459
230,0.57413,1.06078,0.65645
232,0.59163,1.27192,0.69798
235,0.54296,1.11443,0.64577
237,0.49418,1.12808,0.59409
240,0.49118,1.12533,0.52971
242,0.48537,1.08027,0.52864
245,0.52338,1.1317,0.59084
247,0.54401,1.23388,0.6146
250,0.52162,1.19857,0.57916
252,0.51443,1.08224,0.58973
255,0.4856,1.10839,0.55943
257,0.50629,1.04585,0.61362
260,0.4914,1.14617,0.57177
262,0.44408,1.09137,0.52594
265,0.5523,1.09865,0.66666
267,0.5331,1.09474,0.62397
270,0.4865,1.01031,0.56539
272,0.49185,1.07486,0.58004
275,0.60663,1.17159,0.67722
277,0.50768,1.12837,0.6122
280,0.51305,0.96657,0.5802
282,0.57043,1.04888,0.6266
285,0.52257,1.22027,0.60503
287,0.51757,1.10569,0.62418
290,0.53628,1.09009,0.61898
292,0.50067,1.12792,0.59962
295,0.48613,1.12765,0.59915
297,0.52797,1.13846,0.60202
300,0.49368,1.13518,0.57383
302,0.50362,1.17509,0.59062
305,0.49986,1.04245,0.57562
307,0.45059,1.10187,0.56011
310,0.55167,1.21079,0.67073
312,0.52087,1.19072,0.60572
315,0.4992,1.14158,0.59543
317,0.4675,1.05748,0.55897
320,0.44309,1.0138,0.52555
322,0.46685,0.99546,0.55591
325,0.51162,1.14169,0.59812
327,0.51666,1.08572,0.62445
330,0.46067,1.13614,0.56044
332,0.5039,1.17189,0.63435
335,0.50743,0.98097,0.59076
337,0.45574,1.07862,0.53624
340,0.52634,1.13078,0.65805
342,0.52138,1.11685,0.60186
345,0.47042,1.09188,0.5345
347,0.47149,1.02296,0.56124
350,0.5954,1.08631,0.71445
352,0.47608,1.13324,0.57818
355,0.47334,1.18552,0.58449
357,0.51252,1.15826,0.63966
360,0.52738,1.22861,0.63085
362,0.53469,1.22271,0.66497
365,0.46816,1.06865,0.55665
367,0.46627,1.11562,0.56062
370,0.45176,1.0649,0.56386
372,0.44227,0.98695,0.52586
375,0.4842,1.13564,0.56093
377,0.41793,0.96546,0.48397
380,0.50548,1.11552,0.59562
382,0.46261,1.04523,0.5898
385,0.45172,1.08619,0.53458
387,0.4931,1.0904,0.60017
390,0.48798,1.04445,0.60175
392,0.4846,1.10471,0.58879
395,0.47881,1.14406,0.56999
397,0.45987,1.0598,0.54208
399,0.43842,1.05162,0.51363
