iteration,entropy
1,5.29678
2,5.04048
3,3.2955
4,3.9958
5,4.19737
6,4.08414
7,3.641
8,3.63324
9,3.75668
10,3.66001
11,3.44645
12,3.11521
13,2.72195
14,3.23435
15,3.43169
16,3.20498
17,3.17375
18,2.91875
19,2.21789
20,1.66815
21,1.33791
22,1.13425
23,0.96586
24,0.8418
25,0.73263
26,0.66774
27,0.57878
28,0.51848
29,0.46406
30,0.45153
31,0.4186
32,0.33597
33,0.22163
34,0.14917
35,0.1409
36,0.13467
37,0.13482
38,0.13328
39,0.13897
40,0.21787
41,0.30024
42,0.29272
43,0.27026
44,0.24823
45,0.23119
46,0.20805
47,0.19773
48,0.22373
49,0.25191
50,0.24918
51,0.26225
52,0.26048
53,0.248
54,0.23887
55,0.22429
56,0.23727
57,0.23123
58,0.22169
59,0.20863
60,0.20025
61,0.1963
62,0.22834
63,0.24346
64,0.2187
65,0.22531
66,0.22449
67,0.26273
68,0.37081
69,0.47616
70,0.50876
71,0.57835
72,0.59077
73,0.52917
74,0.46552
75,0.42248
76,0.37772
77,0.34141
78,0.31377
79,0.31241
80,0.31011
81,0.30081
82,0.28645
83,0.26691
84,0.24259
85,0.20603
86,0.18982
87,0.14917
88,0.14468
89,0.14503
90,0.14776
91,0.15129
92,0.20553
93,0.23049
94,0.20161
95,0.23035
96,0.2575
97,0.24809
98,0.24948
99,0.26531
