iteration,entropy
0,2.59559
1,2.35458
2,2.20715
3,2.2906
5,2.41289
6,2.57058
7,2.5458
9,2.50142
10,2.46258
11,2.44504
12,2.50416
13,2.51193
14,2.51004
15,2.49348
16,2.47108
17,2.43133
18,2.39598
19,2.34334
20,2.31371
22,2.26635
23,2.22079
24,2.18472
25,2.14617
26,2.1186
27,2.08504
28,2.06055
29,2.01557
30,2.01514
31,2.02936
33,2.03793
34,2.05075
35,2.08073
36,2.10579
37,2.1337
38,2.15854
39,2.18404
41,2.19744
42,2.22324
43,2.24512
44,2.26381
45,2.27492
46,2.2917
48,2.30252
49,2.30247
50,2.32887
51,2.33013
52,2.3323
53,2.34249
54,2.3492
55,2.34251
57,2.3432
58,2.34744
59,2.3515
60,2.35383
61,2.3481
62,2.36458
63,2.36057
64,2.36062
65,2.35008
66,2.36327
68,2.35799
69,2.36382
70,2.35985
71,2.36635
72,2.3619
73,2.36543
74,2.36552
75,2.3744
77,2.36918
78,2.36987
79,2.35945
80,2.35393
81,2.35599
82,2.35488
83,2.35447
85,2.35482
86,2.35221
87,2.35411
88,2.35382
89,2.35555
90,2.35852
91,2.35357
93,2.35894
94,2.35758
95,2.35843
96,2.35855
97,2.35664
98,2.3614
99,2.36009
