iteration,entropy
0,2.94364
2,2.46436
4,2.35881
6,2.39433
8,2.1545
11,2.15651
13,2.15276
15,2.19399
17,2.24223
19,2.2968
22,2.28027
24,2.30105
26,2.31321
28,2.33852
31,2.34775
33,2.35326
35,2.34435
37,2.35718
39,2.35897
42,2.38538
44,2.3955
46,2.4074
48,2.39197
51,2.37493
53,2.36516
55,2.38369
57,2.39424
59,2.40252
62,2.41416
64,2.4124
66,2.41437
68,2.40977
71,2.39256
73,2.37862
75,2.37272
77,2.36407
79,2.36132
82,2.36458
84,2.36392
86,2.37336
88,2.39899
90,2.40952
93,2.4229
95,2.42583
97,2.42527
99,2.42931
102,2.4272
104,2.42658
106,2.4324
108,2.43563
110,2.44959
113,2.46028
115,2.4641
117,2.47097
119,2.47961
122,2.48458
124,2.49232
126,2.48757
128,2.4961
130,2.50208
133,2.51056
135,2.51466
137,2.51724
139,2.52178
142,2.53095
144,2.53582
146,2.55258
148,2.56044
151,2.56027
154,2.57255
156,2.57425
158,2.57086
161,2.57422
163,2.57128
167,2.56983
169,2.57551
171,2.57406
173,2.57786
176,2.58092
179,2.57857
181,2.57846
183,2.58115
185,2.58069
189,2.59181
191,2.59687
193,2.60084
195,2.59573
198,2.60181
201,2.60723
203,2.60562
205,2.61632
208,2.61592
211,2.61539
213,2.6189
216,2.62182
218,2.61885
221,2.61796
224,2.61799
226,2.62089
229,2.63421
231,2.64098
234,2.65644
237,2.66253
239,2.66631
242,2.66497
244,2.66792
247,2.66505
250,2.67531
252,2.67729
255,2.67898
259,2.68281
261,2.68388
263,2.68058
266,2.68216
268,2.68085
272,2.68763
274,2.69479
276,2.68504
279,2.70047
283,2.70919
285,2.71544
288,2.71858
290,2.72667
293,2.72942
297,2.73371
299,2.73772
301,2.73469
304,2.73872
308,2.74447
310,2.74654
313,2.75496
315,2.7662
318,2.77286
322,2.7808
325,2.79198
327,2.79482
330,2.80126
333,2.80102
336,2.80445
339,2.80277
341,2.80622
344,2.80524
348,2.81376
350,2.80992
352,2.80837
356,2.81326
358,2.81234
362,2.81225
364,2.81522
367,2.81224
370,2.81336
373,2.81399
376,2.81562
379,2.81381
381,2.81128
384,2.81042
388,2.80828
391,2.80768
394,2.80668
397,2.80226
399,2.80109
