x,lo,mid,hi
0,1.0,1.0,1.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,1.0,1.0,1.0
9,1.0,1.0,1.0
10,2.0,2.0,2.0
11,2.0,2.0,2.0
12,2.0,2.0,2.0
13,1.0,1.0,1.0
14,2.0,2.0,2.0
15,2.0,2.0,2.0
16,2.0,2.0,2.0
17,2.0,2.0,2.0
18,2.0,2.0,3.0
19,4.0,7.0,12.0
20,12.0,12.0,12.0
21,9.0,12.0,12.0
22,12.0,12.0,12.0
23,12.0,12.0,12.0
24,12.0,12.0,12.0
25,5.0,6.0,7.0
26,5.0,5.0,7.0
27,5.0,5.0,8.0
28,5.0,6.0,6.0
29,5.0,8.0,8.0
30,5.0,7.0,9.0
31,6.0,9.0,12.0
32,8.0,9.0,10.0
33,8.0,10.0,10.0
34,8.0,10.0,12.0
35,8.0,10.0,11.0
36,8.0,10.0,11.0
37,9.0,10.0,11.0
38,9.0,10.0,12.0
39,8.0,10.0,11.0
40,9.0,10.0,11.0
41,9.0,10.0,11.0
42,9.0,11.0,11.0
43,9.0,10.0,11.0
44,10.0,11.0,11.0
45,9.0,11.0,11.0
46,9.0,11.0,11.0
47,9.0,10.0,11.0
48,9.0,10.0,11.0
49,9.0,11.0,11.0
50,8.0,10.0,11.0
51,9.0,11.0,11.0
52,9.0,11.0,11.0
53,10.0,11.0,11.0
54,10.0,11.0,11.0
55,10.0,11.0,11.0
56,9.0,11.0,11.0
57,9.0,11.0,11.0
58,10.0,11.0,11.0
59,10.0,11.0,11.0
60,10.0,11.0,11.0
61,10.0,11.0,11.0
62,10.0,11.0,11.0
63,10.0,11.0,11.0
64,9.0,11.0,11.0
65,10.0,11.0,11.0
66,9.0,11.0,11.0
67,9.0,11.0,11.0
68,9.0,10.0,11.0
69,9.0,11.0,11.0
70,9.0,10.0,11.0
71,10.0,11.0,11.0
72,10.0,11.0,11.0
73,9.0,11.0,11.0
74,9.0,11.0,11.0
75,10.0,11.0,11.0
76,10.0,11.0,11.0
77,9.0,11.0,11.0
78,9.0,11.0,11.0
79,10.0,11.0,11.0
80,9.0,11.0,11.0
81,10.0,11.0,11.0
82,10.0,11.0,11.0
83,10.0,11.0,11.0
84,9.0,11.0,11.0
85,10.0,11.0,11.0
86,9.0,11.0,11.0
87,10.0,11.0,11.0
88,10.0,11.0,11.0
89,9.0,11.0,11.0
90,9.0,11.0,11.0
91,10.0,11.0,11.0
92,9.0,11.0,11.0
93,10.0,11.0,11.0
94,10.0,11.0,11.0
95,9.0,11.0,11.0
96,10.0,11.0,11.0
97,10.0,11.0,12.0
98,8.0,11.0,11.0
99,9.0,11.0,11.0
