x,lo,mid,hi
0,1.0,1.0,1.0
2,1.0,1.0,1.0
5,2.0,2.0,2.0
7,2.0,2.0,2.0
10,3.0,3.0,3.0
12,3.0,3.0,4.0
15,3.0,4.0,4.0
17,5.0,5.0,5.0
20,4.0,5.0,5.0
22,5.0,5.0,5.0
25,5.0,5.0,5.0
27,6.0,6.0,6.0
30,6.0,6.0,6.0
32,4.0,4.0,5.0
35,6.0,6.0,6.0
37,6.0,6.0,6.0
40,5.0,6.0,6.0
42,5.0,6.0,6.0
45,7.0,7.0,7.0
47,7.0,7.0,7.0
50,7.0,7.0,7.0
52,6.0,7.0,7.0
55,7.0,7.0,7.0
57,7.0,8.0,8.0
60,8.0,8.0,8.0
62,8.0,8.0,8.0
65,7.0,8.0,8.0
67,7.0,8.0,8.0
70,8.0,8.0,8.0
72,8.0,8.0,8.0
75,8.0,9.0,9.0
77,8.0,9.0,9.0
80,8.0,9.0,9.0
82,8.0,9.0,9.0
85,9.0,9.0,9.0
87,9.0,9.0,9.0
90,9.0,9.0,9.0
92,9.0,9.0,9.0
95,10.0,10.0,10.0
97,10.0,10.0,10.0
100,10.0,10.0,10.0
102,10.0,10.0,10.0
105,10.0,10.0,10.0
107,10.0,10.0,10.0
110,10.0,10.0,10.0
112,10.0,10.0,10.0
115,10.0,10.0,10.0
117,10.0,10.0,10.0
120,9.0,10.0,10.0
122,10.0,10.0,10.0
125,9.0,10.0,10.0
127,8.0,10.0,10.0
130,6.0,11.0,11.0
132,10.0,11.0,11.0
135,6.0,11.0,11.0
137,9.0,11.0,11.0
140,9.0,11.0,11.0
142,11.0,11.0,11.0
145,10.0,11.0,11.0
147,7.0,8.0,9.0
150,8.0,11.0,11.0
152,6.0,6.0,10.0
155,10.0,12.0,12.0
157,11.0,12.0,12.0
160,12.0,12.0,12.0
162,6.0,7.0,9.0
165,10.0,12.0,12.0
167,10.0,12.0,12.0
170,9.0,12.0,12.0
172,10.0,12.0,12.0
175,9.0,12.0,12.0
177,6.0,12.0,12.0
180,9.0,12.0,12.0
182,8.0,12.0,12.0
185,8.0,12.0,12.0
187,11.0,11.0,13.0
190,11.0,13.0,13.0
192,8.0,13.0,13.0
195,13.0,13.0,13.0
197,11.0,13.0,13.0
200,13.0,13.0,13.0
202,12.0,13.0,13.0
205,11.0,13.0,13.0
207,7.0,12.0,13.0
210,11.0,13.0,13.0
212,10.0,13.0,13.0
215,9.0,13.0,13.0
217,10.0,13.0,13.0
220,11.0,12.0,13.0
222,13.0,13.0,13.0
225,12.0,13.0,13.0
227,12.0,13.0,13.0
230,9.0,13.0,14.0
232,10.0,11.0,14.0
235,13.0,13.0,13.0
237,10.0,13.0,14.0
240,13.0,14.0,14.0
242,11.0,14.0,14.0
245,12.0,14.0,14.0
247,14.0,14.0,14.0
250,11.0,14.0,14.0
252,11.0,14.0,14.0
255,12.0,14.0,14.0
257,7.0,13.0,14.0
260,13.0,14.0,14.0
262,13.0,14.0,14.0
265,10.0,14.0,14.0
267,12.0,15.0,15.0
270,10.0,15.0,15.0
272,9.0,15.0,15.0
275,10.0,15.0,15.0
277,12.0,15.0,15.0
280,10.0,15.0,15.0
282,10.0,15.0,15.0
285,12.0,15.0,15.0
287,9.0,15.0,15.0
290,12.0,15.0,15.0
292,8.0,15.0,15.0
295,15.0,15.0,15.0
297,11.0,15.0,15.0
300,7.0,14.0,15.0
302,9.0,12.0,15.0
305,14.0,16.0,16.0
307,8.0,15.0,16.0
310,10.0,15.0,16.0
312,11.0,16.0,16.0
315,12.0,16.0,16.0
317,10.0,16.0,16.0
320,9.0,16.0,16.0
322,10.0,16.0,16.0
325,12.0,16.0,16.0
327,9.0,16.0,16.0
330,14.0,16.0,16.0
332,10.0,16.0,16.0
335,11.0,16.0,16.0
337,10.0,16.0,16.0
340,11.0,16.0,16.0
342,13.0,16.0,16.0
345,16.0,16.0,16.0
347,14.0,16.0,16.0
350,11.0,13.0,13.0
352,11.0,16.0,16.0
355,10.0,16.0,16.0
357,9.0,16.0,16.0
360,13.0,16.0,16.0
362,13.0,13.0,16.0
365,2.0,3.0,16.0
367,15.0,16.0,16.0
370,9.0,16.0,16.0
372,12.0,16.0,16.0
375,10.0,16.0,16.0
377,11.0,16.0,16.0
380,12.0,16.0,16.0
382,12.0,16.0,16.0
385,13.0,16.0,16.0
387,10.0,16.0,16.0
390,10.0,16.0,16.0
392,11.0,16.0,16.0
395,11.0,16.0,16.0
397,10.0,16.0,16.0
399,12.0,16.0,16.0
