iteration,rate
0,0.01553
1,0.01136
2,0.00575
3,0.00644
4,0.00656
5,0.00695
6,0.00289
7,0.00374
8,0.00405
9,0.00394
10,0.00208
11,0.00048
12,0.00037
13,0.00387
14,0.00687
15,0.00388
16,0.00252
17,0.20064
18,0.52617
19,0.85017
20,0.98906
21,0.98977
22,0.99035
23,0.99053
24,0.98952
25,0.98623
26,0.98746
27,0.98928
28,0.99054
29,0.98874
30,0.96221
31,0.96427
32,0.97844
33,0.97939
34,0.97714
35,0.98012
36,0.98274
37,0.98411
38,0.98104
39,0.97929
40,0.91594
41,0.89324
42,0.95325
43,0.97677
44,0.98268
45,0.98009
46,0.98655
47,0.98565
48,0.95021
49,0.94975
50,0.96299
51,0.96474
52,0.96905
53,0.9696
54,0.97443
55,0.98153
56,0.95184
57,0.95849
58,0.97845
59,0.97826
60,0.98086
61,0.98008
62,0.9517
63,0.95792
64,0.97832
65,0.96601
66,0.96754
67,0.9343
68,0.8406
69,0.77697
70,0.86065
71,0.68108
72,0.7474
73,0.97965
74,0.98492
75,0.98444
76,0.9848
77,0.98889
78,0.98502
79,0.97835
80,0.96772
81,0.9702
82,0.98071
83,0.98172
84,0.97814
85,0.97953
86,0.98043
87,0.98098
88,0.97743
89,0.97753
90,0.98026
91,0.97426
92,0.93701
93,0.94772
94,0.98498
95,0.94742
96,0.93962
97,0.97001
98,0.96548
99,0.95287
