x,lo,mid,hi
0,37.22,79.59,88.69
1,61.2,85.24,88.73
2,81.66,85.08,85.24
3,81.59,81.86,85.26
4,81.86,81.96,85.41
5,81.88,82.02,85.43
6,82.05,82.15,85.5
7,82.08,82.14,82.2401
8,81.9,82.0,85.43
9,81.86,81.92,85.31
10,81.84,81.87,85.27
11,81.91,81.99,82.09
12,81.95,82.12,82.2101
13,81.65,81.74,81.88
14,28.17,82.14,85.6501
15,82.08,82.22,85.62
16,82.01,82.07,85.46
17,82.12,113.33,165.12
18,224.1301,269.1,307.34
19,366.2701,411.2903,456.3603
20,511.8303,518.7803,522.2504
21,518.7704,522.2404,525.7103
22,518.7803,522.2404,525.7103
23,518.7803,522.2404,525.7103
24,518.7704,522.2404,522.2504
25,518.7704,522.2404,522.2404
26,515.3104,518.7803,522.2404
27,518.7704,522.2404,522.2504
28,518.7803,522.2404,525.7103
29,518.7704,522.2404,522.2504
30,504.9103,515.3104,522.2404
31,501.4303,508.3704,515.3104
32,511.8403,515.3203,518.7803
33,515.3004,515.3104,518.7803
34,511.8304,515.3104,522.2404
35,511.8503,518.7703,522.2404
36,515.3004,518.7704,522.2404
37,515.3104,518.7704,522.2404
38,515.3004,518.7704,522.2404
39,511.8503,515.3203,518.7803
40,477.1803,491.0403,501.4603
41,466.7502,477.1603,487.5603
42,494.5203,504.9103,515.3004
43,511.8403,515.3104,518.7704
44,515.3004,518.7704,522.2404
45,515.3004,518.7704,522.2404
46,518.7704,522.2404,522.2504
47,515.3104,518.7803,522.2404
48,494.5403,504.9003,511.8304
49,494.5203,504.9103,511.8304
50,504.8904,508.3803,515.3004
51,504.9203,511.8304,515.3004
52,508.3703,511.8503,518.7704
53,508.3703,511.8503,518.7704
54,511.8304,515.3104,518.7803
55,515.3004,518.7704,518.7903
56,494.5303,501.4403,508.3703
57,504.9103,511.8403,515.3104
58,511.8503,515.3104,518.7903
59,511.8404,515.3104,522.2404
60,511.8503,518.7704,522.2404
61,511.8503,518.7704,522.2404
62,494.4904,501.4303,508.3703
63,504.9103,511.8403,518.7704
64,511.8304,515.3104,518.7803
65,504.8904,508.3803,515.3004
66,508.3703,511.8503,518.7704
67,477.1903,487.5603,494.5103
68,432.0503,445.9003,452.8603
69,414.7102,425.1003,435.5202
70,459.7902,473.6902,487.5603
71,307.1203,338.33,369.5603
72,445.9002,487.5403,515.3004
73,515.3004,518.7704,522.2404
74,515.3203,518.7803,522.2404
75,515.3004,518.7704,522.2404
76,518.7704,522.2404,522.2404
77,518.7704,522.2404,522.2504
78,511.8603,518.7703,522.2404
79,511.8304,515.3103,518.7803
80,504.8904,508.3704,515.3004
81,511.8304,515.3104,522.2404
82,511.8403,518.7704,522.2404
83,511.8503,518.7704,522.2404
84,515.3004,518.7704,522.2404
85,511.8404,518.7704,518.7903
86,515.3004,518.7704,522.2404
87,511.8503,518.7703,518.7803
88,511.8304,515.3104,522.2404
89,511.8503,515.3104,522.2404
90,511.8403,515.3104,522.2404
91,501.4303,508.3703,511.8503
92,484.1003,494.5003,501.4403
93,515.3004,515.3203,522.2404
94,504.9003,515.3004,522.2404
95,487.5603,494.5003,501.4303
96,504.9103,511.8304,515.3203
97,508.3604,511.8503,518.7704
98,501.4203,504.9103,511.8403
99,501.4303,504.9203,511.8304
