x,lo,mid,hi
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,1.0,1.0,1.0
11,1.0,1.0,1.0
12,1.0,1.0,1.0
13,0.0,0.0,0.0
14,1.0,1.0,1.0
15,1.0,1.0,1.0
16,1.0,1.0,1.0
17,1.0,1.0,1.0
18,1.0,1.0,2.0
19,3.0,6.0,12.0
20,12.0,12.0,12.0
21,11.0,12.0,12.0
22,12.0,12.0,12.0
23,12.0,12.0,12.0
24,12.0,12.0,12.0
25,15.0,16.0,17.0
26,15.0,15.0,16.0
27,15.0,15.0,16.0
28,15.0,16.0,16.0
29,15.0,18.0,18.0
30,15.0,16.0,19.0
31,12.0,18.0,20.0
32,18.0,19.0,20.0
33,18.0,20.0,20.0
34,12.0,18.0,21.0
35,12.0,19.0,20.0
36,15.0,20.0,21.0
37,18.0,20.0,21.0
38,12.0,19.0,21.0
39,12.0,19.0,20.0
40,16.0,20.0,21.0
41,19.0,20.0,21.0
42,18.0,20.0,21.0
43,19.0,20.0,21.0
44,19.0,21.0,21.0
45,19.0,21.0,21.0
46,17.0,21.0,21.0
47,18.0,20.0,21.0
48,18.0,20.0,21.0
49,19.0,21.0,21.0
50,18.0,20.0,21.0
51,19.0,21.0,21.0
52,19.0,21.0,21.0
53,18.0,21.0,21.0
54,19.0,21.0,21.0
55,18.0,21.0,21.0
56,18.0,21.0,21.0
57,18.0,21.0,21.0
58,19.0,21.0,21.0
59,19.0,21.0,21.0
60,19.0,21.0,21.0
61,20.0,21.0,21.0
62,20.0,21.0,21.0
63,20.0,21.0,21.0
64,16.0,20.0,21.0
65,19.0,21.0,21.0
66,19.0,21.0,21.0
67,17.0,21.0,21.0
68,18.0,20.0,21.0
69,18.0,20.0,21.0
70,12.0,20.0,21.0
71,18.0,21.0,21.0
72,19.0,21.0,21.0
73,19.0,21.0,21.0
74,19.0,21.0,21.0
75,19.0,21.0,21.0
76,20.0,21.0,21.0
77,19.0,21.0,21.0
78,12.0,20.0,21.0
79,19.0,21.0,21.0
80,12.0,21.0,21.0
81,19.0,21.0,21.0
82,18.0,21.0,21.0
83,19.0,21.0,21.0
84,19.0,21.0,21.0
85,19.0,21.0,21.0
86,19.0,21.0,21.0
87,18.0,21.0,21.0
88,19.0,21.0,21.0
89,17.0,21.0,21.0
90,17.0,21.0,21.0
91,18.0,21.0,21.0
92,18.0,21.0,21.0
93,20.0,21.0,21.0
94,19.0,21.0,21.0
95,19.0,21.0,21.0
96,19.0,21.0,21.0
97,12.0,21.0,21.0
98,18.0,21.0,21.0
99,19.0,21.0,21.0
