x,lo,mid,hi
0,2.83,2.83,2.83
2,2.82,2.82,2.82
5,3.82,3.82,3.82
7,3.82,3.82,3.82
10,4.82,4.82,4.82
12,4.82,4.82,5.82
15,4.82,5.82,5.82
17,6.82,6.82,6.82
20,5.82,6.82,6.82
22,6.82,6.82,6.82
25,6.82,6.82,6.82
27,7.82,7.82,7.82
30,7.82,7.82,7.82
32,5.82,5.82,6.82
35,7.82,7.82,7.82
37,7.82,7.82,7.82
40,6.82,7.82,7.82
42,6.82,7.82,7.82
45,8.82,8.82,8.82
47,8.82,8.82,8.82
50,8.82,8.82,8.82
52,7.82,8.82,8.82
55,8.82,8.82,8.82
57,8.82,9.82,9.82
60,9.82,9.82,9.82
62,9.82,9.82,9.82
65,8.82,9.82,9.82
67,8.82,9.82,9.82
70,9.82,9.82,9.82
72,9.82,9.82,9.82
75,9.82,10.82,10.82
77,9.82,10.82,10.82
80,9.82,10.82,10.82
82,9.82,10.82,10.82
85,10.82,10.82,10.82
87,10.82,10.82,10.82
90,10.82,10.82,10.82
92,10.82,10.82,10.82
95,11.82,11.82,11.82
97,11.82,11.82,11.82
100,11.82,11.82,11.82
102,11.82,11.82,11.82
105,11.82,11.82,11.82
107,11.82,11.82,11.82
110,11.82,11.82,11.82
112,11.82,11.82,11.82
115,11.82,11.82,11.82
117,11.82,11.82,11.82
120,10.82,11.82,11.82
122,11.82,11.82,11.82
125,10.82,11.82,11.82
127,9.82,11.82,11.82
130,7.82,12.82,12.82
132,11.82,12.82,12.82
135,7.82,12.82,12.82
137,10.82,12.82,12.82
140,10.82,12.82,12.82
142,12.82,12.82,12.82
145,11.82,12.82,12.82
147,8.82,9.82,10.82
150,9.82,12.82,12.82
152,7.82,7.82,11.82
155,11.82,13.82,13.82
157,12.82,13.82,13.82
160,13.82,13.82,13.82
162,7.82,8.82,10.82
165,11.82,13.82,13.82
167,11.82,13.82,13.82
170,10.82,13.82,13.82
172,11.82,13.82,13.82
175,10.82,13.82,13.82
177,7.82,13.82,13.82
180,10.82,13.82,13.82
182,9.82,13.82,13.82
185,9.82,13.82,13.82
187,12.82,12.82,14.82
190,12.82,14.82,14.82
192,9.82,14.82,14.82
195,14.82,14.82,14.82
197,12.82,14.82,14.82
200,14.82,14.82,14.82
202,13.82,14.82,14.82
205,12.82,14.82,14.82
207,8.82,13.82,14.82
210,12.82,14.82,14.82
212,11.82,14.82,14.82
215,10.82,14.82,14.82
217,11.82,14.82,14.82
220,12.82,13.82,14.82
222,14.82,14.82,14.82
225,13.82,14.82,14.82
227,13.82,14.82,14.82
230,10.82,14.82,15.82
232,11.82,12.82,15.82
235,14.82,14.82,14.82
237,11.82,14.82,15.82
240,14.82,15.82,15.82
242,12.82,15.82,15.82
245,13.82,15.82,15.82
247,15.82,15.82,15.82
250,12.82,15.82,15.82
252,12.82,15.82,15.82
255,13.82,15.82,15.82
257,8.82,14.82,15.82
260,14.82,15.82,15.82
262,14.82,15.82,15.82
265,11.82,15.82,15.82
267,13.82,16.82,16.82
270,11.82,16.82,16.82
272,10.82,16.82,16.82
275,11.82,16.82,16.82
277,13.82,16.82,16.82
280,11.82,16.82,16.82
282,11.82,16.82,16.82
285,13.82,16.82,16.82
287,10.82,16.82,16.82
290,13.82,16.82,16.82
292,9.82,16.82,16.82
295,16.82,16.82,16.82
297,12.82,16.82,16.82
300,8.82,15.82,16.82
302,10.82,13.82,16.82
305,15.82,17.82,17.82
307,9.82,16.82,17.82
310,11.82,16.82,17.82
312,12.82,17.82,17.82
315,13.82,17.82,17.82
317,11.82,17.82,17.82
320,10.82,17.82,17.82
322,11.82,17.82,17.82
325,13.82,17.82,17.82
327,10.82,17.82,17.82
330,15.82,17.82,17.82
332,11.82,24.57,24.57
335,12.82,24.57,24.57
337,11.82,24.57,24.57
340,12.82,24.57,24.57
342,14.82,24.57,24.57
345,17.82,24.57,24.57
347,15.82,24.57,24.57
350,12.82,14.82,14.82
352,12.82,24.57,24.57
355,11.82,24.57,24.57
357,10.82,24.57,24.57
360,14.82,24.57,24.57
362,14.82,14.82,24.57
365,3.82,4.82,24.57
367,16.82,24.57,24.57
370,10.82,24.57,24.57
372,13.82,24.57,24.57
375,11.82,24.57,24.57
377,12.82,24.57,24.57
380,13.82,24.57,24.57
382,13.82,24.57,24.57
385,14.82,24.57,24.57
387,11.82,24.57,24.57
390,11.82,24.57,24.57
392,12.82,24.57,24.57
395,12.82,24.57,24.57
397,11.82,24.57,24.57
399,13.82,24.57,24.57
