batches,total,value,policy,value_prefix,simsiam
64,9.81909,5.18909,5.48086,4.44539,-0.70222
320,2.67979,2.53767,2.38052,0.59221,-0.46368
575,2.39931,2.48099,2.32241,0.51,-0.52667
958,3.4973,2.81948,3.39916,0.60132,-0.60403
1214,2.78525,2.68073,2.69903,0.62052,-0.60224
1598,2.69748,2.20837,2.6576,0.5761,-0.54416
1853,2.78374,2.59072,2.66711,0.56939,-0.55022
2236,2.912,2.52069,2.81837,0.61961,-0.57807
2492,3.4905,3.11456,3.24705,0.6062,-0.5707
2748,2.99848,2.65489,2.87573,0.59206,-0.56652
3130,0.70138,2.44492,0.60153,0.55497,-0.53317
3386,1.90856,2.11235,1.88916,0.54908,-0.52888
3770,0.93417,2.37394,0.87496,0.56828,-0.55127
4026,0.35816,2.1383,0.3542,0.5551,-0.54285
4408,0.30601,1.89912,0.34133,0.53997,-0.52503
4664,1.70445,1.86971,1.73317,0.54842,-0.52229
5048,1.02481,2.3348,0.94306,0.54039,-0.52117
5304,1.38033,1.66426,1.45166,0.52203,-0.50471
5558,2.10404,2.05605,2.06217,0.51439,-0.49327
5942,1.1053,1.74137,1.10437,0.51262,-0.47352
6198,1.6553,2.32368,1.49953,0.49552,-0.46034
6582,0.33653,1.5621,0.34799,0.49053,-0.44626
6836,0.62288,1.67684,0.61726,0.46561,-0.4396
7220,0.40756,1.62632,0.4017,0.45281,-0.42677
7476,0.12279,1.68409,0.11533,0.44581,-0.42969
7732,0.031,1.40073,0.1034,0.42145,-0.42202
8114,0.0975,1.42323,0.14564,0.42009,-0.41202
8370,0.13196,1.48295,0.18486,0.40103,-0.41233
8754,0.1232,1.46364,0.17029,0.39265,-0.40283
9010,0.18886,1.23693,0.29432,0.37847,-0.39658
9392,0.10834,1.41108,0.16858,0.38145,-0.39723
9648,0.1919,1.33671,0.26571,0.38571,-0.39685
10032,0.07991,1.13,0.18798,0.36922,-0.3799
10287,0.16153,1.2101,0.24722,0.35946,-0.37384
10542,0.17807,1.12631,0.2735,0.35499,-0.366
10926,0.13827,1.2873,0.21581,0.35007,-0.37472
11182,0.33313,1.1483,0.42604,0.34714,-0.36356
11565,0.05703,1.1125,0.13928,0.33116,-0.34576
11820,0.06393,1.15574,0.14228,0.34111,-0.3542
12204,0.13268,1.25381,0.18404,0.34262,-0.35371
12460,0.12187,1.07938,0.20775,0.34004,-0.34788
12715,0.28459,1.32582,0.30181,0.33102,-0.33985
