batches,total,value,policy,value_prefix,simsiam
32,12.15958,5.87723,5.87709,6.27153,-0.72918
160,5.83353,3.42021,3.4265,2.46407,-0.45604
352,2.56149,2.05105,1.52314,1.07091,-0.27267
480,3.02113,2.61065,1.93051,1.28264,-0.42234
672,2.91153,2.22871,2.3069,0.84362,-0.39809
800,2.03614,2.17032,1.693,0.49841,-0.34892
992,2.38315,2.513,2.10687,0.51084,-0.43141
1120,1.65315,1.71031,1.58169,0.38089,-0.3685
1312,1.57028,1.59578,1.5113,0.33459,-0.33728
1440,1.56775,2.13996,1.39562,0.39263,-0.37775
1632,1.34033,1.70145,1.2538,0.34165,-0.34024
1760,1.57651,1.79465,1.48273,0.41574,-0.38531
1952,1.73601,1.6733,1.66501,0.36946,-0.35839
2080,1.37791,1.4871,1.3213,0.30138,-0.30827
2272,1.39462,1.52498,1.34722,0.37962,-0.35673
2400,1.28711,1.89642,1.11295,0.29722,-0.29859
2592,1.20883,1.33748,1.16565,0.2674,-0.27929
2720,0.74482,1.37952,0.6733,0.29642,-0.28489
2912,1.29057,1.69923,1.14412,0.28142,-0.27989
3040,1.36836,1.79443,1.22025,0.32376,-0.31213
3232,1.1184,1.70999,0.97141,0.28551,-0.28301
3360,1.15374,1.24342,1.11325,0.26506,-0.26771
3552,1.49624,1.63641,1.35285,0.30906,-0.28739
3680,1.041,1.07319,1.04884,0.29039,-0.28326
3872,1.09831,1.36029,1.02884,0.2414,-0.256
4000,0.86224,1.01391,0.89181,0.25959,-0.27132
4192,0.90066,1.16875,0.8767,0.22408,-0.24615
4320,0.92317,1.16329,0.95119,0.25098,-0.28491
4512,0.29069,1.17025,0.30009,0.22496,-0.26346
4640,0.26314,1.14856,0.245,0.20554,-0.23727
4832,0.07446,1.35145,0.07871,0.23694,-0.28953
4960,0.0597,1.23475,0.0574,0.19207,-0.24923
5152,0.00852,1.05575,0.05212,0.17552,-0.24153
5280,0.02171,1.16254,0.05993,0.18571,-0.25728
5472,0.01703,1.17313,0.04875,0.18331,-0.25416
5600,-0.01854,1.09722,0.05638,0.18751,-0.26837
5792,-0.00093,1.13919,0.04828,0.1739,-0.25395
5920,-0.04964,0.9625,0.04506,0.16804,-0.25168
6112,-0.01137,1.09548,0.05199,0.16929,-0.25325
6240,-0.01449,1.1295,0.0557,0.17367,-0.26312
6432,0.02602,1.04594,0.12103,0.16954,-0.26301
6560,-0.00749,1.17819,0.04749,0.17007,-0.2598
6752,0.14483,1.31239,0.19959,0.18373,-0.28329
6880,-0.03701,1.17964,0.0456,0.18299,-0.28026
7072,-0.01778,1.1884,0.07521,0.18739,-0.28874
7200,-0.08551,1.20996,0.05351,0.20086,-0.32118
7392,-0.06524,1.28332,0.07667,0.21508,-0.33891
7520,0.05445,1.78145,0.0791,0.22656,-0.34828
7712,0.05784,1.52759,0.16745,0.22634,-0.35892
7840,-0.0493,1.50721,0.09488,0.23751,-0.37925
8032,-0.05307,1.76542,0.09802,0.28265,-0.43755
8160,-0.10299,1.53797,0.08205,0.25932,-0.41443
8352,-0.10956,2.00402,0.12443,0.3321,-0.53355
8480,-0.06232,2.32459,0.14519,0.35522,-0.57194
8672,-0.11679,2.17779,0.14244,0.35866,-0.58117
8800,-0.20793,2.14981,0.08549,0.36588,-0.59838
8992,-0.05807,2.44021,0.14143,0.36643,-0.58799
9120,-0.0703,2.44154,0.15385,0.37201,-0.60328
9312,-0.00332,2.53482,0.1358,0.41949,-0.59616
9440,-0.09185,2.45016,0.14763,0.38453,-0.61827
9632,-0.06084,2.41186,0.14509,0.36047,-0.58469
9760,-0.09363,2.32986,0.15186,0.37061,-0.59928
9952,-0.06924,2.40474,0.14222,0.36983,-0.59124
10080,0.02544,2.74886,0.15907,0.36267,-0.59176
10272,-0.023,1.98193,0.29033,0.36168,-0.58525
10400,0.30434,2.45805,0.49042,0.36446,-0.58252
10592,0.3174,2.25105,0.53914,0.36927,-0.57688
10720,0.26006,2.23463,0.54394,0.37634,-0.60944
10912,-0.14134,1.8867,0.20274,0.37105,-0.59341
11040,-0.14697,1.94849,0.15842,0.35982,-0.57617
11232,-0.16837,1.92325,0.14632,0.36738,-0.58144
11360,-0.05209,1.90033,0.2627,0.36111,-0.57549
11552,-0.07231,2.13146,0.19492,0.35495,-0.57753
11680,-0.05639,1.95715,0.24622,0.36122,-0.57656
11872,-0.06886,2.17491,0.20339,0.36938,-0.59268
12000,-0.08343,2.13652,0.19735,0.37031,-0.59261
12192,0.24225,2.26975,0.48529,0.36762,-0.58904
12320,0.15251,2.06857,0.44709,0.36564,-0.58868
12512,0.05957,2.53391,0.25107,0.37564,-0.60031
12640,0.17012,2.26033,0.41654,0.37282,-0.59216
12832,0.44282,2.439,0.64431,0.36904,-0.59014
12960,-0.08379,2.0993,0.20793,0.37137,-0.59395
13152,-0.08514,2.02897,0.2091,0.36594,-0.58371
13280,-0.10779,1.99082,0.2025,0.37113,-0.58956
