batches,total,value,policy,value_prefix,simsiam
128,8.09697,4.86184,5.34878,2.94743,-0.70735
640,3.64924,3.03691,3.50373,0.48695,-0.55033
1408,3.83714,2.92115,3.6363,0.47547,-0.50246
1920,3.35002,2.52241,3.40626,0.47965,-0.58324
2688,3.38383,2.23863,3.49688,0.4657,-0.5692
3200,3.46442,2.37893,3.52986,0.45585,-0.55801
3968,3.28927,2.28609,3.36517,0.44597,-0.5467
4480,3.22254,2.05847,3.30378,0.44133,-0.5186
5248,3.17853,2.19184,3.26539,0.43895,-0.53689
5760,3.14992,2.4929,3.15974,0.43844,-0.53574
6528,3.2383,2.1665,3.31505,0.42645,-0.52241
7040,3.08974,2.18775,3.14968,0.42388,-0.51538
7808,2.76188,1.91306,2.86797,0.41473,-0.49954
8320,2.95984,2.02322,3.02252,0.40152,-0.485
9088,2.677,1.7921,2.78474,0.39651,-0.47614
9600,2.85441,1.76235,2.95803,0.38801,-0.46611
10368,2.80085,2.01941,2.83154,0.3821,-0.45882
10880,2.62183,1.51671,2.76713,0.37603,-0.45025
11648,1.89641,1.95029,1.92965,0.37341,-0.44711
12160,2.35907,1.72603,2.43964,0.37527,-0.44368
12928,2.08036,1.7046,2.14113,0.37696,-0.43194
13440,0.8145,1.13217,1.00916,0.38059,-0.42914
14208,0.4125,1.20466,0.57802,0.36398,-0.41534
14720,0.45344,1.16104,0.62004,0.37141,-0.41413
15488,0.43515,0.92193,0.64662,0.36346,-0.4027
16000,0.52022,1.2281,0.64087,0.37179,-0.39974
16768,0.45465,0.68959,0.69774,0.37658,-0.39603
17280,0.1403,0.67353,0.38719,0.37391,-0.39459
18048,0.58563,0.9273,0.77176,0.34725,-0.3826
18560,0.84904,0.94363,1.0338,0.34158,-0.38113
19328,0.95407,1.00465,1.11312,0.33935,-0.37478
19840,0.921,1.11483,1.04115,0.32672,-0.36279
20608,0.57554,0.79212,0.76233,0.31477,-0.3498
21120,0.25404,0.78853,0.42031,0.31357,-0.33849
