batches,total,value,policy,value_prefix,simsiam
32,5.40283,0.61886,0.4442,4.81205,-0.00407
160,2.56168,0.04692,0.46032,2.11081,-0.01059
352,0.77656,0.04738,0.44146,0.34553,-0.01113
480,0.70896,0.04544,0.44212,0.27656,-0.01054
672,0.66808,0.04379,0.43044,0.24694,-0.01012
800,0.50717,0.03256,0.33423,0.17961,-0.00741
992,0.65951,0.04578,0.42321,0.24641,-0.01077
1120,0.68622,0.05606,0.41472,0.28384,-0.01318
1312,0.5786,0.04674,0.35381,0.23554,-0.01121
1440,0.75296,0.06322,0.45808,0.30917,-0.01505
1632,0.30105,0.06828,0.0546,0.26636,-0.01849
1760,0.09318,0.05803,0.0341,0.07962,-0.01752
1952,0.13509,0.07819,0.05654,0.11062,-0.02581
2080,0.67908,0.08598,0.25409,0.46212,-0.02932
2272,0.31921,0.07625,0.05835,0.29584,-0.02702
2400,0.62476,0.0821,0.2999,0.35617,-0.02592
2592,0.25066,0.09222,0.14968,0.1431,-0.03259
2720,0.23558,0.09379,0.13731,0.13994,-0.03256
2912,0.23053,0.08937,0.1378,0.13576,-0.03269
3040,0.25358,0.09602,0.15276,0.14924,-0.03622
3232,0.71876,0.25648,0.32287,0.42212,-0.04517
3360,0.51982,0.20412,0.19871,0.38116,-0.05554
3552,0.33117,0.20983,0.11689,0.28924,-0.0637
3680,0.79927,0.78242,0.42004,0.48112,-0.14874
3872,0.6706,0.81633,0.48925,0.32502,-0.17388
4000,0.56792,0.72539,0.47739,0.24428,-0.16755
4192,0.65733,0.91585,0.56404,0.28001,-0.20785
4320,0.611,0.94482,0.52812,0.27455,-0.21394
4512,0.60691,0.95226,0.54094,0.27795,-0.22503
4640,0.53975,0.97941,0.48759,0.28475,-0.23872
4832,0.53622,0.96458,0.49846,0.26908,-0.23623
4960,0.62589,1.02748,0.60831,0.27633,-0.25781
5152,0.41175,1.05078,0.35449,0.27415,-0.23979
5280,0.20959,0.99897,0.17534,0.25932,-0.23741
5472,0.18688,0.9081,0.17461,0.24135,-0.22805
5600,0.20221,0.91402,0.1742,0.23287,-0.21668
5792,0.25595,0.94152,0.22137,0.25225,-0.22653
5920,0.19922,0.82709,0.18823,0.21731,-0.20655
6112,0.18063,0.8937,0.1636,0.24123,-0.22381
6240,0.26566,0.96361,0.22366,0.25413,-0.22652
6432,0.22307,0.93166,0.20627,0.22876,-0.22244
6560,0.26109,0.9859,0.22875,0.24262,-0.22838
6752,0.25598,1.04009,0.2288,0.25571,-0.24428
6880,0.2114,0.98957,0.1956,0.24916,-0.24038
7072,0.21072,0.94544,0.21206,0.23631,-0.237
7200,0.29067,0.98219,0.3086,0.24217,-0.25282
7392,0.30232,1.01263,0.31521,0.24417,-0.25511
7520,0.31067,0.97453,0.33325,0.2369,-0.25156
7712,0.3787,1.07168,0.38782,0.25104,-0.26404
7840,0.31627,1.13925,0.34459,0.26999,-0.29157
8032,0.34077,1.0443,0.36136,0.24884,-0.26525
