batches,total,value,policy,value_prefix,simsiam
128,7.7014,4.40657,5.04125,2.86937,-0.65544
640,3.74625,2.89465,3.60327,0.49146,-0.53607
1408,3.45729,2.3768,3.42745,0.45655,-0.51046
1920,3.4616,2.22074,3.4811,0.45993,-0.51731
2688,3.12875,1.89943,3.23929,0.46158,-0.52349
3200,3.34972,2.33801,3.34702,0.46076,-0.52128
3968,3.12564,2.16206,3.14368,0.45143,-0.50499
4480,3.0107,1.94886,3.06098,0.4342,-0.48585
5248,1.90309,1.56533,2.04556,0.43253,-0.48317
5760,1.55023,1.98467,1.54734,0.47372,-0.4835
6528,0.1359,1.30979,0.2728,0.4697,-0.46702
7040,0.17998,1.5696,0.24425,0.45988,-0.45828
7808,0.20598,1.30766,0.31139,0.42674,-0.42953
8320,0.02354,1.11207,0.17107,0.41027,-0.41791
9088,0.98868,1.21835,1.08122,0.39391,-0.39552
9600,0.41626,1.05249,0.55371,0.39112,-0.39584
10368,0.42688,1.14951,0.52698,0.36516,-0.37632
10880,0.71746,1.27562,0.76451,0.35757,-0.36176
11648,0.78689,0.96896,0.90658,0.34511,-0.35352
12160,0.34089,0.93293,0.45341,0.34917,-0.34746
12928,0.31278,0.84982,0.42255,0.33301,-0.32761
13440,0.44461,0.85477,0.52947,0.32515,-0.31185
14208,0.3284,0.80785,0.40673,0.31812,-0.29921
14720,0.26561,0.76314,0.34648,0.32257,-0.29712
15488,0.24411,0.72731,0.33046,0.31615,-0.29217
16000,0.25196,0.65777,0.34693,0.3122,-0.2858
16768,0.32505,0.71988,0.40042,0.31767,-0.2865
17280,0.20484,0.64265,0.29403,0.30648,-0.27816
18048,0.34141,0.66348,0.41829,0.31189,-0.27732
18560,0.26732,0.67073,0.33604,0.31515,-0.27578
19328,0.3017,0.65329,0.37408,0.31304,-0.27437
19840,0.31382,0.67612,0.36651,0.31347,-0.26759
20608,0.27283,0.67148,0.33557,0.32037,-0.27549
21120,0.29064,0.65854,0.35879,0.31625,-0.27452
21888,0.3067,0.6287,0.37803,0.3127,-0.2706
22400,0.31153,0.60244,0.38777,0.30753,-0.26719
23168,0.2965,0.63504,0.37272,0.31466,-0.27482
23680,0.32602,0.61228,0.40198,0.3039,-0.26647
24448,0.3382,0.62305,0.41553,0.31119,-0.27214
24960,0.31789,0.61482,0.40062,0.3048,-0.27062
25728,0.30372,0.61977,0.39257,0.30729,-0.27554
26240,0.32057,0.60456,0.40567,0.30406,-0.27015
27008,0.31396,0.60402,0.40411,0.3105,-0.27583
27520,0.31728,0.60155,0.41069,0.30564,-0.27472
28288,0.32114,0.59927,0.41296,0.30895,-0.2753
28800,0.36006,0.61069,0.45478,0.31947,-0.28343
29568,0.35653,0.62581,0.44551,0.31484,-0.28013
30080,0.37858,0.60813,0.47439,0.31205,-0.27994
30848,0.37029,0.61431,0.46565,0.31153,-0.28023
31360,0.36995,0.6155,0.46515,0.3124,-0.28074
32128,0.43151,0.68138,0.5056,0.30702,-0.27573
32640,0.34287,0.60075,0.44702,0.31029,-0.28231
33408,0.41497,0.63964,0.50621,0.31221,-0.28168
33920,0.37874,0.62615,0.47252,0.30489,-0.2776
34688,0.37362,0.61724,0.47638,0.30958,-0.28333
35200,0.36862,0.60351,0.47142,0.30095,-0.27731
35968,0.51949,0.6437,0.6142,0.30608,-0.28086
36480,0.36998,0.5824,0.47623,0.30338,-0.27761
37248,0.42913,0.58541,0.53849,0.30157,-0.27864
37760,0.3728,0.58586,0.47946,0.2977,-0.27541
38528,0.3883,0.58923,0.49403,0.29862,-0.27583
39040,0.38513,0.59012,0.49234,0.29983,-0.27729
39808,0.38732,0.60449,0.49095,0.3031,-0.27892
40320,0.36364,0.60961,0.46812,0.30508,-0.28098
41088,0.38057,0.59252,0.48783,0.30138,-0.27839
41600,0.35552,0.60836,0.46053,0.30251,-0.27981
42368,0.35498,0.6016,0.46179,0.29988,-0.27855
42880,0.37146,0.61779,0.47158,0.30274,-0.27866
43648,0.35371,0.62992,0.45491,0.308,-0.28334
44160,0.34453,0.6174,0.44725,0.30351,-0.28029
44928,0.37156,0.64821,0.47196,0.30493,-0.28369
45440,0.53312,0.79458,0.59291,0.30114,-0.27978
46208,0.31253,0.60107,0.42089,0.29907,-0.27885
46720,0.32961,0.62091,0.4401,0.3039,-0.28481
47488,0.31867,0.60299,0.43235,0.30243,-0.28343
48000,0.32535,0.59789,0.44598,0.3029,-0.2865
48768,0.33116,0.61555,0.44549,0.30384,-0.28603
49280,0.33105,0.61177,0.44404,0.29921,-0.28257
50048,0.30974,0.59369,0.42412,0.29657,-0.27968
50560,0.34118,0.61721,0.45436,0.30213,-0.28481
51328,0.30971,0.59486,0.42704,0.29641,-0.28123
51840,0.31911,0.59947,0.43139,0.29498,-0.27856
52608,0.29061,0.59476,0.40896,0.29232,-0.27967
53120,0.29897,0.59012,0.41581,0.29221,-0.27828
53888,0.31167,0.60366,0.42799,0.29305,-0.28014
54400,0.27782,0.57998,0.40181,0.28649,-0.27774
55168,0.28536,0.56982,0.40587,0.28401,-0.27349
55680,0.28997,0.59613,0.40846,0.2921,-0.27981
56448,0.28012,0.58122,0.40768,0.29197,-0.28241
56960,0.30751,0.56279,0.43154,0.28619,-0.27546
57728,0.28024,0.56725,0.40281,0.28567,-0.27503
58240,0.29343,0.58765,0.41949,0.29021,-0.28159
59008,0.27428,0.58093,0.39781,0.28992,-0.27934
59520,0.29035,0.58567,0.4163,0.29501,-0.28369
60288,0.27197,0.56135,0.39928,0.28404,-0.27584
60800,0.28731,0.57948,0.41916,0.292,-0.28436
61568,0.24667,0.57111,0.37783,0.28959,-0.28176
62080,0.25975,0.58536,0.38872,0.29294,-0.28413
62848,0.31934,0.58459,0.45038,0.2954,-0.28629
63360,0.30316,0.58671,0.42936,0.29523,-0.28406
64128,0.27609,0.59745,0.40527,0.29606,-0.2873
64640,0.28614,0.60038,0.41415,0.3001,-0.2891
65408,0.27699,0.58235,0.40758,0.28908,-0.28263
65920,0.29761,0.58475,0.42803,0.29529,-0.28595
66688,0.29155,0.59056,0.42202,0.29323,-0.28567
67200,0.31252,0.62341,0.43139,0.30074,-0.28773
67968,0.27676,0.61411,0.40204,0.29934,-0.28908
