batches,total,value,policy,value_prefix,simsiam
128,3.5573,0.31469,0.54125,2.95043,-0.00653
640,0.53195,0.13017,0.17711,0.37132,-0.02451
1408,0.48924,0.20173,0.19176,0.34456,-0.04876
1920,0.46394,0.25259,0.22273,0.32335,-0.07264
2688,0.2684,0.22581,0.08358,0.27535,-0.07349
3200,0.40442,0.31612,0.16758,0.34308,-0.09264
3968,0.33823,0.35021,0.15876,0.31214,-0.11011
4480,0.27342,0.37106,0.17383,0.26598,-0.12957
5248,0.13585,0.35637,0.05893,0.26064,-0.1364
5760,0.10514,0.32682,0.06129,0.24082,-0.13933
6528,0.0935,0.37618,0.05631,0.24652,-0.15169
7040,0.08015,0.41438,0.06221,0.24136,-0.16351
7808,0.11578,0.42682,0.09935,0.24033,-0.16531
8320,0.17575,0.42041,0.17254,0.23254,-0.16721
9088,0.20308,0.44873,0.20655,0.24959,-0.18262
9600,0.21394,0.45311,0.21871,0.25397,-0.186
10368,0.20601,0.45864,0.22117,0.25388,-0.19185
10880,0.09562,0.52953,0.12154,0.25441,-0.20636
11648,0.04441,0.57066,0.07408,0.25883,-0.21558
12160,0.07207,0.5839,0.09435,0.26541,-0.21683
12928,0.13007,0.55195,0.16571,0.24523,-0.20943
13440,0.11681,0.54867,0.15097,0.24304,-0.20718
14208,0.04093,0.60004,0.07868,0.23906,-0.21341
14720,0.05024,0.66062,0.09282,0.25302,-0.23038
15488,0.08433,0.66574,0.13148,0.24857,-0.23108
16000,0.09901,0.66478,0.14721,0.24946,-0.23193
16768,0.07569,0.6934,0.10125,0.2668,-0.23286
17280,0.0877,0.66433,0.14643,0.2476,-0.23621
18048,0.14153,0.72372,0.1623,0.27575,-0.23872
18560,0.04974,0.74796,0.10989,0.25851,-0.25283
19328,0.05911,0.76027,0.12617,0.26074,-0.25893
19840,0.07219,0.79883,0.13834,0.26757,-0.26671
20608,0.14753,0.87224,0.17381,0.29586,-0.2701
21120,0.00832,0.80662,0.08504,0.27071,-0.27455
21888,-0.00346,0.75219,0.08184,0.25588,-0.26461
22400,-0.00722,0.7519,0.08427,0.25382,-0.26664
23168,0.07527,0.81583,0.14133,0.26719,-0.2686
23680,-0.00887,0.79567,0.08522,0.2482,-0.2706
24448,-0.01776,0.81735,0.08503,0.25224,-0.27968
24960,-0.01816,0.85596,0.09012,0.26326,-0.29277
25728,-0.03042,0.83111,0.08697,0.26078,-0.29297
26240,-0.03204,0.84308,0.08884,0.26191,-0.29678
27008,-0.04744,0.81029,0.08418,0.25592,-0.29506
27520,-0.04835,0.78741,0.08371,0.24951,-0.28921
28288,-0.00792,0.82955,0.11459,0.26403,-0.29697
28800,-0.06329,0.7663,0.08756,0.25167,-0.29705
29568,-0.07155,0.76669,0.08745,0.25298,-0.30183
30080,-0.0677,0.73497,0.09492,0.2475,-0.29693
30848,-0.05609,0.76968,0.10529,0.25193,-0.30286
31360,-0.00347,0.7642,0.17255,0.25442,-0.31074
32128,-0.01586,0.76832,0.15712,0.25178,-0.30842
32640,-0.05248,0.81239,0.11506,0.24719,-0.30892
33408,-0.02472,0.79587,0.15121,0.25054,-0.31272
33920,-0.01767,0.82085,0.15478,0.25361,-0.31564
34688,-0.00621,0.87787,0.16828,0.26674,-0.33035
35200,-0.01938,0.85859,0.14825,0.2643,-0.32329
35968,-0.08709,0.87306,0.09654,0.26109,-0.33149
36480,-0.08682,0.82728,0.09723,0.25256,-0.32172
37248,-0.08968,0.78993,0.09644,0.24892,-0.31626
37760,-0.03083,0.81872,0.15477,0.24754,-0.31891
38528,-0.06044,0.83631,0.11488,0.24591,-0.31515
39040,-0.06476,0.81852,0.09821,0.23526,-0.30143
39808,-0.07322,0.87218,0.09883,0.24659,-0.31834
40320,-0.07875,0.88898,0.10271,0.25393,-0.32882
41088,-0.04235,0.85189,0.14434,0.25305,-0.32636
41600,-0.03818,0.84786,0.14505,0.25034,-0.32277
42368,-0.03931,0.86304,0.15323,0.2592,-0.33376
42880,0.04338,0.93785,0.19414,0.26911,-0.32716
43648,-0.02161,0.85229,0.17801,0.2615,-0.3371
44160,-0.00449,0.86866,0.19141,0.26148,-0.33727
44928,-0.00916,0.86411,0.18118,0.25398,-0.33018
45440,0.02399,0.93543,0.19878,0.26843,-0.33854
46208,-0.02419,0.88334,0.17337,0.25919,-0.33879
46720,-0.01625,0.88367,0.16557,0.24744,-0.32509
47488,0.09194,1.04419,0.22464,0.26089,-0.32732
48000,-0.0633,0.94786,0.11369,0.25394,-0.33395
48768,-0.03344,1.00728,0.13478,0.26901,-0.34452
49280,-0.10107,0.9648,0.0937,0.26728,-0.35163
50048,-0.08243,0.96738,0.10692,0.2671,-0.34914
50560,-0.10167,0.95156,0.09224,0.2661,-0.34895
51328,-0.09754,0.91546,0.10729,0.26531,-0.3495
51840,-0.10115,0.96582,0.09443,0.2665,-0.35177
52608,-0.01333,0.99317,0.15457,0.26334,-0.33977
53120,-0.1021,0.93616,0.0929,0.25677,-0.3429
53888,-0.05791,0.92738,0.13888,0.25619,-0.34241
54400,-0.04175,0.92327,0.15629,0.2557,-0.34228
55168,-0.03011,0.93608,0.16501,0.25879,-0.34396
55680,-0.01258,0.9409,0.1663,0.25725,-0.33567
56448,-0.12051,0.9482,0.09059,0.26509,-0.35662
56960,-0.12558,0.93831,0.09147,0.26331,-0.35747
57728,-0.11854,0.95858,0.10898,0.26984,-0.36851
58240,-0.09547,1.04274,0.1145,0.27564,-0.37315
59008,0.03923,1.1671,0.19121,0.28823,-0.36599
59520,-0.10327,1.07476,0.09978,0.27924,-0.37549
60288,-0.09289,1.01195,0.12197,0.27172,-0.36978
60800,-0.07904,1.0347,0.12645,0.27127,-0.36772
61568,-0.07573,1.04031,0.1427,0.27787,-0.37819
62080,-0.09166,1.07632,0.12412,0.28181,-0.38334
62848,-0.12178,1.00144,0.09874,0.2711,-0.37099
63360,-0.10467,0.99544,0.10389,0.2681,-0.36276
64128,-0.08882,0.98672,0.1282,0.26341,-0.36355
64640,-0.09936,0.95651,0.11149,0.25464,-0.35231
65408,-0.05676,0.95494,0.15344,0.2581,-0.35352
65920,-0.10143,0.93268,0.11207,0.25404,-0.35035
66688,-0.13012,0.96345,0.09445,0.26106,-0.36325
67200,-0.06165,1.04143,0.14297,0.27105,-0.36801
67968,-0.10063,1.03758,0.11506,0.26951,-0.3723
68480,-0.10962,1.02314,0.10869,0.26688,-0.37049
