x,lo,mid,hi
0,0.06,0.06,4.66
1,0.06,0.06,4.78
2,0.06,0.06,4.7
3,0.06,0.06,4.78
5,0.06,0.06,4.66
6,0.06,0.24,4.96
7,0.06,0.06,4.66
8,0.06,0.06,4.7
10,0.06,0.24,4.96
11,0.06,0.24,4.78
12,0.06,0.06,4.84
13,0.06,0.06,4.8
15,0.06,0.06,4.86
16,0.06,0.24,4.78
17,0.06,0.06,4.96
18,0.06,0.06,4.78
20,0.06,0.06,4.94
21,0.06,0.06,4.66
22,0.06,0.06,4.82
23,0.06,0.06,4.82
25,0.06,0.08,4.78
26,0.06,0.06,4.84
27,0.06,0.06,4.78
28,0.06,0.06,4.7
30,0.06,0.06,4.7
31,0.06,0.06,4.84
32,0.06,0.06,4.84
33,0.06,0.06,4.72
35,0.06,0.06,4.7
36,0.06,0.06,4.96
37,0.06,0.06,4.7
38,0.06,0.06,4.7
40,0.06,0.06,4.7
41,0.06,0.06,4.82
42,0.06,0.06,4.96
43,0.06,0.06,4.78
45,0.06,0.06,4.72
46,0.06,0.06,4.78
47,0.06,0.06,4.8
48,0.06,0.06,4.82
50,0.06,0.08,4.78
51,0.06,0.06,4.94
52,0.06,0.24,4.78
53,0.06,0.06,4.7
55,0.06,0.06,4.82
56,0.06,0.06,4.9
57,0.06,0.08,4.94
58,0.06,0.06,4.78
60,0.06,0.06,4.78
61,0.06,0.06,4.7
62,0.06,0.08,4.66
63,0.06,0.06,4.78
65,0.06,0.06,4.7
66,0.06,0.06,4.96
67,0.06,0.06,4.66
68,0.06,0.06,4.92
70,0.06,0.24,4.78
71,0.06,0.06,4.82
72,0.06,0.08,5.0
73,0.06,0.06,4.66
75,0.06,0.06,4.78
76,0.06,0.06,4.84
77,0.06,0.24,4.78
78,0.06,0.06,4.96
80,0.06,0.06,4.72
81,0.06,0.06,4.7
82,0.06,0.18,4.96
83,0.06,0.06,4.66
85,0.06,0.08,4.78
86,0.06,0.06,4.7
87,0.06,0.06,4.78
88,0.06,0.06,4.9
90,0.06,0.06,4.66
91,0.06,0.06,4.78
92,0.06,0.06,4.78
93,0.06,0.06,4.94
95,0.06,0.06,4.96
96,0.06,0.06,4.78
97,0.06,0.08,4.78
98,0.06,0.24,4.96
100,0.06,0.06,4.7
101,0.06,0.08,4.66
102,0.06,0.06,4.78
103,0.06,0.06,4.82
105,0.06,0.06,4.84
106,0.06,0.06,4.78
107,0.06,0.06,4.7
108,0.06,0.06,4.7
110,0.06,0.06,4.94
111,0.06,0.06,4.7
112,0.06,0.06,4.78
113,0.06,0.06,4.7
115,0.06,0.06,4.78
116,0.06,0.18,4.78
117,0.06,0.08,4.7
118,0.06,0.06,4.78
120,0.06,0.06,4.82
121,0.06,0.18,4.78
122,0.06,0.06,4.78
123,0.06,0.06,4.82
125,0.06,0.06,4.7
126,0.06,0.06,4.78
127,0.06,0.06,4.78
128,0.06,0.06,4.82
130,0.06,0.06,4.78
131,0.06,0.06,4.7
132,0.06,0.06,4.7
133,0.06,0.06,4.66
135,0.06,0.06,4.84
136,0.06,0.08,4.78
137,0.06,0.06,4.9
138,0.06,0.08,4.7
140,0.06,0.24,4.82
141,0.06,0.06,4.7
142,0.06,0.06,4.7
143,0.06,0.06,4.66
145,0.06,0.24,4.82
146,0.06,0.06,4.78
147,0.06,0.06,4.78
148,0.06,0.06,4.92
150,0.06,0.06,4.66
151,0.06,0.06,4.78
152,0.06,0.06,4.7
153,0.06,0.08,4.7
155,0.06,0.06,4.96
156,0.06,0.06,4.82
157,0.06,0.06,4.82
158,0.06,0.06,4.94
160,0.06,0.06,4.98
161,0.06,0.06,4.7
162,0.06,0.06,4.66
163,0.06,0.06,4.9
165,0.06,0.06,4.66
166,0.06,0.06,4.78
167,0.06,0.06,4.92
168,0.06,0.08,4.94
170,0.06,0.24,4.78
171,0.06,0.06,4.66
172,0.06,0.06,4.78
173,0.06,0.06,4.94
175,0.06,0.06,4.66
176,0.06,0.06,4.78
177,0.06,0.06,4.7
178,0.06,0.06,4.66
180,0.06,0.06,4.9
181,0.06,0.06,4.78
182,0.06,0.24,4.78
183,0.06,0.06,4.78
185,0.06,0.06,4.9
186,0.06,0.06,4.7
187,0.06,0.06,4.82
188,0.06,0.06,4.7
190,0.06,0.06,4.7
191,0.06,0.24,4.9
192,0.06,0.06,4.78
193,0.06,0.06,4.78
195,0.06,0.06,4.66
196,0.06,0.06,4.78
197,0.06,0.06,4.78
198,0.06,0.06,4.72
199,0.06,0.08,4.9
