x,lo,mid,hi
0,0.06,0.06,4.82
1,0.06,0.08,5.0
2,0.0,0.06,4.96
3,0.06,4.66,5.1
4,0.06,2.32,5.0
6,0.06,0.28,5.08
7,0.0,0.06,5.0
8,0.06,2.36,5.0
9,0.06,0.06,5.0
11,0.06,2.44,5.0
12,0.06,2.46,5.18
13,0.06,4.94,5.14
14,0.06,4.7,5.08
16,0.06,4.96,5.24
17,0.06,5.02,5.44
18,0.06,5.02,5.34
19,0.06,5.08,5.34
21,2.32,4.94,5.26
22,3.36,5.18,5.88
23,3.18,5.24,5.46
24,0.06,5.0,5.24
25,3.34,5.24,5.5
27,0.0,5.0,5.54
28,3.16,5.24,5.64
29,0.06,5.32,5.64
30,3.0,5.24,5.62
32,5.04,5.56,9.02
33,5.34,5.54,9.22
34,5.3,5.56,10.58
35,4.94,5.54,8.72
37,3.14,9.4,11.16
38,5.54,10.52,11.16
39,4.72,10.58,11.12
40,3.68,9.08,10.86
42,5.72,11.14,11.46
43,6.2,10.72,11.26
44,6.24,10.72,10.84
45,6.62,10.76,11.42
47,9.72,11.14,11.28
48,11.1,11.14,11.84
49,9.3,11.16,11.98
50,9.76,11.1,11.44
51,9.7,11.3,11.62
53,9.72,11.46,12.38
54,9.7,11.78,12.1
55,10.02,11.78,12.68
56,11.26,11.78,12.5
58,11.42,11.8,12.5
59,11.42,12.0,12.86
60,11.72,12.08,12.86
61,11.8,12.36,12.82
63,11.6,12.36,12.82
64,11.76,12.78,13.18
65,12.04,12.62,12.8
66,12.0,12.62,12.8
68,11.88,12.78,13.28
69,12.06,12.8,13.26
70,12.06,12.8,13.42
71,12.04,12.8,13.52
73,12.06,12.78,14.28
74,12.12,12.9,13.98
75,12.1,12.9,14.22
76,12.16,12.9,14.4
77,12.2,12.98,14.26
79,12.18,12.9,14.18
80,12.22,12.88,14.36
81,12.18,12.98,14.76
82,12.18,12.92,14.88
84,12.18,13.0,15.02
85,12.86,13.0,14.88
86,12.86,13.0,14.94
87,12.9,13.02,15.38
89,12.84,13.48,17.26
90,12.9,14.14,17.42
91,12.78,14.28,17.08
92,12.92,14.28,17.38
94,12.9,14.16,17.26
95,12.94,14.16,17.68
96,12.94,14.28,17.48
97,13.0,14.26,17.98
99,13.5,14.26,17.4
100,13.44,14.28,18.76
101,14.02,14.28,18.84
102,14.16,14.3,21.76
103,14.14,14.3,21.72
105,14.2,14.32,21.78
106,14.28,14.36,21.76
107,14.26,15.0,21.7
108,14.28,15.0,21.86
110,14.38,14.98,21.82
111,14.68,15.02,21.82
112,14.64,14.98,21.78
113,14.4,15.0,21.88
115,14.78,15.02,21.8
116,14.94,17.26,21.9
117,14.74,17.22,21.86
118,15.02,20.82,21.86
120,15.06,20.74,21.88
121,15.92,19.3,21.84
122,16.24,21.04,21.92
123,16.32,21.08,21.9
124,16.26,21.06,21.84
126,16.32,21.7,21.9
127,16.6,21.06,21.9
128,16.28,21.76,21.92
129,15.92,21.78,21.9
131,16.98,21.78,21.9
132,17.22,21.64,21.9
133,17.18,21.78,21.88
134,17.2,21.8,21.9
136,17.2,21.76,21.92
137,17.38,21.76,21.92
138,20.76,21.8,22.0
139,20.2,21.8,21.92
141,20.68,21.82,21.92
142,20.56,21.8,21.92
143,20.74,21.82,21.92
144,20.28,21.8,21.94
146,18.82,21.84,22.3
147,20.96,21.84,22.12
148,20.74,21.88,22.14
149,21.54,21.9,22.48
150,19.16,21.88,22.36
152,15.92,21.94,22.5
153,20.72,21.98,22.54
154,20.62,22.02,22.52
155,20.9,22.4,22.58
157,21.5,22.18,22.6
158,21.56,22.44,22.62
159,21.5,22.28,22.54
160,21.5,22.52,22.62
162,17.42,22.52,22.64
163,21.74,22.3,22.64
164,17.84,22.52,22.66
165,21.1,22.5,22.66
167,18.68,22.52,22.84
168,21.54,22.54,23.22
169,20.34,22.5,23.16
170,20.58,22.62,23.24
172,19.68,22.6,23.26
173,21.02,22.5,23.22
174,19.04,22.6,23.3
175,16.44,22.62,23.28
176,19.1,22.58,23.38
178,21.06,22.62,23.34
179,19.42,22.62,23.36
180,21.76,22.64,23.36
181,21.82,22.54,23.32
183,21.7,22.6,23.5
184,21.9,22.62,23.4
185,19.6,22.62,23.44
186,20.82,22.62,23.56
188,20.16,22.66,23.6
189,22.14,22.74,23.62
190,19.64,22.8,23.6
191,21.04,22.8,23.64
193,22.06,22.94,23.72
194,21.88,22.92,23.42
195,22.2,22.9,23.38
196,22.42,22.94,23.32
197,22.74,23.18,23.54
