x,lo,mid,hi
0,0.0,0.0,0.0
2,0.0,0.0,0.006
5,0.0,0.0,0.006
7,0.0,0.0,0.006
10,0.0,0.0,0.0
12,0.0,0.0,0.006
15,0.0,0.0,0.006
17,0.0,0.0,0.0
20,0.0,0.0,0.006
22,0.0,0.0,0.0
25,0.0,0.0,0.0
27,0.0,0.0,0.006
30,0.0,0.0,0.018
32,0.0,0.0,0.0
35,0.0,0.0,0.006
37,0.0,0.0,0.006
40,0.0,0.0,0.0
42,0.0,0.0,0.003
45,0.0,0.0,1.89
47,0.0,0.0,1.89
50,0.0,0.0,0.096
52,0.0,0.0,1.941
55,0.0,0.0,0.099
57,0.0,0.0,1.974
60,0.0,0.0,1.947
62,0.0,0.0,1.953
65,0.0,0.0,2.19
67,0.0,0.0,1.917
70,0.0,0.0,3.492
72,0.0,0.0,1.947
75,0.0,0.0,1.944
77,0.0,0.0,1.95
80,0.0,0.0,1.971
82,0.0,0.0,2.229
85,0.0,0.0,2.184
87,0.0,0.0,2.238
90,0.0,0.0,1.977
92,0.0,0.0,2.181
95,0.0,0.0,3.984
97,0.0,0.0,3.999
100,0.0,0.0,3.753
102,0.0,0.0,3.579
105,0.0,0.0,4.392
107,0.0,1.893,5.466
110,0.0,1.89,5.229
112,0.0,1.89,5.397
115,1.89,1.935,5.709
117,0.0,1.941,10.236
120,0.0,1.89,11.136
122,0.0,1.89,12.288
125,0.024,1.89,14.073
127,0.024,1.896,13.272
130,1.89,1.944,14.184
132,0.0,1.944,15.054
135,1.89,1.941,15.192
137,1.89,1.923,14.088
140,1.89,1.899,14.193
142,1.89,1.905,15.024
145,1.896,1.908,15.855
147,1.89,1.899,15.765
150,1.89,1.944,15.675
152,1.896,1.941,15.129
155,1.89,1.935,15.765
157,1.89,1.965,16.206
160,1.89,1.947,16.044
162,0.0,1.95,16.005
165,1.89,1.944,14.121
167,1.89,3.567,15.801
170,1.89,1.944,15.147
172,0.0,3.615,15.684
175,1.89,3.555,16.389
177,1.89,4.299,16.347
180,0.0,5.319,16.206
182,1.89,5.538,16.056
185,0.0,5.619,15.831
187,1.89,5.592,16.398
190,1.89,5.637,15.96
192,0.006,5.664,16.467
195,0.0,11.298,16.221
197,1.89,12.258,16.353
200,1.89,11.367,16.836
202,1.89,12.444,16.86
205,1.89,13.218,16.623
207,1.89,14.016,16.803
210,1.89,13.947,16.791
212,1.89,13.386,16.536
215,1.89,14.835,16.824
217,0.72,15.315,16.749
220,1.89,15.468,16.965
222,1.89,15.543,17.046
225,1.89,14.562,16.899
227,0.0,15.543,17.088
230,0.0,14.976,16.461
232,0.0,16.029,17.139
235,0.0,15.306,16.773
237,1.89,14.781,17.148
240,1.89,14.571,17.229
242,1.89,15.468,16.887
245,1.89,15.063,16.983
247,1.89,15.66,17.466
250,1.89,15.27,17.247
252,1.89,15.084,17.373
255,0.0,15.336,17.223
257,0.0,15.777,17.418
260,1.89,15.459,16.827
262,1.89,15.408,17.154
265,1.89,15.102,17.28
267,1.89,15.855,17.34
270,1.89,15.828,17.424
272,1.89,16.047,17.151
275,1.89,15.711,17.367
277,1.89,15.978,17.238
280,1.89,16.038,17.172
282,1.902,15.576,17.289
285,1.905,16.176,17.532
287,3.573,16.215,17.241
290,3.573,15.897,17.064
292,3.579,16.041,17.544
295,3.579,15.795,17.55
297,3.579,16.491,17.571
300,3.594,16.053,17.649
302,3.669,16.29,17.343
305,3.954,16.203,17.496
307,3.954,16.476,17.559
310,5.436,16.467,17.289
312,5.244,16.566,17.34
315,5.217,16.338,17.295
317,5.466,16.692,17.328
320,5.235,16.695,17.376
322,5.256,16.455,17.442
325,5.223,16.365,17.505
327,5.091,16.254,17.562
330,5.532,16.662,17.472
332,11.4,16.752,17.331
335,11.343,16.623,17.301
337,11.256,16.491,17.331
340,12.651,16.692,17.364
342,11.877,16.725,17.238
345,12.837,16.665,17.475
347,12.858,15.621,17.256
350,12.9,16.611,17.556
352,13.662,16.992,17.589
355,13.143,16.968,17.688
357,13.935,16.689,17.4
360,14.07,16.131,17.538
362,14.478,16.818,17.499
365,14.328,16.578,17.406
367,14.379,16.287,17.409
370,14.664,16.722,17.541
372,14.745,16.428,17.367
375,14.355,16.398,17.565
377,14.154,16.302,17.553
380,14.88,16.602,17.223
382,13.632,16.482,17.289
385,14.658,16.998,17.574
387,14.58,16.812,17.628
390,14.754,16.95,17.49
392,14.685,16.821,17.523
395,15.255,16.749,17.364
397,14.811,16.884,17.409
399,14.895,16.821,17.367
