x,lo,mid,hi
0,0.0,0.0,0.42
2,0.0,0.0,0.42
5,0.0,0.0,0.42
7,0.0,0.0,0.42
10,0.0,0.0,0.42
12,0.0,0.42,0.42
15,0.0,0.42,0.42
17,0.0,0.0,0.42
20,0.0,0.42,0.42
22,0.0,0.42,4.06
25,0.0,0.0,4.13
27,0.0,0.42,3.99
30,0.0,0.42,4.06
32,0.0,0.42,4.06
35,0.0,0.42,4.2
37,0.0,3.78,4.27
40,0.0,3.78,4.06
42,0.0,3.78,4.41
45,0.0,3.71,4.13
47,0.0,3.92,4.69
50,2.24,3.99,4.83
52,3.5,3.99,4.76
55,3.5,3.99,4.9
57,0.7,4.13,4.9
60,3.5,4.06,5.04
62,3.57,4.06,5.11
65,3.78,4.27,5.04
67,3.57,4.27,5.04
70,3.71,4.34,4.97
72,3.71,4.41,5.11
75,3.71,4.41,5.25
77,3.78,4.48,5.32
80,3.78,4.62,5.25
82,4.41,4.83,5.25
85,4.41,5.04,5.25
87,4.62,4.97,5.32
90,4.55,4.97,5.32
92,4.48,5.04,5.32
95,4.76,5.18,5.46
97,4.83,5.18,5.32
100,4.97,5.18,5.46
102,4.76,5.18,5.46
105,4.97,5.18,5.46
107,4.83,5.18,5.46
110,5.04,5.32,5.46
112,4.97,5.32,5.46
115,5.11,5.32,5.46
117,5.04,5.32,5.53
120,4.97,5.25,5.53
122,5.04,5.39,5.53
125,5.04,5.39,5.6
127,5.11,5.39,5.6
130,5.11,5.39,5.6
132,5.04,5.32,5.53
135,4.97,5.32,5.6
137,5.18,5.39,5.6
140,5.18,5.46,5.6
142,5.11,5.53,5.6
145,5.25,5.46,5.6
147,5.25,5.53,5.74
150,5.25,5.53,5.74
152,5.18,5.46,5.67
155,5.25,5.53,5.74
157,5.25,5.53,5.81
160,5.18,5.6,5.81
162,5.25,5.6,5.81
165,5.32,5.6,5.81
167,5.25,5.67,5.88
170,5.32,5.67,5.81
172,5.32,5.67,5.88
175,5.32,5.74,5.81
177,5.39,5.67,5.81
180,5.46,5.74,5.88
182,5.39,5.74,5.88
185,5.32,5.74,5.88
187,5.53,5.74,5.88
190,5.46,5.67,5.88
192,5.32,5.81,5.88
195,5.46,5.74,5.88
197,5.39,5.74,5.95
200,5.53,5.81,5.95
202,5.25,5.81,6.02
205,5.39,5.81,5.95
207,5.39,5.81,5.95
210,5.46,5.81,5.95
212,5.46,5.88,5.95
215,5.39,5.81,5.95
217,5.53,5.81,5.95
220,5.46,5.88,5.95
222,5.46,5.88,5.95
225,5.39,5.88,5.95
227,5.46,5.81,5.95
230,5.39,5.81,5.95
232,5.46,5.81,5.95
235,5.46,5.81,5.95
237,5.6,5.81,6.02
240,5.46,5.88,5.95
242,5.46,5.88,6.02
245,5.39,5.81,5.95
247,5.53,5.81,6.02
250,5.46,5.88,6.02
252,5.53,5.88,6.02
255,5.53,5.81,6.02
257,5.46,5.88,6.02
260,5.6,5.88,6.02
262,5.6,5.88,6.02
265,5.53,5.81,5.95
267,5.53,5.88,6.02
270,5.53,5.88,6.02
272,5.53,5.81,6.02
275,5.6,5.95,6.16
277,5.6,5.88,6.09
280,5.6,5.88,6.02
282,5.6,5.88,6.02
285,5.6,5.88,6.02
287,5.53,5.88,6.02
290,5.53,5.88,6.09
292,5.6,5.88,6.02
295,5.67,5.88,6.09
297,5.6,5.95,6.16
300,5.6,5.95,6.16
302,5.6,5.95,6.16
305,5.6,5.95,6.09
307,5.67,5.88,6.09
310,5.6,5.95,6.16
312,5.67,5.95,6.09
315,5.6,5.88,6.09
317,5.67,6.02,6.16
320,5.67,5.95,6.09
322,5.67,5.95,6.09
325,5.6,5.95,6.09
327,5.67,5.95,6.16
330,5.74,6.02,6.23
332,5.67,5.95,6.16
335,5.81,5.95,6.16
337,5.81,6.02,6.16
340,5.67,5.95,6.09
342,5.67,5.95,6.09
345,5.74,6.02,6.16
347,5.74,5.95,6.16
350,5.67,5.88,6.16
352,5.74,6.02,6.23
355,5.74,6.02,6.23
357,5.74,5.95,6.16
360,5.74,5.95,6.16
362,5.81,6.02,6.23
365,5.74,6.02,6.16
367,5.81,5.95,6.16
370,5.81,6.02,6.23
372,5.67,6.09,6.23
375,5.81,6.02,6.16
377,5.74,6.02,6.23
380,5.81,6.02,6.23
382,5.74,5.95,6.16
385,5.81,6.02,6.16
387,5.81,5.95,6.16
390,5.67,6.09,6.23
392,5.81,6.02,6.16
395,5.88,6.02,6.16
397,5.81,6.02,6.16
399,5.88,6.09,6.23
