x,lo,mid,hi
1,0.0,0.0,0.0
66,0.00418,0.00426,0.00426
131,0.0922,0.17147,0.17147
196,0.18107,0.18384,0.18384
261,0.18524,0.18723,0.18723
391,0.18942,0.19204,0.19204
456,0.19204,0.19359,0.19359
521,0.19204,0.19499,0.19499
586,0.19291,0.19499,0.19499
651,0.19638,0.19716,0.19716
781,0.1989,0.20056,0.20056
846,0.20439,0.20474,0.20474
911,0.20891,0.21811,0.21811
976,0.2117,0.21811,0.21811
1041,0.21588,0.22359,0.22359
1171,0.22553,0.24417,0.24417
1236,0.23404,0.2524,0.2524
1301,0.24255,0.26475,0.26475
1366,0.24681,0.26934,0.26934
1431,0.25248,0.27846,0.27846
1561,0.25816,0.28258,0.28258
1626,0.27801,0.28532,0.28532
1691,0.28369,0.29904,0.29904
1756,0.28936,0.31089,0.31089
1821,0.2922,0.31089,0.31089
1951,0.31915,0.32092,0.32092
2016,0.32235,0.33901,0.33901
2081,0.32235,0.34568,0.34568
2146,0.33381,0.34705,0.34705
2211,0.3467,0.34979,0.34979
2341,0.3639,0.36763,0.36763
2406,0.36676,0.369,0.369
2471,0.3786,0.43872,0.43872
2536,0.41691,0.45543,0.45543
2666,0.4255,0.46379,0.46379
2731,0.47599,0.47911,0.47911
2796,0.48011,0.48227,0.48227
2861,0.48148,0.48652,0.48652
2926,0.4856,0.48886,0.48886
3056,0.49582,0.49713,0.49713
3121,0.50069,0.50418,0.50418
3186,0.50418,0.50617,0.50617
3251,0.50557,0.51166,0.51166
3316,0.50557,0.51303,0.51303
3446,0.51393,0.52401,0.52401
3511,0.51671,0.53498,0.53498
3576,0.51811,0.53909,0.53909
3641,0.52646,0.54184,0.54184
3706,0.54321,0.54596,0.54596
3836,0.54595,0.56267,0.56267
3901,0.54595,0.57242,0.57242
3966,0.55418,0.57799,0.57799
4031,0.55418,0.58357,0.58357
4096,0.55444,0.58635,0.58635
4226,0.55556,0.59331,0.59331
4291,0.55693,0.59471,0.59471
4356,0.55874,0.5961,0.5961
4421,0.56447,0.59889,0.59889
4486,0.56447,0.60167,0.60167
4616,0.57163,0.60446,0.60446
4681,0.57163,0.60724,0.60724
4746,0.57307,0.60864,0.60864
4811,0.57307,0.61003,0.61003
4876,0.57593,0.61142,0.61142
5006,0.5775,0.6156,0.6156
5071,0.58985,0.61699,0.61699
5136,0.60082,0.61838,0.61838
5201,0.60357,0.62117,0.62117
5331,0.61591,0.62256,0.62256
5396,0.62003,0.62396,0.62396
5461,0.62277,0.62396,0.62396
5526,0.62535,0.62551,0.62551
5591,0.62535,0.62689,0.62689
5721,0.62535,0.63237,0.63237
5786,0.63231,0.63512,0.63512
5851,0.63512,0.63649,0.63649
5916,0.63649,0.63649,0.63649
5981,0.63786,0.63788,0.63788
6111,0.6406,0.64763,0.64763
6176,0.64198,0.65181,0.65181
6241,0.65738,0.65981,0.65981
6306,0.65877,0.65981,0.65981
6371,0.65877,0.66255,0.66255
6501,0.66529,0.66992,0.66992
6566,0.66529,0.67409,0.67409
6631,0.66529,0.67688,0.67688
6696,0.66667,0.68106,0.68106
6761,0.66804,0.68245,0.68245
6891,0.67078,0.68384,0.68384
6956,0.67353,0.68663,0.68663
7021,0.68176,0.68942,0.68942
7086,0.68911,0.69499,0.69499
7151,0.69341,0.69638,0.69638
7281,0.69914,0.70474,0.70474
7346,0.70201,0.70752,0.70752
7411,0.70782,0.71448,0.71448
7476,0.71056,0.71588,0.71588
7606,0.71879,0.76462,0.76462
7671,0.75171,0.81337,0.81337
7736,0.78464,0.8844,0.8844
7801,0.79973,0.89276,0.89276
7866,0.81481,0.90251,0.90251
7996,0.82167,0.90947,0.90947
8061,0.82579,0.91365,0.91365
8126,0.82853,0.91643,0.91643
8191,0.83265,0.92061,0.92061
8256,0.84774,0.92201,0.92201
8386,0.84911,0.92758,0.92758
8451,0.86557,0.93315,0.93315
8516,0.87106,0.93454,0.93454
8581,0.89255,0.93593,0.93593
8646,0.90401,0.93733,0.93733
8776,0.94011,0.94986,0.94986
8841,0.94011,0.95415,0.95415
8906,0.94011,0.95415,0.95415
8971,0.9415,0.95415,0.95415
9036,0.94429,0.95559,0.95559
9166,0.94568,0.95702,0.95702
9231,0.94708,0.95702,0.95702
9296,0.94847,0.95845,0.95845
9361,0.94986,0.95989,0.95989
9426,0.94986,0.96132,0.96132
9556,0.95125,0.96562,0.96562
9621,0.95404,0.96705,0.96705
9686,0.95404,0.96848,0.96848
9751,0.95473,0.96848,0.96848
9816,0.96159,0.97135,0.97135
9946,0.96708,0.97278,0.97278
10011,0.96845,0.97421,0.97421
10076,0.96845,0.97421,0.97421
10141,0.97119,0.97564,0.97564
10271,0.97394,0.97708,0.97708
10336,0.97394,0.97708,0.97708
10401,0.97531,0.97708,0.97708
10466,0.97668,0.97994,0.97994
10531,0.97805,0.97994,0.97994
10661,0.97994,0.9808,0.9808
10726,0.97994,0.9808,0.9808
10791,0.9808,0.98138,0.98138
10856,0.9808,0.98138,0.98138
10921,0.98138,0.98217,0.98217
11051,0.98217,0.98281,0.98281
11116,0.98354,0.98424,0.98424
11181,0.98424,0.98491,0.98491
11246,0.98424,0.98865,0.98865
11311,0.98567,0.98865,0.98865
11441,0.98711,0.99007,0.99007
11506,0.98854,0.9904,0.9904
11571,0.98854,0.99149,0.99149
11636,0.98997,0.99177,0.99177
11701,0.98997,0.99291,0.99291
11831,0.99284,0.99291,0.99291
11896,0.99284,0.99433,0.99433
11961,0.99284,0.99433,0.99433
12026,0.99427,0.99433,0.99433
12091,0.99427,0.99574,0.99574
12221,0.99574,0.99713,0.99713
12286,0.99574,0.99713,0.99713
12351,0.99713,0.99716,0.99716
12416,0.99716,0.99857,0.99857
12481,1.0,1.0,1.0
