x,lo,mid,hi
1,0.0,0.0,0.0
131,0.0,0.0,0.0
326,0.00052,0.00055,0.00055
456,0.00052,0.00055,0.00055
651,0.00055,0.00078,0.00078
781,0.00078,0.00082,0.00082
976,0.00082,0.00103,0.00103
1106,0.00129,0.00136,0.00136
1301,0.00129,0.00136,0.00136
1431,0.00129,0.00136,0.00136
1626,0.00129,0.00136,0.00136
1756,0.00129,0.00136,0.00136
1951,0.00155,0.00164,0.00164
2081,0.00164,0.00181,0.00181
2276,0.00164,0.00181,0.00181
2406,0.00164,0.00181,0.00181
2601,0.00164,0.00181,0.00181
2731,0.00164,0.00207,0.00207
2926,0.00191,0.00207,0.00207
3056,0.00191,0.00259,0.00259
3251,0.00218,0.00285,0.00285
3381,0.00218,0.00285,0.00285
3576,0.00245,0.00285,0.00285
3706,0.00273,0.00751,0.00751
3901,0.00273,0.00803,0.00803
4031,0.00273,0.00803,0.00803
4226,0.00273,0.00803,0.00803
4356,0.0031,0.00829,0.00829
4551,0.00776,0.00829,0.00829
4681,0.00828,0.00829,0.00829
4876,0.00828,0.00854,0.00854
5006,0.00854,0.00872,0.00872
5201,0.00854,0.00899,0.00899
5331,0.00854,0.00927,0.00927
5526,0.00854,0.00927,0.00927
5656,0.00854,0.00927,0.00927
5851,0.00854,0.00927,0.00927
5981,0.00854,0.00927,0.00927
6176,0.0088,0.00954,0.00954
6306,0.0088,0.00954,0.00954
6501,0.00954,0.08409,0.08409
6631,0.00954,0.08616,0.08616
6826,0.08776,0.08823,0.08823
6956,0.08849,0.09158,0.09158
7151,0.08926,0.09267,0.09267
7281,0.09107,0.09321,0.09321
7476,0.09133,0.09403,0.09403
7606,0.09567,0.10357,0.10357
7801,0.09594,0.10461,0.10461
7931,0.09594,0.10461,0.10461
8126,0.09785,0.10487,0.10487
8256,0.16223,0.16735,0.16735
8451,0.16753,0.17116,0.17116
8581,0.16882,0.17171,0.17171
8776,0.17038,0.17362,0.17362
8906,0.17167,0.17471,0.17471
9101,0.17309,0.1758,0.1758
9231,0.17387,0.17607,0.17607
9426,0.17568,0.17634,0.17634
9556,0.17659,0.17749,0.17749
9751,0.17852,0.17878,0.17878
9881,0.1793,0.18043,0.18043
10076,0.18318,0.1837,0.1837
10206,0.18425,0.18473,0.18473
10401,0.18561,0.18887,0.18887
10531,0.18615,0.19017,0.19017
10726,0.18747,0.19301,0.19301
10856,0.19135,0.19483,0.19483
11051,0.19291,0.20828,0.20828
11181,0.19368,0.21138,0.21138
11376,0.19912,0.21837,0.21837
11506,0.20093,0.22225,0.22225
11701,0.20171,0.27865,0.27865
11831,0.21129,0.29728,0.29728
12026,0.21491,0.30918,0.30918
12156,0.21983,0.31721,0.31721
12351,0.26955,0.32083,0.32083
12481,0.27525,0.33402,0.33402
12676,0.2869,0.6031,0.6031
12806,0.28742,0.63131,0.63131
13001,0.29492,0.65252,0.65252
13196,0.31227,0.67245,0.67245
13326,0.31564,0.69237,0.69237
13521,0.5536,0.75084,0.75084
13651,0.57095,0.78215,0.78215
13846,0.58597,0.79741,0.79741
13976,0.59632,0.8075,0.8075
14171,0.616,0.83364,0.83364
