x,lo,mid,hi
1,0.0,0.0,0.0
131,0.03636,0.03704,0.03704
326,0.03704,0.03704,0.03704
456,0.05556,0.05556,0.05556
651,0.09091,0.09259,0.09259
781,0.09091,0.09259,0.09259
976,0.09091,0.09259,0.09259
1106,0.09091,0.09259,0.09259
1301,0.09091,0.09259,0.09259
1431,0.09091,0.09259,0.09259
1626,0.09259,0.10909,0.10909
1756,0.10909,0.11111,0.11111
1951,0.10909,0.11111,0.11111
2081,0.10909,0.11111,0.11111
2276,0.10909,0.14815,0.14815
2406,0.10909,0.61111,0.61111
2601,0.16364,0.7037,0.7037
2731,0.54545,0.72222,0.72222
2926,0.56364,0.75926,0.75926
3056,0.6,0.77778,0.77778
3251,0.69091,0.77778,0.77778
3381,0.72727,0.7963,0.7963
3576,0.74545,0.81481,0.81481
3706,0.74545,0.81481,0.81481
3901,0.78182,0.83333,0.83333
4031,0.8,0.83333,0.83333
4226,0.8,0.83333,0.83333
4356,0.81818,0.83333,0.83333
4551,0.81818,0.85185,0.85185
4681,0.81818,0.85185,0.85185
4876,0.81818,0.85185,0.85185
5006,0.81818,0.85185,0.85185
5201,0.81818,0.87037,0.87037
5331,0.83636,0.87037,0.87037
5526,0.83636,0.87037,0.87037
5656,0.85455,0.87037,0.87037
5851,0.85455,0.87037,0.87037
5981,0.85455,0.87037,0.87037
6176,0.87273,0.88889,0.88889
6306,0.87273,0.88889,0.88889
6501,0.87273,0.90741,0.90741
6631,0.89091,0.90741,0.90741
6826,0.89091,0.90741,0.90741
6956,0.89091,0.90741,0.90741
7151,0.89091,0.92593,0.92593
7281,0.90909,0.92593,0.92593
7476,0.92593,0.92727,0.92727
7606,0.92593,0.92727,0.92727
7801,0.92727,0.94444,0.94444
7931,0.92727,0.94444,0.94444
8126,0.94444,0.94545,0.94545
8256,0.94444,0.94545,0.94545
8451,0.94444,0.94545,0.94545
8581,0.94444,0.94545,0.94545
8776,0.94444,0.94545,0.94545
8906,0.94444,0.96364,0.96364
9101,0.94444,0.96364,0.96364
9231,0.94444,0.96364,0.96364
9426,0.94545,0.96364,0.96364
9556,0.94545,0.96364,0.96364
9751,0.94545,0.98148,0.98148
9881,0.94545,0.98148,0.98148
10076,0.96296,0.98148,0.98148
10206,0.96296,0.98148,0.98148
10401,0.96364,0.98148,0.98148
10531,0.98148,0.98148,0.98148
10726,0.98148,0.98148,0.98148
10856,0.98148,0.98148,0.98148
11051,0.98148,0.98148,0.98148
11181,0.98148,0.98148,0.98148
11376,0.98148,0.98148,0.98148
11506,0.98148,0.98148,0.98148
11701,0.98148,0.98148,0.98148
11831,0.98148,0.98182,0.98182
12026,0.98148,0.98182,0.98182
12156,0.98148,0.98182,0.98182
12351,0.98148,0.98182,0.98182
12481,0.98148,0.98182,0.98182
12676,0.98148,0.98182,0.98182
12806,0.98148,0.98182,0.98182
13001,0.98148,0.98182,0.98182
13196,0.98182,0.98182,0.98182
13326,0.98182,0.98182,0.98182
13521,0.98182,0.98182,0.98182
13651,0.98182,0.98182,0.98182
13846,0.98182,0.98182,0.98182
13976,0.98182,0.98182,0.98182
14171,0.98182,1.0,1.0
14301,0.98182,1.0,1.0
14496,1.0,1.0,1.0
14626,1.0,1.0,1.0
14821,1.0,1.0,1.0
14951,1.0,1.0,1.0
15146,1.0,1.0,1.0
15276,1.0,1.0,1.0
15471,1.0,1.0,1.0
15601,1.0,1.0,1.0
15796,1.0,1.0,1.0
15926,1.0,1.0,1.0
16121,1.0,1.0,1.0
16251,1.0,1.0,1.0
16446,1.0,1.0,1.0
16576,1.0,1.0,1.0
16771,1.0,1.0,1.0
16901,1.0,1.0,1.0
17096,1.0,1.0,1.0
17226,1.0,1.0,1.0
17421,1.0,1.0,1.0
17551,1.0,1.0,1.0
17746,1.0,1.0,1.0
17876,1.0,1.0,1.0
18071,1.0,1.0,1.0
18201,1.0,1.0,1.0
18396,1.0,1.0,1.0
18526,1.0,1.0,1.0
18721,1.0,1.0,1.0
18851,1.0,1.0,1.0
19046,1.0,1.0,1.0
19176,1.0,1.0,1.0
19371,1.0,1.0,1.0
19501,1.0,1.0,1.0
19696,1.0,1.0,1.0
19826,1.0,1.0,1.0
20021,1.0,1.0,1.0
20151,1.0,1.0,1.0
20346,1.0,1.0,1.0
20476,1.0,1.0,1.0
20671,1.0,1.0,1.0
20801,1.0,1.0,1.0
20996,1.0,1.0,1.0
21126,1.0,1.0,1.0
21321,1.0,1.0,1.0
21451,1.0,1.0,1.0
21646,1.0,1.0,1.0
21776,1.0,1.0,1.0
21971,1.0,1.0,1.0
22101,1.0,1.0,1.0
22296,1.0,1.0,1.0
22426,1.0,1.0,1.0
22621,1.0,1.0,1.0
22751,1.0,1.0,1.0
22946,1.0,1.0,1.0
23076,1.0,1.0,1.0
23271,1.0,1.0,1.0
23401,1.0,1.0,1.0
23596,1.0,1.0,1.0
23726,1.0,1.0,1.0
23921,1.0,1.0,1.0
24051,1.0,1.0,1.0
24246,1.0,1.0,1.0
24376,1.0,1.0,1.0
24571,1.0,1.0,1.0
24701,1.0,1.0,1.0
24896,1.0,1.0,1.0
25026,1.0,1.0,1.0
25221,1.0,1.0,1.0
25351,1.0,1.0,1.0
25546,1.0,1.0,1.0
25676,1.0,1.0,1.0
25871,1.0,1.0,1.0
26001,1.0,1.0,1.0
