x,lo,mid,hi
0.0,0.08508,0.0885,0.0885
0.00524,0.06274,0.09155,0.09155
0.01047,0.08032,0.09094,0.09094
0.01571,0.07129,0.07166,0.07166
0.02094,0.08191,0.09631,0.09631
0.03141,0.05615,0.08936,0.08936
0.03665,0.08411,0.0885,0.0885
0.04188,0.07458,0.08447,0.08447
0.04712,0.08179,0.09021,0.09021
0.05236,0.08105,0.08508,0.08508
0.06283,0.07141,0.68298,0.68298
0.06806,0.08655,0.12207,0.12207
0.0733,0.07812,0.09644,0.09644
0.07853,0.07312,0.09497,0.09497
0.08377,0.08215,0.12329,0.12329
0.09424,0.12439,0.21704,0.21704
0.09948,0.07861,0.12354,0.12354
0.10471,0.0531,0.23962,0.23962
0.10995,0.14612,0.15576,0.15576
0.11518,0.41467,0.50659,0.50659
0.12565,0.01575,0.10413,0.10413
0.13089,0.1875,0.1936,0.1936
0.13613,0.08911,0.2561,0.2561
0.14136,0.02197,0.32544,0.32544
0.1466,0.30957,0.60571,0.60571
0.15707,0.38184,0.47095,0.47095
0.1623,0.20557,0.70825,0.70825
0.16754,0.24329,0.44714,0.44714
0.17277,0.43689,0.52563,0.52563
0.17801,0.68945,0.82544,0.82544
0.18848,0.47852,0.58887,0.58887
0.19372,0.70862,0.87805,0.87805
0.19895,0.89331,0.89563,0.89563
0.20419,0.82935,0.89954,0.89954
0.20942,0.67017,0.88611,0.88611
0.2199,0.87915,0.90015,0.90015
0.22513,0.88403,0.88721,0.88721
0.23037,0.81653,0.87793,0.87793
0.2356,0.79407,0.80554,0.80554
0.24084,0.85828,0.90381,0.90381
0.25131,0.87488,0.8866,0.8866
0.25654,0.80603,0.88025,0.88025
0.26178,0.854,0.89221,0.89221
0.26702,0.8645,0.8656,0.8656
0.27225,0.86963,0.87964,0.87964
0.28272,0.7616,0.89026,0.89026
0.28796,0.84729,0.8916,0.8916
0.29319,0.83289,0.87427,0.87427
0.29843,0.82239,0.89331,0.89331
0.30366,0.82446,0.84509,0.84509
0.31414,0.87317,0.87329,0.87329
0.31937,0.74695,0.78589,0.78589
0.32461,0.82605,0.87305,0.87305
0.32984,0.82251,0.84229,0.84229
0.33508,0.77625,0.89331,0.89331
0.34555,0.85938,0.88391,0.88391
0.35079,0.69043,0.72107,0.72107
0.35602,0.62451,0.68921,0.68921
0.36126,0.67761,0.74939,0.74939
0.36649,0.69312,0.86987,0.86987
0.37696,0.65466,0.87646,0.87646
0.3822,0.66711,0.75269,0.75269
