x,lo,mid,hi
0.0,0.05347,0.05408,0.05408
0.00501,0.05103,0.05615,0.05615
0.01253,0.04749,0.0509,0.0509
0.01754,0.052,0.05286,0.05286
0.02506,0.05151,0.05176,0.05176
0.03008,0.0415,0.0564,0.0564
0.03759,0.04761,0.05029,0.05029
0.04261,0.04504,0.04517,0.04517
0.05013,0.04431,0.05481,0.05481
0.05514,0.03345,0.04968,0.04968
0.06266,0.02917,0.05457,0.05457
0.06767,0.03857,0.05432,0.05432
0.07519,0.03162,0.05261,0.05261
0.0802,0.03394,0.05408,0.05408
0.08772,0.0343,0.05457,0.05457
0.09273,0.0321,0.05811,0.05811
0.10025,0.0365,0.04541,0.04541
0.10526,0.0321,0.05518,0.05518
0.11278,0.03528,0.04395,0.04395
0.11779,0.03174,0.05566,0.05566
0.12531,0.02698,0.03564,0.03564
0.13033,0.04163,0.05273,0.05273
0.13784,0.04053,0.05212,0.05212
0.14286,0.04614,0.06396,0.06396
0.15038,0.05127,0.06177,0.06177
0.15539,0.04895,0.05103,0.05103
0.16291,0.03857,0.06079,0.06079
0.16792,0.04004,0.05139,0.05139
0.17544,0.03943,0.05469,0.05469
0.18045,0.03455,0.0448,0.0448
0.18797,0.03662,0.05701,0.05701
0.19298,0.03149,0.05432,0.05432
0.2005,0.04333,0.04431,0.04431
0.20551,0.03357,0.09888,0.09888
0.21303,0.03333,0.06445,0.06445
0.21805,0.02893,0.05725,0.05725
0.22556,0.02881,0.05493,0.05493
0.23058,0.05261,0.05286,0.05286
0.2381,0.03674,0.04321,0.04321
0.24311,0.03625,0.04346,0.04346
0.25063,0.10559,0.2738,0.2738
0.25564,0.14673,0.52332,0.52332
0.26316,0.63672,0.6615,0.6615
0.26817,0.53809,0.55042,0.55042
0.27569,0.70764,0.71204,0.71204
0.2807,0.45288,0.63721,0.63721
0.28822,0.1405,0.40857,0.40857
0.29323,0.4668,0.60522,0.60522
0.30075,0.66882,0.70776,0.70776
