x,lo,mid,hi
0.0,0.02747,0.02979,0.02979
0.00501,0.02527,0.02686,0.02686
0.01253,0.02136,0.02747,0.02747
0.01754,0.02002,0.02893,0.02893
0.02506,0.02759,0.04272,0.04272
0.03008,0.02258,0.02344,0.02344
0.03759,0.0271,0.04443,0.04443
0.04261,0.01917,0.06653,0.06653
0.05013,0.01746,0.0249,0.0249
0.05514,0.03223,0.07129,0.07129
0.06266,0.0271,0.05627,0.05627
0.06767,0.0155,0.06885,0.06885
0.07519,0.01587,0.09363,0.09363
0.0802,0.01917,0.07495,0.07495
0.08772,0.02014,0.02673,0.02673
0.09273,0.07458,0.25281,0.25281
0.10025,0.05835,0.18909,0.18909
0.10526,0.03455,0.29333,0.29333
0.11278,0.04614,0.7323,0.7323
0.11779,0.17627,0.2793,0.2793
0.12531,0.41711,0.59241,0.59241
0.13033,0.26013,0.59204,0.59204
0.13784,0.40491,0.65149,0.65149
0.14286,0.38293,0.65027,0.65027
0.15038,0.54419,0.6543,0.6543
0.15539,0.66394,0.69507,0.69507
0.16291,0.32458,0.48145,0.48145
0.16792,0.56116,0.59814,0.59814
0.17544,0.23083,0.48792,0.48792
0.18045,0.53137,0.57043,0.57043
0.18797,0.4751,0.4834,0.4834
0.19298,0.46667,0.60901,0.60901
0.2005,0.36755,0.52319,0.52319
0.20551,0.51172,0.55054,0.55054
0.21303,0.51794,0.55725,0.55725
0.21805,0.47827,0.4812,0.4812
0.22556,0.44568,0.58386,0.58386
0.23058,0.44067,0.55237,0.55237
0.2381,0.45398,0.57983,0.57983
0.24311,0.42993,0.59534,0.59534
0.25063,0.46472,0.54395,0.54395
0.25564,0.49646,0.57275,0.57275
0.26316,0.47803,0.57056,0.57056
0.26817,0.47705,0.52722,0.52722
0.27569,0.41431,0.49023,0.49023
0.2807,0.42212,0.4635,0.4635
0.28822,0.3894,0.40112,0.40112
0.29323,0.35681,0.42273,0.42273
0.30075,0.34631,0.44348,0.44348
0.30576,0.37378,0.39722,0.39722
0.31328,0.40063,0.43884,0.43884
0.3183,0.35071,0.42493,0.42493
0.32581,0.37122,0.38867,0.38867
0.33083,0.29053,0.39038,0.39038
0.33835,0.39795,0.43958,0.43958
0.34336,0.39844,0.41992,0.41992
0.35088,0.33997,0.39587,0.39587
0.35589,0.37109,0.38916,0.38916
0.36341,0.31555,0.35144,0.35144
0.36842,0.4054,0.41907,0.41907
0.37594,0.32654,0.34558,0.34558
0.38095,0.2854,0.40112,0.40112
0.38847,0.37366,0.39185,0.39185
0.39348,0.29688,0.38965,0.38965
0.401,0.3512,0.3562,0.3562
0.40602,0.36743,0.40381,0.40381
0.41353,0.32324,0.35901,0.35901
0.41855,0.34241,0.34583,0.34583
0.42607,0.35266,0.37,0.37
0.43108,0.35217,0.3645,0.3645
0.4386,0.34436,0.37903,0.37903
0.44361,0.35974,0.36548,0.36548
0.45113,0.36829,0.37634,0.37634
0.45614,0.33765,0.34082,0.34082
0.46366,0.36487,0.38269,0.38269
0.46867,0.31262,0.31897,0.31897
0.47619,0.34558,0.36206,0.36206
0.4812,0.32556,0.36548,0.36548
0.48872,0.3739,0.38086,0.38086
0.49373,0.32043,0.38062,0.38062
0.50125,0.34265,0.36206,0.36206
0.50627,0.31177,0.33984,0.33984
0.51378,0.34595,0.38074,0.38074
0.5188,0.31116,0.34119,0.34119
0.52632,0.32654,0.38867,0.38867
0.53133,0.33679,0.34607,0.34607
0.53885,0.32617,0.33337,0.33337
0.54386,0.34473,0.35486,0.35486
0.55138,0.32227,0.3324,0.3324
0.55639,0.34973,0.37561,0.37561
0.56391,0.31396,0.32068,0.32068
0.56892,0.33447,0.34607,0.34607
0.57644,0.35242,0.35925,0.35925
0.58145,0.32629,0.3866,0.3866
0.58897,0.32385,0.38538,0.38538
0.59398,0.31433,0.38831,0.38831
0.6015,0.36133,0.38269,0.38269
0.60652,0.34766,0.354,0.354
0.61404,0.33826,0.34216,0.34216
0.61905,0.33362,0.34937,0.34937
0.62657,0.32227,0.37769,0.37769
0.63158,0.34094,0.37561,0.37561
0.6391,0.33118,0.37842,0.37842
0.64411,0.33252,0.33362,0.33362
0.65163,0.35815,0.36047,0.36047
0.65664,0.35669,0.36792,0.36792
0.66416,0.28967,0.36755,0.36755
0.66917,0.34839,0.35242,0.35242
0.67669,0.34351,0.35144,0.35144
0.6817,0.32629,0.36462,0.36462
0.68922,0.33105,0.3634,0.3634
0.69424,0.36414,0.38477,0.38477
0.70175,0.3512,0.35168,0.35168
0.70677,0.32043,0.3512,0.3512
0.71429,0.29333,0.33545,0.33545
0.7193,0.33301,0.33691,0.33691
0.72682,0.3064,0.32617,0.32617
0.73183,0.32947,0.35339,0.35339
0.73935,0.32825,0.36084,0.36084
0.74436,0.31921,0.33447,0.33447
0.75188,0.33813,0.34729,0.34729
0.75689,0.32678,0.32812,0.32812
0.76441,0.34839,0.35315,0.35315
0.76942,0.33057,0.35486,0.35486
0.77694,0.33691,0.36499,0.36499
0.78195,0.32983,0.3446,0.3446
0.78947,0.33069,0.35303,0.35303
0.79449,0.32043,0.35608,0.35608
0.80201,0.33997,0.34778,0.34778
0.80702,0.34741,0.34802,0.34802
0.81454,0.29993,0.33704,0.33704
0.81955,0.32947,0.34924,0.34924
0.82707,0.31775,0.33154,0.33154
0.83208,0.3186,0.34961,0.34961
0.8396,0.33813,0.33984,0.33984
0.84461,0.33582,0.34521,0.34521
0.85213,0.33411,0.34656,0.34656
0.85714,0.32556,0.33032,0.33032
0.86466,0.29419,0.34082,0.34082
0.86967,0.33337,0.38489,0.38489
0.87719,0.29187,0.37158,0.37158
0.88221,0.33411,0.38513,0.38513
0.88972,0.31799,0.35034,0.35034
0.89474,0.32312,0.33423,0.33423
0.90226,0.32385,0.34351,0.34351
0.90727,0.3269,0.33484,0.33484
0.91479,0.32239,0.36365,0.36365
0.9198,0.31921,0.33057,0.33057
0.92732,0.32056,0.3324,0.3324
0.93233,0.32861,0.34229,0.34229
0.93985,0.30518,0.35461,0.35461
0.94486,0.31409,0.31836,0.31836
0.95238,0.32898,0.34375,0.34375
0.95739,0.3136,0.3302,0.3302
0.96491,0.29626,0.32959,0.32959
0.96992,0.30652,0.35278,0.35278
0.97744,0.31921,0.39624,0.39624
0.98246,0.31262,0.37671,0.37671
0.98997,0.31909,0.37012,0.37012
0.99499,0.30725,0.34314,0.34314
1.0,0.30298,0.3584,0.3584
