iteration,s0,s1,s2,s3
0,0.08142,0.08508,0.0885,0.08911
1,0.14514,0.04712,0.09155,0.06274
2,0.59814,0.0116,0.08032,0.09094
3,0.07129,0.0553,0.07166,0.07239
4,0.29419,0.0437,0.08191,0.09631
6,0.20752,0.05066,0.05615,0.08936
7,0.08899,0.00781,0.08411,0.0885
8,0.15149,0.05347,0.07458,0.08447
9,0.10266,0.02478,0.09021,0.08179
10,0.09387,0.04968,0.08105,0.08508
12,0.68298,0.05127,0.896,0.07141
13,0.73901,0.08655,0.12207,0.03015
14,0.1178,0.07812,0.09644,0.06091
15,0.09497,0.0592,0.10742,0.07312
16,0.12329,0.05322,0.15222,0.08215
18,0.12439,0.06396,0.76477,0.21704
19,0.07861,0.06543,0.63379,0.12354
20,0.02222,0.0531,0.29102,0.23962
21,0.14612,0.00952,0.15918,0.15576
22,0.50659,0.07019,0.41467,0.80359
24,0.01245,0.10413,0.15295,0.01575
25,0.48694,0.1123,0.1875,0.1936
26,0.90405,0.03906,0.2561,0.08911
27,0.87329,0.02197,0.32544,0.01355
28,0.63293,0.18018,0.60571,0.30957
30,0.90381,0.14185,0.47095,0.38184
31,0.85449,0.12378,0.70825,0.20557
32,0.8739,0.19897,0.24329,0.44714
33,0.85156,0.16479,0.52563,0.43689
34,0.82544,0.68945,0.44263,0.90027
36,0.82141,0.31555,0.47852,0.58887
37,0.90845,0.70862,0.41992,0.87805
38,0.89331,0.89563,0.50525,0.9137
39,0.91382,0.82935,0.81262,0.89954
40,0.88611,0.67017,0.36011,0.89844
42,0.77417,0.87915,0.90771,0.90015
43,0.88721,0.88403,0.89001,0.75793
44,0.81653,0.81396,0.8783,0.87793
45,0.83704,0.79407,0.71423,0.80554
46,0.85828,0.90417,0.90381,0.79541
48,0.8866,0.84924,0.87488,0.92273
49,0.88025,0.69165,0.8938,0.80603
50,0.92371,0.854,0.89221,0.6991
51,0.8645,0.86768,0.8656,0.72949
52,0.86963,0.8844,0.87964,0.74585
54,0.89026,0.66443,0.7616,0.91687
55,0.8927,0.8916,0.73511,0.84729
56,0.89075,0.87427,0.66284,0.83289
57,0.78552,0.82239,0.89331,0.90662
58,0.82446,0.84509,0.78235,0.90454
60,0.87317,0.83167,0.87329,0.87842
61,0.74695,0.60229,0.80603,0.78589
62,0.77881,0.90955,0.87305,0.82605
63,0.73108,0.88354,0.82251,0.84229
64,0.52795,0.89331,0.77625,0.90295
66,0.64465,0.89417,0.85938,0.88391
67,0.63049,0.72107,0.69043,0.87036
68,0.44202,0.68921,0.62451,0.84717
69,0.67761,0.62573,0.75769,0.74939
70,0.69312,0.89246,0.65576,0.86987
72,0.63989,0.87927,0.65466,0.87646
73,0.63232,0.81946,0.75269,0.66711
74,0.67773,0.88892,0.78735,0.78345
75,0.87988,0.67505,0.68835,0.79138
76,0.75916,0.81079,0.67664,0.75049
78,0.56824,0.87598,0.7356,0.87744
79,0.56384,0.87305,0.66467,0.87781
80,0.56396,0.88586,0.77014,0.84839
81,0.74475,0.86621,0.80127,0.87122
82,0.80249,0.8938,0.78625,0.87646
84,0.86572,0.88074,0.81653,0.75806
85,0.84644,0.90112,0.80005,0.71851
86,0.59558,0.89832,0.76428,0.86951
87,0.74487,0.81372,0.75195,0.89307
88,0.80383,0.81726,0.83093,0.85474
90,0.77979,0.89697,0.86804,0.8833
91,0.87842,0.88965,0.76636,0.76306
92,0.82471,0.88245,0.72021,0.84033
93,0.62354,0.87292,0.83618,0.88586
94,0.86182,0.88037,0.74536,0.88049
96,0.78772,0.81592,0.84766,0.86584
97,0.83264,0.89124,0.86426,0.87512
98,0.83728,0.89343,0.83447,0.85742
99,0.76831,0.74927,0.84192,0.87561
100,0.87598,0.86804,0.80481,0.79199
102,0.76758,0.84839,0.76245,0.90015
103,0.81116,0.86121,0.85828,0.77856
104,0.65747,0.88379,0.82288,0.89526
105,0.80139,0.76367,0.85571,0.87744
106,0.79053,0.78992,0.79419,0.85657
108,0.82092,0.90137,0.82922,0.85535
109,0.73657,0.87781,0.88843,0.86304
110,0.84583,0.77405,0.78857,0.9043
111,0.646,0.67432,0.85229,0.83301
112,0.823,0.74976,0.88318,0.88989
114,0.85559,0.82568,0.84473,0.8833
115,0.84729,0.83765,0.85962,0.89038
116,0.73071,0.86182,0.86023,0.84741
117,0.82703,0.8512,0.79358,0.88989
118,0.78638,0.78528,0.88147,0.83203
120,0.72546,0.78003,0.87256,0.77698
121,0.82788,0.6803,0.8186,0.79761
122,0.78906,0.81946,0.86755,0.85876
123,0.8501,0.80859,0.84668,0.8811
124,0.81677,0.77808,0.87,0.89209
126,0.86646,0.8363,0.82483,0.86572
127,0.81213,0.79248,0.83801,0.81958
128,0.72156,0.73999,0.81641,0.79248
129,0.8219,0.7782,0.8634,0.88428
130,0.84265,0.74951,0.84656,0.81873
132,0.82678,0.7771,0.86108,0.81763
133,0.79285,0.77783,0.77295,0.81067
134,0.81799,0.85938,0.81042,0.83411
135,0.84827,0.78894,0.69617,0.78687
136,0.84802,0.78552,0.8064,0.87415
138,0.81506,0.86548,0.82605,0.83887
139,0.86279,0.75806,0.80444,0.80322
140,0.74316,0.78052,0.76953,0.81177
141,0.83325,0.79346,0.73877,0.79114
142,0.83496,0.8031,0.78528,0.82385
144,0.80359,0.8053,0.79077,0.81982
145,0.81604,0.85547,0.79602,0.82288
146,0.79016,0.82043,0.7959,0.75293
147,0.82434,0.74731,0.80676,0.79651
148,0.77856,0.67908,0.80176,0.72278
150,0.81323,0.70813,0.70435,0.76953
151,0.77478,0.77197,0.75122,0.83923
152,0.78101,0.79663,0.78882,0.63354
153,0.80249,0.81702,0.78931,0.76672
154,0.84558,0.8042,0.81348,0.83447
156,0.80273,0.78027,0.70728,0.81885
157,0.76562,0.78394,0.73181,0.82385
158,0.74023,0.77332,0.67188,0.79956
159,0.77502,0.83618,0.79578,0.79614
160,0.81274,0.78992,0.76855,0.77502
162,0.68335,0.84497,0.76868,0.74487
163,0.77026,0.81348,0.70789,0.82739
164,0.78137,0.88123,0.78198,0.75244
165,0.72461,0.87695,0.77087,0.73706
166,0.82666,0.85315,0.76624,0.75623
168,0.7998,0.77966,0.76794,0.78882
169,0.7063,0.79053,0.75122,0.77039
170,0.76562,0.82239,0.7467,0.81897
171,0.6676,0.72791,0.66589,0.77673
172,0.73804,0.78577,0.75354,0.82361
174,0.755,0.76465,0.77905,0.79834
175,0.79736,0.797,0.72742,0.78699
176,0.70654,0.70471,0.76685,0.83093
177,0.74329,0.83826,0.75269,0.81238
178,0.78101,0.80688,0.70142,0.76147
180,0.6543,0.84546,0.78601,0.75171
181,0.70007,0.79968,0.81116,0.85449
182,0.7699,0.81604,0.75745,0.76001
183,0.71448,0.73987,0.79236,0.83386
184,0.75952,0.77405,0.77795,0.82397
186,0.72583,0.80957,0.73389,0.76733
187,0.72119,0.79236,0.79944,0.85547
188,0.75159,0.78845,0.79431,0.85144
189,0.76208,0.77478,0.69568,0.80566
190,0.69873,0.79663,0.76685,0.79175
191,0.70837,0.80066,0.77405,0.81079
