iteration,s0,s1,s2,s3
0,0.05408,0.05347,0.05249,0.05737
2,0.03101,0.05103,0.05615,0.05762
5,0.03528,0.04749,0.0509,0.05273
7,0.03369,0.05286,0.06067,0.052
10,0.05151,0.03284,0.05994,0.05176
12,0.02856,0.06775,0.0564,0.0415
15,0.04761,0.02795,0.05457,0.05029
17,0.04504,0.03638,0.06128,0.04517
20,0.05481,0.04431,0.0603,0.02893
22,0.06592,0.03186,0.04968,0.03345
25,0.05457,0.02917,0.05762,0.02869
27,0.08435,0.03857,0.05432,0.03284
30,0.10498,0.03162,0.05261,0.02844
32,0.09192,0.03394,0.05408,0.03357
35,0.11194,0.0343,0.05457,0.02344
37,0.12256,0.02942,0.05811,0.0321
40,0.07263,0.0365,0.04541,0.02747
42,0.09143,0.0304,0.05518,0.0321
45,0.43066,0.03528,0.04395,0.0332
47,0.12134,0.05566,0.03174,0.02869
50,0.01184,0.04712,0.02698,0.03564
52,0.12292,0.05273,0.04016,0.04163
55,0.02344,0.05212,0.04053,0.06335
57,0.18079,0.04614,0.03833,0.06396
60,0.0647,0.05127,0.02783,0.06177
62,0.19312,0.04895,0.02722,0.05103
65,0.11597,0.03857,0.03101,0.06079
67,0.43506,0.04004,0.03784,0.05139
70,0.23181,0.03943,0.03088,0.05469
72,0.11194,0.03455,0.03259,0.0448
75,0.09033,0.03198,0.03662,0.05701
77,0.05762,0.03149,0.0293,0.05432
80,0.10388,0.03711,0.04431,0.04333
82,0.31128,0.03357,0.09888,0.03125
85,0.14966,0.03333,0.06445,0.0304
87,0.28345,0.02893,0.05725,0.02625
90,0.54541,0.02881,0.05493,0.02759
92,0.61572,0.05286,0.05261,0.02722
95,0.10889,0.03589,0.04321,0.03674
97,0.13403,0.03625,0.04346,0.03003
100,0.10559,0.08142,0.2738,0.30579
102,0.14673,0.0708,0.52332,0.76807
105,0.15283,0.6615,0.63672,0.74438
107,0.53809,0.69482,0.55042,0.047
110,0.70764,0.71204,0.74817,0.04077
112,0.45288,0.63721,0.76917,0.04614
115,0.40857,0.1405,0.49487,0.10168
117,0.4668,0.76721,0.06433,0.60522
120,0.57166,0.70776,0.76587,0.66882
122,0.61572,0.7821,0.72546,0.67615
125,0.58362,0.70117,0.07983,0.72937
127,0.61694,0.16516,0.06653,0.60315
130,0.6709,0.12061,0.10059,0.19641
132,0.55676,0.66357,0.12231,0.17383
135,0.547,0.20239,0.40674,0.03223
137,0.43506,0.53516,0.5144,0.48596
140,0.61414,0.651,0.23022,0.72974
142,0.56226,0.14844,0.2218,0.76318
145,0.56177,0.1272,0.55127,0.48755
147,0.4718,0.51562,0.05444,0.69666
150,0.49011,0.68384,0.19983,0.72266
152,0.46521,0.10388,0.13525,0.4834
155,0.35327,0.50488,0.11755,0.38574
157,0.46924,0.57898,0.11768,0.46118
160,0.47339,0.64807,0.16479,0.6626
162,0.45789,0.67163,0.13281,0.71545
165,0.61548,0.22424,0.35168,0.47913
167,0.62671,0.16541,0.33313,0.11719
170,0.58472,0.62024,0.09033,0.18091
172,0.58057,0.48462,0.26453,0.16333
175,0.49866,0.67444,0.33301,0.09863
177,0.4491,0.06567,0.05994,0.6958
180,0.56287,0.63464,0.08582,0.67859
182,0.49988,0.578,0.51013,0.4967
185,0.50415,0.64514,0.20007,0.53357
187,0.47498,0.15088,0.28833,0.37744
190,0.47791,0.45508,0.14563,0.51282
192,0.54797,0.39526,0.42712,0.26428
195,0.52136,0.72388,0.07654,0.57166
197,0.43542,0.66736,0.64832,0.57104
200,0.52307,0.58203,0.64246,0.50012
202,0.5282,0.67493,0.55188,0.5614
205,0.48694,0.54797,0.54358,0.55859
207,0.50146,0.06738,0.396,0.58984
210,0.48596,0.09082,0.27026,0.67432
212,0.48438,0.69934,0.17285,0.65784
215,0.50024,0.21838,0.45825,0.66565
217,0.44897,0.49231,0.31042,0.55505
220,0.43896,0.57361,0.39221,0.6416
222,0.57788,0.2356,0.3291,0.63196
225,0.51257,0.22729,0.31433,0.52222
227,0.58484,0.55151,0.34033,0.51562
230,0.47791,0.65198,0.34534,0.69556
232,0.49585,0.64429,0.36731,0.50757
235,0.50073,0.52344,0.6145,0.56519
237,0.48816,0.56482,0.5177,0.71802
240,0.52075,0.50183,0.32166,0.62952
242,0.47729,0.63928,0.59692,0.54089
245,0.45532,0.12146,0.60938,0.55029
247,0.52026,0.25232,0.59998,0.55676
250,0.48743,0.20703,0.61853,0.64087
252,0.53186,0.26599,0.49634,0.57764
255,0.49756,0.66431,0.47705,0.55225
257,0.5166,0.69543,0.58398,0.62683
260,0.48108,0.55115,0.49756,0.71155
262,0.57288,0.25256,0.44666,0.57312
265,0.51941,0.70667,0.5105,0.53918
267,0.58606,0.66492,0.51599,0.50354
270,0.55408,0.25317,0.57336,0.55493
272,0.56396,0.54773,0.54919,0.62891
275,0.51587,0.53979,0.62952,0.56836
277,0.53772,0.04248,0.53125,0.58838
280,0.52148,0.04688,0.59363,0.72717
282,0.56824,0.27136,0.58203,0.50647
285,0.60046,0.0968,0.5802,0.63379
287,0.52893,0.03479,0.65503,0.67053
290,0.53918,0.06152,0.54089,0.6322
292,0.52429,0.68738,0.64026,0.58911
295,0.55139,0.11133,0.56714,0.60767
297,0.58301,0.50757,0.45618,0.67139
300,0.61255,0.51294,0.49341,0.59839
302,0.60095,0.29041,0.53467,0.63367
305,0.56885,0.11194,0.50903,0.63525
307,0.54468,0.18689,0.50403,0.62524
310,0.5448,0.68958,0.51892,0.66345
