iteration,s0,s1,s2,s3
0,0.02747,0.02478,0.03027,0.02979
2,0.02527,0.02991,0.02124,0.02686
5,0.02747,0.02136,0.01941,0.03394
7,0.02893,0.02002,0.01782,0.04614
10,0.02759,0.02148,0.04272,0.04321
12,0.08191,0.02124,0.02258,0.02344
15,0.0271,0.02075,0.04443,0.05884
17,0.06653,0.01672,0.01917,0.0697
20,0.06482,0.0249,0.01746,0.01147
22,0.27246,0.01453,0.03223,0.07129
25,0.40515,0.0271,0.01965,0.05627
27,0.80762,0.0144,0.0155,0.06885
30,0.80847,0.01416,0.01587,0.09363
32,0.7832,0.01917,0.01758,0.07495
35,0.5238,0.01819,0.02014,0.02673
37,0.31824,0.25281,0.01709,0.07458
40,0.18909,0.6427,0.02014,0.05835
42,0.5177,0.29333,0.02222,0.03455
45,0.74829,0.7323,0.01611,0.04614
47,0.17627,0.52039,0.2793,0.04517
50,0.41711,0.59241,0.71777,0.05872
52,0.26013,0.59204,0.73938,0.11719
55,0.40491,0.65149,0.7677,0.10413
57,0.38293,0.68579,0.65027,0.03479
60,0.54419,0.6543,0.72803,0.16772
62,0.44128,0.69507,0.66394,0.75293
65,0.32458,0.61768,0.48145,0.17407
67,0.59814,0.60718,0.56116,0.14038
70,0.23083,0.56311,0.48792,0.21082
72,0.43237,0.53137,0.61877,0.57043
75,0.36389,0.4834,0.66797,0.4751
77,0.37854,0.46667,0.65845,0.60901
80,0.36755,0.32275,0.52319,0.72168
82,0.34436,0.51172,0.55054,0.72766
85,0.51794,0.55725,0.4856,0.73474
87,0.45117,0.47827,0.55212,0.4812
90,0.42615,0.44568,0.58386,0.66357
92,0.40002,0.55237,0.44067,0.6665
95,0.32434,0.45398,0.61011,0.57983
97,0.37939,0.42993,0.59534,0.60815
100,0.46472,0.46375,0.54395,0.58801
102,0.3252,0.49646,0.57275,0.61145
105,0.29626,0.47803,0.57056,0.58167
107,0.36462,0.47705,0.52722,0.64258
110,0.41431,0.49023,0.34668,0.56738
112,0.39758,0.4635,0.42212,0.62256
115,0.40112,0.38367,0.3894,0.52673
117,0.35681,0.30408,0.42273,0.49854
120,0.34155,0.34631,0.44348,0.49487
122,0.37378,0.36865,0.39722,0.47717
125,0.28503,0.40063,0.43884,0.51099
127,0.35071,0.42493,0.34631,0.51929
130,0.37122,0.3634,0.38867,0.54773
132,0.28174,0.29053,0.39038,0.55481
135,0.36377,0.39795,0.43958,0.5824
137,0.35986,0.39844,0.41992,0.46277
140,0.2616,0.33997,0.39587,0.56274
142,0.37109,0.30322,0.38916,0.48035
145,0.31555,0.35144,0.21887,0.51611
147,0.35693,0.41907,0.4054,0.52136
150,0.34558,0.32483,0.32654,0.55481
152,0.28235,0.41028,0.2854,0.40112
155,0.37366,0.39185,0.31201,0.474
157,0.29578,0.38965,0.29688,0.52625
160,0.33105,0.3562,0.3512,0.54504
162,0.36743,0.40381,0.34521,0.50635
165,0.32324,0.35901,0.29932,0.49512
167,0.34241,0.34583,0.29321,0.52063
170,0.35266,0.37,0.32874,0.5
172,0.35217,0.3645,0.35022,0.53528
175,0.3053,0.37903,0.34436,0.52051
177,0.24988,0.35974,0.36548,0.47937
180,0.37634,0.36829,0.29309,0.52539
182,0.34082,0.33765,0.32788,0.56213
185,0.38269,0.36487,0.33557,0.58838
187,0.31067,0.31262,0.31897,0.51599
190,0.34558,0.33582,0.36206,0.48279
192,0.32141,0.36548,0.32556,0.53601
195,0.3739,0.36206,0.38086,0.53015
197,0.32043,0.38062,0.31067,0.50562
200,0.34265,0.36206,0.33899,0.54382
