depth,nodes
0,1
1,256
2,3930
3,7028
4,9562
5,11755
6,13718
7,15234
8,16704
9,18080
10,19273
11,20484
12,21308
13,21979
14,22548
15,23028
16,23393
17,23663
18,23906
19,24076
20,24195
21,24299
22,24384
23,24444
24,24482
25,24510
26,24537
27,24557
28,24572
29,24579
30,24586
31,24589
32,24593
33,24594
34,24599
35,24599
36,24600
37,24600
38,24600
39,24601
40,24602
41,24602
42,24602
43,24602
44,24602
45,24602
46,24602
47,24602
48,24602
49,24602
50,24602
51,24602
52,24602
53,24602
54,24602
55,24602
56,24602
57,24602
58,24602
59,24602
60,24602
61,24602
62,24602
63,24602
64,24602
65,24602
66,24602
67,24602
68,24602
69,24602
70,24602
71,24602
72,24602
73,24602
74,24602
75,24602
76,24602
77,24602
78,24602
79,24602
80,24602
81,24602
82,24602
83,24602
84,24602
85,24602
86,24602
87,24602
88,24602
89,24602
90,24602
91,24602
92,24602
93,24602
94,24602
95,24602
96,24602
97,24602
98,24602
99,24602
100,24602
101,24602
102,24602
103,24602
104,24602
105,24602
106,24602
107,24602
108,24602
109,24602
110,24602
111,24602
112,24602
113,24602
114,24602
115,24602
116,24602
117,24602
118,24602
119,24603
120,24602
121,24602
122,24602
123,24602
124,24602
125,24602
126,24602
127,24602
128,24602
