depth,nodes
0,1
1,256
2,15127
3,28201
4,36637
5,41544
6,45354
7,47773
8,49370
9,50219
10,50657
11,50912
12,51033
13,51110
14,51145
15,51160
16,51173
17,51178
18,51182
19,51188
20,51191
21,51193
22,51194
23,51197
24,51199
25,51199
26,51199
27,51199
28,51199
29,51200
30,51200
31,51200
32,51200
33,51200
34,51200
35,51200
36,51200
37,51200
38,51200
39,51200
40,51200
41,51200
42,51200
43,51200
44,51200
45,51200
46,51200
47,51200
48,51200
49,51200
50,51200
51,51200
52,51200
53,51200
54,51200
55,51200
56,51200
57,51200
58,51200
59,51200
60,51200
61,51200
62,51200
63,51200
64,51200
65,51200
66,51200
67,51200
68,51200
69,51200
70,51200
71,51200
72,51200
73,51200
74,51200
75,51200
76,51200
77,51200
78,51200
79,51200
80,51200
81,51200
82,51200
83,51200
84,51200
85,51200
86,51200
87,51200
88,51200
89,51200
90,51200
91,51200
92,51200
93,51200
94,51200
95,51200
96,51200
97,51200
98,51200
99,51200
100,51200
101,51200
102,51200
103,51200
104,51200
105,51200
106,51200
107,51200
108,51200
109,51200
110,51200
111,51200
112,51200
113,51200
114,51200
115,51200
116,51200
117,51200
118,51200
119,51200
120,51200
121,51200
122,51200
123,51200
124,51200
125,51200
126,51200
127,51200
128,51200
